,서울특별시 금천구,서울특별시 금천구 가산동,서울특별시 금천구 독산제1동,서울특별시 금천구 독산제2동,서울특별시 금천구 독산제3동,서울특별시 금천구 독산제4동,서울특별시 금천구 시흥제1동,서울특별시 금천구 시흥제2동,서울특별시 금천구 시흥제3동,서울특별시 금천구 시흥제4동,서울특별시 금천구 시흥제5동
2020년11월_계_총인구수,"232,003","22,937","42,240","19,067","24,572","15,596","33,898","21,990","11,151","20,837","19,715"
2020년11월_계_연령구간인구수,"232,003","22,937","42,240","19,067","24,572","15,596","33,898","21,990","11,151","20,837","19,715"
2020년11월_계_0~9세,"12,692",696,"3,285",901,"1,030",662,"1,879","1,590",558,"1,131",960
2020년11월_계_10~19세,"14,761",714,"2,305","1,242","1,382",976,"2,333","2,136",715,"1,517","1,441"
2020년11월_계_20~29세,"37,047","6,432","7,338","2,835","3,845","2,313","5,038","2,516","1,446","2,727","2,557"
2020년11월_계_30~39세,"35,558","5,434","8,457","2,502","3,557","1,996","4,826","2,496","1,424","2,583","2,283"
2020년11월_계_40~49세,"33,056","2,742","6,231","2,631","3,290","2,132","5,047","3,503","1,575","3,008","2,897"
2020년11월_계_50~59세,"40,431","2,971","6,224","3,830","4,813","3,260","5,969","3,814","2,036","3,931","3,583"
2020년11월_계_60~69세,"32,946","2,339","4,809","3,017","3,865","2,473","4,826","3,245","1,918","3,381","3,073"
2020년11월_계_70~79세,"18,031","1,180","2,550","1,545","1,945","1,303","2,807","1,837","1,065","1,825","1,974"
2020년11월_계_80~89세,"6,435",370,922,475,712,409,994,707,365,641,840
2020년11월_계_90~99세,870,50,103,73,110,56,157,108,45,77,91
2020년11월_계_100세 이상,176,9,16,16,23,16,22,38,4,16,16
2020년11월_남_총인구수,"117,364","12,528","21,736","9,659","12,349","7,870","16,931","10,611","5,543","10,334","9,803"
2020년11월_남_연령구간인구수,"117,364","12,528","21,736","9,659","12,349","7,870","16,931","10,611","5,543","10,334","9,803"
2020년11월_남_0~9세,"6,517",329,"1,705",449,562,352,968,806,283,574,489
2020년11월_남_10~19세,"7,430",352,"1,133",663,672,478,"1,243","1,044",351,770,724
2020년11월_남_20~29세,"18,684","2,993","3,675","1,488","1,916","1,177","2,577","1,295",769,"1,429","1,365"
2020년11월_남_30~39세,"19,677","3,373","4,706","1,359","1,972","1,106","2,574","1,224",763,"1,372","1,228"
2020년11월_남_40~49세,"17,340","1,702","3,399","1,327","1,716","1,063","2,583","1,731",817,"1,505","1,497"
2020년11월_남_50~59세,"20,286","1,738","3,140","1,943","2,388","1,659","2,926","1,792",979,"1,889","1,832"
2020년11월_남_60~69세,"16,199","1,277","2,419","1,477","1,888","1,229","2,325","1,566",913,"1,649","1,456"
2020년11월_남_70~79세,"8,396",594,"1,139",747,921,616,"1,300",839,511,860,869
2020년11월_남_80~89세,"2,551",157,391,181,281,172,380,270,151,254,314
2020년11월_남_90~99세,226,10,27,20,27,14,49,23,6,26,24
2020년11월_남_100세 이상,58,3,2,5,6,4,6,21,0,6,5
2020년11월_여_총인구수,"114,639","10,409","20,504","9,408","12,223","7,726","16,967","11,379","5,608","10,503","9,912"
2020년11월_여_연령구간인구수,"114,639","10,409","20,504","9,408","12,223","7,726","16,967","11,379","5,608","10,503","9,912"
2020년11월_여_0~9세,"6,175",367,"1,580",452,468,310,911,784,275,557,471
2020년11월_여_10~19세,"7,331",362,"1,172",579,710,498,"1,090","1,092",364,747,717
2020년11월_여_20~29세,"18,363","3,439","3,663","1,347","1,929","1,136","2,461","1,221",677,"1,298","1,192"
2020년11월_여_30~39세,"15,881","2,061","3,751","1,143","1,585",890,"2,252","1,272",661,"1,211","1,055"
2020년11월_여_40~49세,"15,716","1,040","2,832","1,304","1,574","1,069","2,464","1,772",758,"1,503","1,400"
2020년11월_여_50~59세,"20,145","1,233","3,084","1,887","2,425","1,601","3,043","2,022","1,057","2,042","1,751"
2020년11월_여_60~69세,"16,747","1,062","2,390","1,540","1,977","1,244","2,501","1,679","1,005","1,732","1,617"
2020년11월_여_70~79세,"9,635",586,"1,411",798,"1,024",687,"1,507",998,554,965,"1,105"
2020년11월_여_80~89세,"3,884",213,531,294,431,237,614,437,214,387,526
2020년11월_여_90~99세,644,40,76,53,83,42,108,85,39,51,67
2020년11월_여_100세 이상,118,6,14,11,17,12,16,17,4,10,11
