카테고리,서울특별시 금천구,서울특별시 금천구 가산동,서울특별시 금천구 독산제1동,서울특별시 금천구 독산제2동,서울특별시 금천구 독산제3동,서울특별시 금천구 독산제4동,서울특별시 금천구 시흥제1동,서울특별시 금천구 시흥제2동,서울특별시 금천구 시흥제3동,서울특별시 금천구 시흥제4동,서울특별시 금천구 시흥제5동
2020년01월_계_총인구수,"233,066","21,145","41,868","19,417","25,138","15,955","34,304","22,477","11,346","21,293","20,123"
2020년01월_계_연령구간인구수,"233,066","21,145","41,868","19,417","25,138","15,955","34,304","22,477","11,346","21,293","20,123"
2020년01월_계_0~9세,"13,696",805,"3,350",996,"1,155",703,"2,093","1,721",620,"1,231","1,022"
2020년01월_계_10~19세,"15,701",743,"2,364","1,335","1,526","1,091","2,461","2,260",758,"1,635","1,528"
2020년01월_계_20~29세,"36,362","5,380","7,325","2,827","3,878","2,335","4,989","2,631","1,487","2,855","2,655"
2020년01월_계_30~39세,"35,694","4,818","8,453","2,548","3,538","2,046","4,967","2,642","1,514","2,759","2,409"
2020년01월_계_40~49세,"34,199","2,689","6,140","2,814","3,573","2,330","5,209","3,704","1,613","3,115","3,012"
2020년01월_계_50~59세,"41,286","2,990","6,186","3,981","5,023","3,350","6,090","3,873","2,096","4,010","3,687"
2020년01월_계_60~69세,"31,646","2,218","4,566","2,868","3,727","2,401","4,629","3,097","1,851","3,268","3,021"
2020년01월_계_70~79세,"17,545","1,107","2,500","1,508","1,956","1,261","2,770","1,765","1,013","1,745","1,920"
2020년01월_계_80~89세,"5,996",342,863,459,644,376,940,654,346,596,776
2020년01월_계_90~99세,772,43,106,65,97,47,134,94,45,65,76
2020년01월_계_100세 이상,169,10,15,16,21,15,22,36,3,14,17
2020년01월_남_총인구수,"118,299","11,680","21,638","9,897","12,689","8,015","17,173","10,925","5,691","10,574","10,017"
2020년01월_남_연령구간인구수,"118,299","11,680","21,638","9,897","12,689","8,015","17,173","10,925","5,691","10,574","10,017"
2020년01월_남_0~9세,"7,022",408,"1,715",502,621,370,"1,076",872,318,613,527
2020년01월_남_10~19세,"8,011",377,"1,190",709,771,548,"1,329","1,118",378,818,773
2020년01월_남_20~29세,"18,622","2,612","3,740","1,523","1,952","1,176","2,562","1,359",791,"1,494","1,413"
2020년01월_남_30~39세,"19,713","2,983","4,718","1,366","1,968","1,119","2,649","1,305",834,"1,460","1,311"
2020년01월_남_40~49세,"17,842","1,659","3,329","1,436","1,856","1,151","2,653","1,800",832,"1,566","1,560"
2020년01월_남_50~59세,"20,752","1,727","3,122","2,020","2,517","1,713","3,006","1,853","1,011","1,942","1,841"
2020년01월_남_60~69세,"15,538","1,201","2,311","1,417","1,791","1,179","2,219","1,510",897,"1,589","1,424"
2020년01월_남_70~79세,"8,184",557,"1,122",730,926,599,"1,272",815,482,825,856
2020년01월_남_80~89세,"2,374",143,365,173,260,147,364,252,142,240,288
2020년01월_남_90~99세,185,10,23,16,21,9,37,22,6,22,19
2020년01월_남_100세 이상,56,3,3,5,6,4,6,19,0,5,5
2020년01월_여_총인구수,"114,767","9,465","20,230","9,520","12,449","7,940","17,131","11,552","5,655","10,719","10,106"
2020년01월_여_연령구간인구수,"114,767","9,465","20,230","9,520","12,449","7,940","17,131","11,552","5,655","10,719","10,106"
2020년01월_여_0~9세,"6,674",397,"1,635",494,534,333,"1,017",849,302,618,495
2020년01월_여_10~19세,"7,690",366,"1,174",626,755,543,"1,132","1,142",380,817,755
2020년01월_여_20~29세,"17,740","2,768","3,585","1,304","1,926","1,159","2,427","1,272",696,"1,361","1,242"
2020년01월_여_30~39세,"15,981","1,835","3,735","1,182","1,570",927,"2,318","1,337",680,"1,299","1,098"
2020년01월_여_40~49세,"16,357","1,030","2,811","1,378","1,717","1,179","2,556","1,904",781,"1,549","1,452"
2020년01월_여_50~59세,"20,534","1,263","3,064","1,961","2,506","1,637","3,084","2,020","1,085","2,068","1,846"
2020년01월_여_60~69세,"16,108","1,017","2,255","1,451","1,936","1,222","2,410","1,587",954,"1,679","1,597"
2020년01월_여_70~79세,"9,361",550,"1,378",778,"1,030",662,"1,498",950,531,920,"1,064"
2020년01월_여_80~89세,"3,622",199,498,286,384,229,576,402,204,356,488
2020년01월_여_90~99세,587,33,83,49,76,38,97,72,39,43,57
2020년01월_여_100세 이상,113,7,12,11,15,11,16,17,3,9,12
