카테고리,서울특별시 광진구,서울특별시 광진구 화양동,서울특별시 광진구 군자동,서울특별시 광진구 중곡제1동,서울특별시 광진구 중곡제2동,서울특별시 광진구 중곡제3동,서울특별시 광진구 중곡제4동,서울특별시 광진구 능동,서울특별시 광진구 광장동,서울특별시 광진구 자양제1동,서울특별시 광진구 자양제2동,서울특별시 광진구 자양제3동,서울특별시 광진구 자양제4동,서울특별시 광진구 구의제1동,서울특별시 광진구 구의제2동,서울특별시 광진구 구의제3동
2021년08월_계_총인구수,"341,505","22,993","19,744","15,565","21,616","16,274","28,808","11,386","34,891","22,478","24,922","28,243","17,395","21,709","26,659","28,822"
2021년08월_계_연령구간인구수,"341,505","22,993","19,744","15,565","21,616","16,274","28,808","11,386","34,891","22,478","24,922","28,243","17,395","21,709","26,659","28,822"
2021년08월_계_0~9세,"18,280",370,831,716,"1,106",715,"1,350",519,"3,033",928,"1,532","2,211",656,797,"1,709","1,807"
2021년08월_계_10~19세,"25,130",731,990,718,"1,342",907,"1,863",535,"5,461","1,485","1,810","2,573",852,"1,098","2,314","2,451"
2021년08월_계_20~29세,"62,215","10,004","4,534","2,859","3,806","2,627","4,358","2,354","4,073","4,315","3,703","3,859","2,756","4,733","3,685","4,549"
2021년08월_계_30~39세,"54,857","4,465","3,610","2,942","3,886","2,657","4,251","2,566","3,628","3,713","3,755","4,149","2,547","4,283","3,784","4,621"
2021년08월_계_40~49세,"50,940","2,145","2,551","2,099","2,983","2,211","4,022","1,616","7,489","3,329","3,889","4,496","2,305","3,130","4,265","4,410"
2021년08월_계_50~59세,"53,734","2,063","2,824","2,455","3,489","2,876","5,240","1,439","5,623","3,553","4,121","4,644","2,986","3,091","4,520","4,810"
2021년08월_계_60~69세,"43,829","1,725","2,460","2,192","2,958","2,437","4,542","1,284","3,150","2,923","3,752","3,648","3,022","2,528","3,607","3,601"
2021년08월_계_70~79세,"21,994","1,014","1,333","1,118","1,453","1,273","2,274",740,"1,438","1,519","1,642","1,629","1,574","1,379","1,907","1,701"
2021년08월_계_80~89세,"9,244",421,551,415,520,503,797,294,846,639,626,893,623,585,768,763
2021년08월_계_90~99세,"1,207",52,57,49,71,62,98,37,145,73,87,136,72,69,95,104
2021년08월_계_100세 이상,75,3,3,2,2,6,13,2,5,1,5,5,2,16,5,5
2021년08월_남_총인구수,"164,748","10,954","9,763","7,527","10,203","8,052","14,109","5,223","16,860","10,883","12,084","13,537","8,677","10,342","12,864","13,670"
2021년08월_남_연령구간인구수,"164,748","10,954","9,763","7,527","10,203","8,052","14,109","5,223","16,860","10,883","12,084","13,537","8,677","10,342","12,864","13,670"
2021년08월_남_0~9세,"9,372",184,434,368,563,386,714,260,"1,587",461,781,"1,111",338,413,873,899
2021년08월_남_10~19세,"12,726",337,521,368,677,464,995,271,"2,769",780,967,"1,245",403,546,"1,168","1,215"
2021년08월_남_20~29세,"29,117","4,308","2,165","1,259","1,650","1,284","2,183","1,000","2,030","2,055","1,805","1,925","1,371","2,144","1,828","2,110"
2021년08월_남_30~39세,"27,217","2,346","1,831","1,482","1,899","1,402","2,164","1,162","1,576","1,874","1,858","1,951","1,384","2,136","1,894","2,258"
2021년08월_남_40~49세,"25,083","1,200","1,340","1,083","1,473","1,126","2,041",824,"3,426","1,670","1,888","2,142","1,191","1,568","2,072","2,039"
2021년08월_남_50~59세,"26,289","1,106","1,431","1,231","1,645","1,406","2,479",662,"2,857","1,745","1,960","2,220","1,572","1,497","2,182","2,296"
2021년08월_남_60~69세,"20,868",814,"1,196","1,032","1,376","1,198","2,134",582,"1,567","1,373","1,799","1,800","1,456","1,174","1,641","1,726"
2021년08월_남_70~79세,"10,067",468,618,517,684,581,"1,061",325,662,635,761,739,711,618,889,798
2021년08월_남_80~89세,"3,663",176,219,177,222,188,310,120,341,269,241,354,233,225,296,292
2021년08월_남_90~99세,327,15,8,8,12,16,24,17,43,21,23,49,17,19,20,35
2021년08월_남_100세 이상,19,0,0,2,2,1,4,0,2,0,1,1,1,2,1,2
2021년08월_여_총인구수,"176,757","12,039","9,981","8,038","11,413","8,222","14,699","6,163","18,031","11,595","12,838","14,706","8,718","11,367","13,795","15,152"
2021년08월_여_연령구간인구수,"176,757","12,039","9,981","8,038","11,413","8,222","14,699","6,163","18,031","11,595","12,838","14,706","8,718","11,367","13,795","15,152"
2021년08월_여_0~9세,"8,908",186,397,348,543,329,636,259,"1,446",467,751,"1,100",318,384,836,908
2021년08월_여_10~19세,"12,404",394,469,350,665,443,868,264,"2,692",705,843,"1,328",449,552,"1,146","1,236"
2021년08월_여_20~29세,"33,098","5,696","2,369","1,600","2,156","1,343","2,175","1,354","2,043","2,260","1,898","1,934","1,385","2,589","1,857","2,439"
2021년08월_여_30~39세,"27,640","2,119","1,779","1,460","1,987","1,255","2,087","1,404","2,052","1,839","1,897","2,198","1,163","2,147","1,890","2,363"
2021년08월_여_40~49세,"25,857",945,"1,211","1,016","1,510","1,085","1,981",792,"4,063","1,659","2,001","2,354","1,114","1,562","2,193","2,371"
2021년08월_여_50~59세,"27,445",957,"1,393","1,224","1,844","1,470","2,761",777,"2,766","1,808","2,161","2,424","1,414","1,594","2,338","2,514"
2021년08월_여_60~69세,"22,961",911,"1,264","1,160","1,582","1,239","2,408",702,"1,583","1,550","1,953","1,848","1,566","1,354","1,966","1,875"
2021년08월_여_70~79세,"11,927",546,715,601,769,692,"1,213",415,776,884,881,890,863,761,"1,018",903
2021년08월_여_80~89세,"5,581",245,332,238,298,315,487,174,505,370,385,539,390,360,472,471
2021년08월_여_90~99세,880,37,49,41,59,46,74,20,102,52,64,87,55,50,75,69
2021년08월_여_100세 이상,56,3,3,0,0,5,9,2,3,1,4,4,1,14,4,3
