카테고리,부산광역시 영도구,부산광역시 영도구 남항동,부산광역시 영도구 영선제1동,부산광역시 영도구 영선제2동,부산광역시 영도구 신선동,부산광역시 영도구 봉래제1동,부산광역시 영도구 봉래제2동,부산광역시 영도구 청학제1동,부산광역시 영도구 청학제2동,부산광역시 영도구 동삼제1동,부산광역시 영도구 동삼제2동,부산광역시 영도구 동삼제3동
2020년09월_계_총인구수,"114,252","10,880","4,180","8,942","9,248","7,340","5,294","6,779","18,533","29,000","3,557","10,499"
2020년09월_계_연령구간인구수,"114,252","10,880","4,180","8,942","9,248","7,340","5,294","6,779","18,533","29,000","3,557","10,499"
2020년09월_계_0~9세,"5,340",405,186,423,225,373,156,377,"1,066","1,580",182,367
2020년09월_계_10~19세,"7,556",542,256,586,517,433,274,438,"1,447","2,298",190,575
2020년09월_계_20~29세,"12,109","1,060",455,905,820,744,499,619,"1,969","3,498",605,935
2020년09월_계_30~39세,"10,886","1,074",389,841,672,754,404,671,"1,891","2,926",341,923
2020년09월_계_40~49세,"15,396","1,414",547,"1,134","1,145",976,690,985,"2,680","4,110",442,"1,273"
2020년09월_계_50~59세,"19,812","1,942",723,"1,552","1,687","1,206",937,"1,099","3,227","5,099",485,"1,855"
2020년09월_계_60~69세,"21,951","2,189",831,"1,708","1,860","1,446","1,059","1,242","3,386","5,186",678,"2,366"
2020년09월_계_70~79세,"14,557","1,535",548,"1,205","1,555",901,899,921,"1,990","3,008",452,"1,543"
2020년09월_계_80~89세,"5,777",630,210,500,672,417,337,357,763,"1,151",152,588
2020년09월_계_90~99세,735,80,26,76,83,60,31,58,99,128,28,66
2020년09월_계_100세 이상,133,9,9,12,12,30,8,12,15,16,2,8
2020년09월_남_총인구수,"56,298","5,436","2,030","4,344","4,643","3,595","2,633","3,292","9,200","14,150","1,875","5,100"
2020년09월_남_연령구간인구수,"56,298","5,436","2,030","4,344","4,643","3,595","2,633","3,292","9,200","14,150","1,875","5,100"
2020년09월_남_0~9세,"2,697",204,100,215,132,186,73,188,527,791,100,181
2020년09월_남_10~19세,"3,913",278,139,314,270,217,145,235,763,"1,165",94,293
2020년09월_남_20~29세,"6,614",554,245,501,437,394,280,315,"1,061","1,927",379,521
2020년09월_남_30~39세,"5,877",578,214,440,404,403,238,348,"1,031","1,524",196,501
2020년09월_남_40~49세,"8,080",797,273,562,656,533,395,510,"1,372","2,035",255,692
2020년09월_남_50~59세,"10,072","1,076",362,768,942,628,499,568,"1,620","2,423",256,930
2020년09월_남_60~69세,"10,494","1,057",368,814,903,674,487,588,"1,605","2,505",333,"1,160"
2020년09월_남_70~79세,"6,338",657,237,519,638,399,371,404,928,"1,352",199,634
2020년09월_남_80~89세,"2,035",223,83,189,244,141,133,120,269,402,52,179
2020년09월_남_90~99세,145,10,5,19,12,16,8,13,18,26,10,8
2020년09월_남_100세 이상,33,2,4,3,5,4,4,3,6,0,1,1
2020년09월_여_총인구수,"57,954","5,444","2,150","4,598","4,605","3,745","2,661","3,487","9,333","14,850","1,682","5,399"
2020년09월_여_연령구간인구수,"57,954","5,444","2,150","4,598","4,605","3,745","2,661","3,487","9,333","14,850","1,682","5,399"
2020년09월_여_0~9세,"2,643",201,86,208,93,187,83,189,539,789,82,186
2020년09월_여_10~19세,"3,643",264,117,272,247,216,129,203,684,"1,133",96,282
2020년09월_여_20~29세,"5,495",506,210,404,383,350,219,304,908,"1,571",226,414
2020년09월_여_30~39세,"5,009",496,175,401,268,351,166,323,860,"1,402",145,422
2020년09월_여_40~49세,"7,316",617,274,572,489,443,295,475,"1,308","2,075",187,581
2020년09월_여_50~59세,"9,740",866,361,784,745,578,438,531,"1,607","2,676",229,925
2020년09월_여_60~69세,"11,457","1,132",463,894,957,772,572,654,"1,781","2,681",345,"1,206"
2020년09월_여_70~79세,"8,219",878,311,686,917,502,528,517,"1,062","1,656",253,909
2020년09월_여_80~89세,"3,742",407,127,311,428,276,204,237,494,749,100,409
2020년09월_여_90~99세,590,70,21,57,71,44,23,45,81,102,18,58
2020년09월_여_100세 이상,100,7,5,9,7,26,4,9,9,16,1,7
