,서울특별시 금천구,서울특별시 금천구 가산동,서울특별시 금천구 독산제1동,서울특별시 금천구 독산제2동,서울특별시 금천구 독산제3동,서울특별시 금천구 독산제4동,서울특별시 금천구 시흥제1동,서울특별시 금천구 시흥제2동,서울특별시 금천구 시흥제3동,서울특별시 금천구 시흥제4동,서울특별시 금천구 시흥제5동
2021년03월_계_총인구수,"229,844","23,210","42,081","18,856","24,445","15,405","33,246","21,550","10,950","20,604","19,497"
2021년03월_계_연령구간인구수,"229,844","23,210","42,081","18,856","24,445","15,405","33,246","21,550","10,950","20,604","19,497"
2021년03월_계_0~9세,"12,163",660,"3,161",860,983,638,"1,790","1,535",539,"1,072",925
2021년03월_계_10~19세,"14,487",714,"2,317","1,184","1,340",973,"2,257","2,113",682,"1,490","1,417"
2021년03월_계_20~29세,"37,102","6,656","7,351","2,828","3,948","2,261","4,935","2,448","1,421","2,729","2,525"
2021년03월_계_30~39세,"35,355","5,536","8,392","2,481","3,580","2,002","4,744","2,412","1,407","2,537","2,264"
2021년03월_계_40~49세,"32,310","2,709","6,211","2,554","3,199","2,045","4,840","3,470","1,508","2,919","2,855"
2021년03월_계_50~59세,"39,782","2,959","6,178","3,766","4,708","3,218","5,894","3,716","1,983","3,875","3,485"
2021년03월_계_60~69세,"33,446","2,383","4,889","3,067","3,948","2,495","4,883","3,289","1,946","3,442","3,104"
2021년03월_계_70~79세,"17,820","1,162","2,554","1,547","1,902","1,310","2,739","1,769","1,051","1,815","1,971"
2021년03월_계_80~89세,"6,499",376,914,499,729,415,"1,004",700,372,646,844
2021년03월_계_90~99세,836,52,105,68,104,46,156,95,40,77,93
2021년03월_계_100세 이상,44,3,9,2,4,2,4,3,1,2,14
2021년03월_남_총인구수,"116,322","12,671","21,672","9,555","12,248","7,782","16,605","10,386","5,445","10,227","9,731"
2021년03월_남_연령구간인구수,"116,322","12,671","21,672","9,555","12,248","7,782","16,605","10,386","5,445","10,227","9,731"
2021년03월_남_0~9세,"6,257",313,"1,648",441,530,339,919,771,273,540,483
2021년03월_남_10~19세,"7,292",349,"1,126",637,646,483,"1,211","1,040",335,755,710
2021년03월_남_20~29세,"18,638","3,082","3,662","1,476","1,936","1,164","2,506","1,259",773,"1,429","1,351"
2021년03월_남_30~39세,"19,510","3,435","4,643","1,328","1,989","1,095","2,527","1,178",744,"1,342","1,229"
2021년03월_남_40~49세,"17,080","1,699","3,428","1,311","1,675","1,021","2,486","1,711",787,"1,469","1,493"
2021년03월_남_50~59세,"19,994","1,734","3,134","1,889","2,334","1,637","2,895","1,755",959,"1,876","1,781"
2021년03월_남_60~69세,"16,398","1,296","2,465","1,508","1,918","1,234","2,352","1,572",906,"1,673","1,474"
2021년03월_남_70~79세,"8,364",591,"1,143",756,912,622,"1,271",818,514,865,872
2021년03월_남_80~89세,"2,572",162,392,189,284,174,391,266,149,252,313
2021년03월_남_90~99세,205,9,29,20,23,13,44,15,5,25,22
2021년03월_남_100세 이상,12,1,2,0,1,0,3,1,0,1,3
2021년03월_여_총인구수,"113,522","10,539","20,409","9,301","12,197","7,623","16,641","11,164","5,505","10,377","9,766"
2021년03월_여_연령구간인구수,"113,522","10,539","20,409","9,301","12,197","7,623","16,641","11,164","5,505","10,377","9,766"
2021년03월_여_0~9세,"5,906",347,"1,513",419,453,299,871,764,266,532,442
2021년03월_여_10~19세,"7,195",365,"1,191",547,694,490,"1,046","1,073",347,735,707
2021년03월_여_20~29세,"18,464","3,574","3,689","1,352","2,012","1,097","2,429","1,189",648,"1,300","1,174"
2021년03월_여_30~39세,"15,845","2,101","3,749","1,153","1,591",907,"2,217","1,234",663,"1,195","1,035"
2021년03월_여_40~49세,"15,230","1,010","2,783","1,243","1,524","1,024","2,354","1,759",721,"1,450","1,362"
2021년03월_여_50~59세,"19,788","1,225","3,044","1,877","2,374","1,581","2,999","1,961","1,024","1,999","1,704"
2021년03월_여_60~69세,"17,048","1,087","2,424","1,559","2,030","1,261","2,531","1,717","1,040","1,769","1,630"
2021년03월_여_70~79세,"9,456",571,"1,411",791,990,688,"1,468",951,537,950,"1,099"
2021년03월_여_80~89세,"3,927",214,522,310,445,241,613,434,223,394,531
2021년03월_여_90~99세,631,43,76,48,81,33,112,80,35,52,71
2021년03월_여_100세 이상,32,2,7,2,3,2,1,2,1,1,11
