,경기도 의왕시,경기도 의왕시 고천동,경기도 의왕시 부곡동,경기도 의왕시 오전동,경기도 의왕시 내손1동,경기도 의왕시 내손2동,경기도 의왕시 청계동
2020년05월_계_총인구수,"164,150","11,999","29,572","38,352","21,402","26,248","36,577"
2020년05월_계_연령구간인구수,"164,150","11,999","29,572","38,352","21,402","26,248","36,577"
2020년05월_계_0~9세,"13,493",801,"2,263","2,991","1,610","2,510","3,318"
2020년05월_계_10~19세,"15,012",975,"2,516","4,009","2,115","2,237","3,160"
2020년05월_계_20~29세,"23,119","1,519","4,190","5,101","3,356","3,845","5,108"
2020년05월_계_30~39세,"22,856","1,604","4,288","5,011","2,546","3,941","5,466"
2020년05월_계_40~49세,"25,158","1,700","4,437","6,128","3,277","3,963","5,653"
2020년05월_계_50~59세,"29,887","2,062","5,125","6,846","4,293","4,777","6,784"
2020년05월_계_60~69세,"20,671","1,979","3,590","5,143","2,532","3,026","4,401"
2020년05월_계_70~79세,"9,028",915,"1,995","2,137","1,023","1,219","1,739"
2020년05월_계_80~89세,"4,174",366,"1,014",834,549,624,787
2020년05월_계_90~99세,700,73,142,146,86,102,151
2020년05월_계_100세 이상,52,5,12,6,15,4,10
2020년05월_남_총인구수,"81,782","6,084","15,061","19,119","10,478","12,942","18,098"
2020년05월_남_연령구간인구수,"81,782","6,084","15,061","19,119","10,478","12,942","18,098"
2020년05월_남_0~9세,"7,005",431,"1,203","1,517",833,"1,279","1,742"
2020년05월_남_10~19세,"7,738",497,"1,283","2,081","1,131","1,182","1,564"
2020년05월_남_20~29세,"12,236",841,"2,287","2,706","1,707","1,992","2,703"
2020년05월_남_30~39세,"11,737",860,"2,346","2,543","1,253","1,950","2,785"
2020년05월_남_40~49세,"12,377",875,"2,304","2,961","1,538","1,948","2,751"
2020년05월_남_50~59세,"14,450",977,"2,517","3,358","2,048","2,312","3,238"
2020년05월_남_60~69세,"10,418","1,005","1,820","2,591","1,300","1,526","2,176"
2020년05월_남_70~79세,"4,227",460,890,"1,038",459,528,852
2020년05월_남_80~89세,"1,421",123,368,294,187,204,245
2020년05월_남_90~99세,157,12,39,28,20,20,38
2020년05월_남_100세 이상,16,3,4,2,2,1,4
2020년05월_여_총인구수,"82,368","5,915","14,511","19,233","10,924","13,306","18,479"
2020년05월_여_연령구간인구수,"82,368","5,915","14,511","19,233","10,924","13,306","18,479"
2020년05월_여_0~9세,"6,488",370,"1,060","1,474",777,"1,231","1,576"
2020년05월_여_10~19세,"7,274",478,"1,233","1,928",984,"1,055","1,596"
2020년05월_여_20~29세,"10,883",678,"1,903","2,395","1,649","1,853","2,405"
2020년05월_여_30~39세,"11,119",744,"1,942","2,468","1,293","1,991","2,681"
2020년05월_여_40~49세,"12,781",825,"2,133","3,167","1,739","2,015","2,902"
2020년05월_여_50~59세,"15,437","1,085","2,608","3,488","2,245","2,465","3,546"
2020년05월_여_60~69세,"10,253",974,"1,770","2,552","1,232","1,500","2,225"
2020년05월_여_70~79세,"4,801",455,"1,105","1,099",564,691,887
2020년05월_여_80~89세,"2,753",243,646,540,362,420,542
2020년05월_여_90~99세,543,61,103,118,66,82,113
2020년05월_여_100세 이상,36,2,8,4,13,3,6
