,경기도 의왕시,경기도 의왕시 고천동,경기도 의왕시 부곡동,경기도 의왕시 오전동,경기도 의왕시 내손1동,경기도 의왕시 내손2동,경기도 의왕시 청계동
2020년09월_계_총인구수,"163,720","13,926","29,547","38,025","21,361","23,849","37,012"
2020년09월_계_연령구간인구수,"163,720","13,926","29,547","38,025","21,361","23,849","37,012"
2020년09월_계_0~9세,"13,321",874,"2,231","2,892","1,580","2,415","3,329"
2020년09월_계_10~19세,"14,826",993,"2,490","3,939","2,085","2,145","3,174"
2020년09월_계_20~29세,"23,375","2,281","4,154","5,046","3,378","3,366","5,150"
2020년09월_계_30~39세,"22,867","2,315","4,198","4,816","2,468","3,644","5,426"
2020년09월_계_40~49세,"24,779","1,779","4,427","6,058","3,252","3,619","5,644"
2020년09월_계_50~59세,"29,533","2,093","5,138","6,837","4,270","4,295","6,900"
2020년09월_계_60~69세,"21,099","2,098","3,742","5,310","2,620","2,695","4,634"
2020년09월_계_70~79세,"8,990",996,"1,997","2,126","1,047","1,035","1,789"
2020년09월_계_80~89세,"4,157",408,"1,015",841,560,536,797
2020년09월_계_90~99세,722,85,143,153,88,94,159
2020년09월_계_100세 이상,51,4,12,7,13,5,10
2020년09월_남_총인구수,"81,504","7,087","15,040","18,916","10,479","11,718","18,264"
2020년09월_남_연령구간인구수,"81,504","7,087","15,040","18,916","10,479","11,718","18,264"
2020년09월_남_0~9세,"6,917",477,"1,165","1,450",827,"1,236","1,762"
2020년09월_남_10~19세,"7,642",513,"1,286","2,047","1,099","1,140","1,557"
2020년09월_남_20~29세,"12,306","1,209","2,262","2,659","1,730","1,724","2,722"
2020년09월_남_30~39세,"11,745","1,275","2,282","2,450","1,228","1,754","2,756"
2020년09월_남_40~49세,"12,212",921,"2,307","2,929","1,543","1,789","2,723"
2020년09월_남_50~59세,"14,261",996,"2,551","3,337","2,034","2,056","3,287"
2020년09월_남_60~69세,"10,608","1,043","1,892","2,673","1,346","1,359","2,295"
2020년09월_남_70~79세,"4,211",496,877,"1,038",466,460,874
2020년09월_남_80~89세,"1,429",143,372,300,188,177,249
2020년09월_남_90~99세,159,12,42,31,17,22,35
2020년09월_남_100세 이상,14,2,4,2,1,1,4
2020년09월_여_총인구수,"82,216","6,839","14,507","19,109","10,882","12,131","18,748"
2020년09월_여_연령구간인구수,"82,216","6,839","14,507","19,109","10,882","12,131","18,748"
2020년09월_여_0~9세,"6,404",397,"1,066","1,442",753,"1,179","1,567"
2020년09월_여_10~19세,"7,184",480,"1,204","1,892",986,"1,005","1,617"
2020년09월_여_20~29세,"11,069","1,072","1,892","2,387","1,648","1,642","2,428"
2020년09월_여_30~39세,"11,122","1,040","1,916","2,366","1,240","1,890","2,670"
2020년09월_여_40~49세,"12,567",858,"2,120","3,129","1,709","1,830","2,921"
2020년09월_여_50~59세,"15,272","1,097","2,587","3,500","2,236","2,239","3,613"
2020년09월_여_60~69세,"10,491","1,055","1,850","2,637","1,274","1,336","2,339"
2020년09월_여_70~79세,"4,779",500,"1,120","1,088",581,575,915
2020년09월_여_80~89세,"2,728",265,643,541,372,359,548
2020년09월_여_90~99세,563,73,101,122,71,72,124
2020년09월_여_100세 이상,37,2,8,5,12,4,6
