,충청남도 공주시,충청남도 공주시 유구읍,충청남도 공주시 이인면,충청남도 공주시 탄천면,충청남도 공주시 계룡면,충청남도 공주시 반포면,충청남도 공주시 의당면,충청남도 공주시 정안면,충청남도 공주시 우성면,충청남도 공주시 사곡면,충청남도 공주시 신풍면,충청남도 공주시 중학동,충청남도 공주시 웅진동,충청남도 공주시 금학동,충청남도 공주시 옥룡동,충청남도 공주시 신관동,충청남도 공주시 월송동
2020년06월_계_총인구수,"105,440","7,535","3,345","2,980","5,687","4,260","4,676","4,704","5,307","2,971","3,268","4,740","8,301","5,484","8,080","19,556","14,546"
2020년06월_계_연령구간인구수,"105,440","7,535","3,345","2,980","5,687","4,260","4,676","4,704","5,307","2,971","3,268","4,740","8,301","5,484","8,080","19,556","14,546"
2020년06월_계_0~9세,"6,069",271,111,67,193,172,211,129,165,81,87,196,452,385,336,"1,504","1,709"
2020년06월_계_10~19세,"8,446",423,142,132,294,210,371,229,305,157,89,358,736,581,574,"2,110","1,735"
2020년06월_계_20~29세,"11,475",512,223,194,352,354,449,294,401,193,178,584,921,767,906,"3,246","1,901"
2020년06월_계_30~39세,"9,806",506,214,186,336,310,399,276,353,157,197,403,870,521,725,"2,323","2,030"
2020년06월_계_40~49세,"13,590",825,286,231,532,491,592,430,570,268,309,603,"1,168",793,"1,028","3,061","2,403"
2020년06월_계_50~59세,"18,700","1,376",619,511,"1,058",980,960,849,963,542,641,818,"1,414",906,"1,563","3,245","2,255"
2020년06월_계_60~69세,"17,815","1,712",736,632,"1,350",947,802,"1,091","1,077",641,848,799,"1,382",820,"1,427","2,239","1,312"
2020년06월_계_70~79세,"11,430","1,108",559,537,884,496,514,735,822,499,528,601,856,436,974,"1,174",707
2020년06월_계_80~89세,"7,075",713,400,427,601,258,325,585,565,386,336,322,437,241,493,570,416
2020년06월_계_90~99세,973,82,50,59,82,41,52,82,79,43,51,54,59,33,52,79,75
2020년06월_계_100세 이상,61,7,5,4,5,1,1,4,7,4,4,2,6,1,2,5,3
2020년06월_남_총인구수,"52,838","3,805","1,702","1,547","2,892","2,256","2,431","2,434","2,757","1,491","1,458","2,372","4,090","2,749","4,077","9,589","7,188"
2020년06월_남_연령구간인구수,"52,838","3,805","1,702","1,547","2,892","2,256","2,431","2,434","2,757","1,491","1,458","2,372","4,090","2,749","4,077","9,589","7,188"
2020년06월_남_0~9세,"3,155",152,49,36,96,104,102,70,87,44,45,99,245,202,181,772,871
2020년06월_남_10~19세,"4,362",214,92,64,153,122,187,124,149,77,44,194,355,292,302,"1,074",919
2020년06월_남_20~29세,"6,390",321,122,124,189,211,280,188,254,103,105,329,509,376,532,"1,727","1,020"
2020년06월_남_30~39세,"5,252",307,123,114,183,184,214,165,208,100,105,238,491,275,411,"1,161",973
2020년06월_남_40~49세,"7,164",463,183,145,321,266,347,270,353,160,132,307,606,415,563,"1,500","1,133"
2020년06월_남_50~59세,"9,676",683,354,302,604,516,515,445,551,305,280,422,718,472,806,"1,564","1,139"
2020년06월_남_60~69세,"8,893",873,382,336,692,503,423,578,556,327,374,385,631,423,686,"1,053",671
2020년06월_남_70~79세,"5,207",511,258,256,420,234,244,348,386,224,237,266,362,213,412,521,315
2020년06월_남_80~89세,"2,466",257,119,157,211,105,108,222,186,140,117,118,154,76,173,198,125
2020년06월_남_90~99세,260,20,20,13,21,11,11,24,27,10,19,14,18,4,11,16,21
2020년06월_남_100세 이상,13,4,0,0,2,0,0,0,0,1,0,0,1,1,0,3,1
2020년06월_여_총인구수,"52,602","3,730","1,643","1,433","2,795","2,004","2,245","2,270","2,550","1,480","1,810","2,368","4,211","2,735","4,003","9,967","7,358"
2020년06월_여_연령구간인구수,"52,602","3,730","1,643","1,433","2,795","2,004","2,245","2,270","2,550","1,480","1,810","2,368","4,211","2,735","4,003","9,967","7,358"
2020년06월_여_0~9세,"2,914",119,62,31,97,68,109,59,78,37,42,97,207,183,155,732,838
2020년06월_여_10~19세,"4,084",209,50,68,141,88,184,105,156,80,45,164,381,289,272,"1,036",816
2020년06월_여_20~29세,"5,085",191,101,70,163,143,169,106,147,90,73,255,412,391,374,"1,519",881
2020년06월_여_30~39세,"4,554",199,91,72,153,126,185,111,145,57,92,165,379,246,314,"1,162","1,057"
2020년06월_여_40~49세,"6,426",362,103,86,211,225,245,160,217,108,177,296,562,378,465,"1,561","1,270"
2020년06월_여_50~59세,"9,024",693,265,209,454,464,445,404,412,237,361,396,696,434,757,"1,681","1,116"
2020년06월_여_60~69세,"8,922",839,354,296,658,444,379,513,521,314,474,414,751,397,741,"1,186",641
2020년06월_여_70~79세,"6,223",597,301,281,464,262,270,387,436,275,291,335,494,223,562,653,392
2020년06월_여_80~89세,"4,609",456,281,270,390,153,217,363,379,246,219,204,283,165,320,372,291
2020년06월_여_90~99세,713,62,30,46,61,30,41,58,52,33,32,40,41,29,41,63,54
2020년06월_여_100세 이상,48,3,5,4,3,1,1,4,7,3,4,2,5,0,2,2,2
