,경기도 광주시,경기도 광주시 오포읍,경기도 광주시 초월읍,경기도 광주시 곤지암읍,경기도 광주시 도척면,경기도 광주시 퇴촌면,경기도 광주시 남종면,경기도 광주시 남한산성면,경기도 광주시 경안동,경기도 광주시 송정동,경기도 광주시 광남동
2020년09월_계_총인구수,"380,291","111,688","45,663","22,819","9,208","14,842","1,497","2,639","43,296","61,141","67,498"
2020년09월_계_연령구간인구수,"380,291","111,688","45,663","22,819","9,208","14,842","1,497","2,639","43,296","61,141","67,498"
2020년09월_계_0~9세,"35,541","11,359","3,819","1,392",474,"1,062",43,145,"4,054","4,957","8,236"
2020년09월_계_10~19세,"33,820","8,811","4,980","1,835",630,"1,192",67,213,"3,924","5,648","6,520"
2020년09월_계_20~29세,"44,886","13,453","5,445","2,820",947,"1,130",113,176,"5,716","7,785","7,301"
2020년09월_계_30~39세,"58,406","20,295","6,096","2,745",959,"1,440",96,231,"6,549","8,519","11,476"
2020년09월_계_40~49세,"66,303","19,772","8,093","3,576","1,349","2,392",156,382,"7,338","10,549","12,696"
2020년09월_계_50~59세,"63,075","17,114","7,780","4,553","1,805","2,528",261,496,"7,409","11,206","9,923"
2020년09월_계_60~69세,"47,032","12,632","5,639","3,360","1,738","2,863",376,505,"5,030","7,766","7,123"
2020년09월_계_70~79세,"21,745","5,824","2,601","1,620",827,"1,559",234,305,"2,318","3,380","3,077"
2020년09월_계_80~89세,"8,133","2,078","1,056",792,401,572,132,155,824,"1,143",980
2020년09월_계_90~99세,"1,249",332,149,106,69,98,19,29,117,167,163
2020년09월_계_100세 이상,101,18,5,20,9,6,0,2,17,21,3
2020년09월_남_총인구수,"194,524","56,653","23,755","12,145","5,071","7,556",775,"1,410","22,018","30,996","34,145"
2020년09월_남_연령구간인구수,"194,524","56,653","23,755","12,145","5,071","7,556",775,"1,410","22,018","30,996","34,145"
2020년09월_남_0~9세,"18,282","5,878","1,998",702,249,539,21,71,"2,128","2,498","4,198"
2020년09월_남_10~19세,"17,311","4,550","2,516",951,339,634,39,113,"1,982","2,822","3,365"
2020년09월_남_20~29세,"23,737","7,043","2,884","1,563",550,626,61,92,"3,001","4,135","3,782"
2020년09월_남_30~39세,"30,490","10,587","3,252","1,535",549,740,46,128,"3,372","4,548","5,733"
2020년09월_남_40~49세,"35,045","10,542","4,283","1,925",815,"1,311",88,218,"3,797","5,449","6,617"
2020년09월_남_50~59세,"32,188","8,322","4,207","2,545","1,008","1,285",142,285,"3,792","5,582","5,020"
2020년09월_남_60~69세,"23,561","6,102","2,940","1,796",968,"1,388",204,282,"2,521","3,871","3,489"
2020년09월_남_70~79세,"10,545","2,766","1,252",797,422,794,111,148,"1,103","1,618","1,534"
2020년09월_남_80~89세,"3,061",779,394,298,149,215,56,68,298,428,376
2020년09월_남_90~99세,278,78,28,26,20,23,7,5,18,42,31
2020년09월_남_100세 이상,26,6,1,7,2,1,0,0,6,3,0
2020년09월_여_총인구수,"185,767","55,035","21,908","10,674","4,137","7,286",722,"1,229","21,278","30,145","33,353"
2020년09월_여_연령구간인구수,"185,767","55,035","21,908","10,674","4,137","7,286",722,"1,229","21,278","30,145","33,353"
2020년09월_여_0~9세,"17,259","5,481","1,821",690,225,523,22,74,"1,926","2,459","4,038"
2020년09월_여_10~19세,"16,509","4,261","2,464",884,291,558,28,100,"1,942","2,826","3,155"
2020년09월_여_20~29세,"21,149","6,410","2,561","1,257",397,504,52,84,"2,715","3,650","3,519"
2020년09월_여_30~39세,"27,916","9,708","2,844","1,210",410,700,50,103,"3,177","3,971","5,743"
2020년09월_여_40~49세,"31,258","9,230","3,810","1,651",534,"1,081",68,164,"3,541","5,100","6,079"
2020년09월_여_50~59세,"30,887","8,792","3,573","2,008",797,"1,243",119,211,"3,617","5,624","4,903"
2020년09월_여_60~69세,"23,471","6,530","2,699","1,564",770,"1,475",172,223,"2,509","3,895","3,634"
2020년09월_여_70~79세,"11,200","3,058","1,349",823,405,765,123,157,"1,215","1,762","1,543"
2020년09월_여_80~89세,"5,072","1,299",662,494,252,357,76,87,526,715,604
2020년09월_여_90~99세,971,254,121,80,49,75,12,24,99,125,132
2020년09월_여_100세 이상,75,12,4,13,7,5,0,2,11,18,3
