카테고리,울산광역시 울주군,울산광역시 울주군 온산읍,울산광역시 울주군 언양읍,울산광역시 울주군 온양읍,울산광역시 울주군 범서읍,울산광역시 울주군 청량읍,울산광역시 울주군 삼남읍,울산광역시 울주군 서생면,울산광역시 울주군 웅촌면,울산광역시 울주군 두동면,울산광역시 울주군 두서면,울산광역시 울주군 상북면,울산광역시 울주군 삼동면
2021년09월_계_총인구수,"221,983","20,372","28,363","28,698","69,911","19,156","22,376","8,327","7,724","4,232","3,101","7,955","1,768"
2021년09월_계_연령구간인구수,"221,983","20,372","28,363","28,698","69,911","19,156","22,376","8,327","7,724","4,232","3,101","7,955","1,768"
2021년09월_계_0~9세,"16,791","1,416","2,330","2,470","6,225","1,679","1,463",465,286,132,47,241,37
2021년09월_계_10~19세,"22,047","1,625","2,745","3,230","9,755","1,548","1,537",488,356,187,114,404,58
2021년09월_계_20~29세,"26,092","2,503","3,405","3,285","9,139","2,158","2,813",751,819,293,154,677,95
2021년09월_계_30~39세,"25,017","2,739","3,165","3,425","7,332","2,799","2,966",844,632,282,195,536,102
2021년09월_계_40~49세,"36,293","3,665","4,488","5,232","13,233","2,873","3,252","1,159",755,403,228,863,142
2021년09월_계_50~59세,"42,201","4,036","5,237","5,291","13,133","3,505","4,331","1,557","1,632",889,534,"1,693",363
2021년09월_계_60~69세,"31,724","2,697","4,161","3,475","7,150","2,800","3,581","1,692","1,761","1,122",874,"1,926",485
2021년09월_계_70~79세,"14,073","1,132","1,803","1,481","2,653","1,184","1,629",901,909,551,540,"1,005",285
2021년09월_계_80~89세,"6,697",489,877,706,"1,141",523,674,414,496,318,360,523,176
2021년09월_계_90~99세,"1,026",65,146,102,149,86,128,56,77,53,55,85,24
2021년09월_계_100세 이상,22,5,6,1,1,1,2,0,1,2,0,2,1
2021년09월_남_총인구수,"114,725","11,700","14,211","14,940","35,177","9,911","11,557","4,492","4,014","2,187","1,550","4,050",936
2021년09월_남_연령구간인구수,"114,725","11,700","14,211","14,940","35,177","9,911","11,557","4,492","4,014","2,187","1,550","4,050",936
2021년09월_남_0~9세,"8,642",747,"1,153","1,268","3,200",866,766,251,145,66,26,136,18
2021년09월_남_10~19세,"11,448",862,"1,395","1,650","5,100",775,801,260,200,99,58,216,32
2021년09월_남_20~29세,"14,937","1,572","1,935","1,832","5,089","1,195","1,647",461,487,167,88,405,59
2021년09월_남_30~39세,"13,369","1,731","1,643","1,814","3,580","1,521","1,624",450,353,161,111,314,67
2021년09월_남_40~49세,"18,578","2,243","2,225","2,732","6,116","1,482","1,715",719,435,236,136,449,90
2021년09월_남_50~59세,"22,265","2,424","2,618","2,873","6,723","1,856","2,174",923,852,477,291,850,204
2021년09월_남_60~69세,"16,437","1,431","2,086","1,843","3,726","1,466","1,804",846,929,602,459,986,259
2021년09월_남_70~79세,"6,675",527,854,691,"1,239",563,774,418,428,278,252,511,140
2021년09월_남_80~89세,"2,183",155,275,218,376,172,225,155,165,93,119,166,64
2021년09월_남_90~99세,189,6,27,19,28,15,27,9,20,8,10,17,3
2021년09월_남_100세 이상,2,2,0,0,0,0,0,0,0,0,0,0,0
2021년09월_여_총인구수,"107,258","8,672","14,152","13,758","34,734","9,245","10,819","3,835","3,710","2,045","1,551","3,905",832
2021년09월_여_연령구간인구수,"107,258","8,672","14,152","13,758","34,734","9,245","10,819","3,835","3,710","2,045","1,551","3,905",832
2021년09월_여_0~9세,"8,149",669,"1,177","1,202","3,025",813,697,214,141,66,21,105,19
2021년09월_여_10~19세,"10,599",763,"1,350","1,580","4,655",773,736,228,156,88,56,188,26
2021년09월_여_20~29세,"11,155",931,"1,470","1,453","4,050",963,"1,166",290,332,126,66,272,36
2021년09월_여_30~39세,"11,648","1,008","1,522","1,611","3,752","1,278","1,342",394,279,121,84,222,35
2021년09월_여_40~49세,"17,715","1,422","2,263","2,500","7,117","1,391","1,537",440,320,167,92,414,52
2021년09월_여_50~59세,"19,936","1,612","2,619","2,418","6,410","1,649","2,157",634,780,412,243,843,159
2021년09월_여_60~69세,"15,287","1,266","2,075","1,632","3,424","1,334","1,777",846,832,520,415,940,226
2021년09월_여_70~79세,"7,398",605,949,790,"1,414",621,855,483,481,273,288,494,145
2021년09월_여_80~89세,"4,514",334,602,488,765,351,449,259,331,225,241,357,112
2021년09월_여_90~99세,837,59,119,83,121,71,101,47,57,45,45,68,21
2021년09월_여_100세 이상,20,3,6,1,1,1,2,0,1,2,0,2,1
