카테고리,부산광역시 금정구,부산광역시 금정구 서제1동,부산광역시 금정구 서제2동,부산광역시 금정구 서제3동,부산광역시 금정구 금사회동동,부산광역시 금정구 부곡제1동,부산광역시 금정구 부곡제2동,부산광역시 금정구 부곡제3동,부산광역시 금정구 부곡제4동,부산광역시 금정구 장전제1동,부산광역시 금정구 장전제2동,부산광역시 금정구 장전제3동,부산광역시 금정구 선두구동,부산광역시 금정구 청룡노포동,부산광역시 금정구 남산동,부산광역시 금정구 구서제1동,부산광역시 금정구 구서제2동,부산광역시 금정구 금성동
2020년01월_계_80~89세,"8,326",348,371,494,304,436,601,568,469,459,842,0,153,490,"1,084",557,"1,104",46
2020년01월_계_90~99세,"1,122",31,45,49,47,39,72,85,72,49,169,0,21,68,137,69,158,11
2020년01월_계_100세 이상,193,11,14,12,3,3,6,5,1,10,96,0,2,5,7,7,9,2
2020년01월_남_총인구수,"116,818","3,331","5,174","5,907","4,601","4,318","8,264","8,435","6,577","9,156","13,473",0,"1,300","5,018","14,944","9,240","16,530",550
2020년01월_남_연령구간인구수,"116,818","3,331","5,174","5,907","4,601","4,318","8,264","8,435","6,577","9,156","13,473",0,"1,300","5,018","14,944","9,240","16,530",550
2020년01월_남_0~9세,"7,244",69,193,204,179,179,500,671,318,501,"1,476",0,42,279,718,689,"1,184",42
2020년01월_남_10~19세,"9,800",181,289,328,234,275,790,739,473,629,"1,384",0,63,393,"1,208",939,"1,810",65
2020년01월_남_20~29세,"18,500",381,674,725,513,510,"1,358","1,306",884,"3,101","1,837",0,133,670,"2,582","1,339","2,441",46
2020년01월_남_30~39세,"13,931",336,580,684,537,491,955,"1,162",836,"1,102","1,903",0,123,517,"1,764","1,100","1,798",43
2020년01월_남_40~49세,"16,617",513,706,797,634,651,"1,156","1,183",980,"1,115","2,321",0,138,637,"1,959","1,392","2,344",91
2020년01월_남_50~59세,"20,055",678,"1,062","1,180",891,737,"1,440","1,407","1,093","1,146","1,799",0,286,865,"2,741","1,649","2,989",92
2020년01월_남_60~69세,"17,668",649,"1,008","1,165",977,799,"1,198","1,174","1,160",868,"1,472",0,289,872,"2,279","1,295","2,357",106
2020년01월_남_70~79세,"9,695",388,512,619,512,519,638,566,652,508,924,0,168,560,"1,270",632,"1,179",48
2020년01월_남_80~89세,"3,006",128,139,194,114,142,215,203,169,174,301,0,50,201,391,191,381,13
2020년01월_남_90~99세,262,7,7,11,9,13,13,22,12,9,33,0,8,24,32,13,46,3
2020년01월_남_100세 이상,40,1,4,0,1,2,1,2,0,3,23,0,0,0,0,1,1,1
2020년01월_여_총인구수,"121,738","3,227","5,200","5,795","4,150","4,651","8,836","9,148","7,029","8,724","14,499",0,"1,153","5,191","15,511","10,180","17,870",574
2020년01월_여_연령구간인구수,"121,738","3,227","5,200","5,795","4,150","4,651","8,836","9,148","7,029","8,724","14,499",0,"1,153","5,191","15,511","10,180","17,870",574
2020년01월_여_0~9세,"6,810",60,200,190,143,158,439,647,293,537,"1,313",0,39,282,662,668,"1,136",43
2020년01월_여_10~19세,"9,104",161,272,307,190,264,718,724,407,608,"1,152",0,55,349,"1,123",994,"1,723",57
2020년01월_여_20~29세,"15,646",283,555,564,406,439,"1,203","1,185",768,"2,304","1,697",0,93,475,"2,179","1,207","2,254",34
2020년01월_여_30~39세,"13,029",231,478,508,414,416,948,"1,146",768,935,"2,078",0,78,503,"1,494","1,133","1,853",46
2020년01월_여_40~49세,"16,829",366,596,639,440,547,"1,312","1,284",913,"1,072","2,414",0,123,682,"1,990","1,599","2,759",93
2020년01월_여_50~59세,"22,332",623,"1,088","1,232",851,829,"1,661","1,676","1,290","1,240","2,147",0,229,955,"3,150","1,941","3,325",95
2020년01월_여_60~69세,"20,042",766,"1,143","1,221",940,"1,002","1,311","1,366","1,436","1,084","1,797",0,241,"1,021","2,559","1,424","2,627",104
2020년01월_여_70~79세,"11,613",483,588,784,536,675,794,689,793,612,"1,151",0,177,586,"1,549",786,"1,350",60
2020년01월_여_80~89세,"5,320",220,232,300,190,294,386,365,300,285,541,0,103,289,693,366,723,33
2020년01월_여_90~99세,860,24,38,38,38,26,59,63,60,40,136,0,13,44,105,56,112,8
2020년01월_여_100세 이상,153,10,10,12,2,1,5,3,1,7,73,0,2,5,7,6,8,1
