카테고리,전라북도 고창군,전라북도 고창군 고창읍,전라북도 고창군 고수면,전라북도 고창군 아산면,전라북도 고창군 무장면,전라북도 고창군 공음면,전라북도 고창군 상하면,전라북도 고창군 해리면,전라북도 고창군 성송면,전라북도 고창군 대산면,전라북도 고창군 심원면,전라북도 고창군 흥덕면,전라북도 고창군 성내면,전라북도 고창군 신림면,전라북도 고창군 부안면
2020년10월_계_총인구수,"54,588","21,328","2,242","2,698","2,795","2,553","2,430","2,827","1,810","3,357","2,529","3,132","1,964","2,247","2,676"
2020년10월_계_연령구간인구수,"54,588","21,328","2,242","2,698","2,795","2,553","2,430","2,827","1,810","3,357","2,529","3,132","1,964","2,247","2,676"
2020년10월_계_0~9세,"2,724","1,834",53,79,88,68,62,86,45,79,72,85,44,57,72
2020년10월_계_10~19세,"4,170","2,577",108,102,211,121,148,114,53,156,107,151,74,109,139
2020년10월_계_20~29세,"4,357","2,404",142,173,163,140,168,143,77,195,161,211,118,137,125
2020년10월_계_30~39세,"3,896","2,132",126,146,140,138,128,140,93,159,159,173,110,119,133
2020년10월_계_40~49세,"6,229","3,194",194,252,242,211,246,234,155,300,254,304,174,213,256
2020년10월_계_50~59세,"9,132","3,448",409,501,462,424,429,449,284,594,494,549,306,371,412
2020년10월_계_60~69세,"9,606","2,758",474,545,533,544,444,633,414,681,523,661,423,439,534
2020년10월_계_70~79세,"8,398","1,821",411,526,590,517,481,609,339,676,464,549,399,443,573
2020년10월_계_80~89세,"5,243",978,280,323,327,342,283,367,310,447,258,389,270,299,370
2020년10월_계_90~99세,797,174,44,50,38,46,40,50,39,64,36,55,46,57,58
2020년10월_계_100세 이상,36,8,1,1,1,2,1,2,1,6,1,5,0,3,4
2020년10월_남_총인구수,"26,948","10,531","1,153","1,367","1,372","1,254","1,170","1,379",888,"1,656","1,282","1,521",992,"1,082","1,301"
2020년10월_남_연령구간인구수,"26,948","10,531","1,153","1,367","1,372","1,254","1,170","1,379",888,"1,656","1,282","1,521",992,"1,082","1,301"
2020년10월_남_0~9세,"1,432",958,25,39,46,42,37,47,20,45,42,42,20,31,38
2020년10월_남_10~19세,"2,254","1,386",63,59,125,58,85,50,34,85,52,72,50,51,84
2020년10월_남_20~29세,"2,459","1,320",91,100,95,80,92,80,49,114,93,123,70,75,77
2020년10월_남_30~39세,"2,090","1,042",80,84,80,84,70,85,55,99,96,100,64,67,84
2020년10월_남_40~49세,"3,552","1,626",127,162,150,124,144,158,102,190,176,176,123,133,161
2020년10월_남_50~59세,"4,975","1,706",247,304,257,249,238,259,176,326,272,300,170,213,258
2020년10월_남_60~69세,"4,767","1,320",255,273,259,263,218,307,200,358,271,339,227,225,252
2020년10월_남_70~79세,"3,602",794,184,228,238,232,198,282,145,284,195,226,177,189,230
2020년10월_남_80~89세,"1,672",344,77,110,115,110,78,104,97,140,80,136,84,90,107
2020년10월_남_90~99세,144,35,4,8,7,12,10,7,10,14,5,7,7,8,10
2020년10월_남_100세 이상,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2020년10월_여_총인구수,"27,640","10,797","1,089","1,331","1,423","1,299","1,260","1,448",922,"1,701","1,247","1,611",972,"1,165","1,375"
2020년10월_여_연령구간인구수,"27,640","10,797","1,089","1,331","1,423","1,299","1,260","1,448",922,"1,701","1,247","1,611",972,"1,165","1,375"
2020년10월_여_0~9세,"1,292",876,28,40,42,26,25,39,25,34,30,43,24,26,34
2020년10월_여_10~19세,"1,916","1,191",45,43,86,63,63,64,19,71,55,79,24,58,55
2020년10월_여_20~29세,"1,898","1,084",51,73,68,60,76,63,28,81,68,88,48,62,48
2020년10월_여_30~39세,"1,806","1,090",46,62,60,54,58,55,38,60,63,73,46,52,49
2020년10월_여_40~49세,"2,677","1,568",67,90,92,87,102,76,53,110,78,128,51,80,95
2020년10월_여_50~59세,"4,157","1,742",162,197,205,175,191,190,108,268,222,249,136,158,154
2020년10월_여_60~69세,"4,839","1,438",219,272,274,281,226,326,214,323,252,322,196,214,282
2020년10월_여_70~79세,"4,796","1,027",227,298,352,285,283,327,194,392,269,323,222,254,343
2020년10월_여_80~89세,"3,571",634,203,213,212,232,205,263,213,307,178,253,186,209,263
2020년10월_여_90~99세,653,139,40,42,31,34,30,43,29,50,31,48,39,49,48
2020년10월_여_100세 이상,35,8,1,1,1,2,1,2,1,5,1,5,0,3,4
