,경기도 구리시,경기도 구리시 갈매동,경기도 구리시 동구동,경기도 구리시 인창동,경기도 구리시 교문1동,경기도 구리시 교문2동,경기도 구리시 수택1동,경기도 구리시 수택2동,경기도 구리시 수택3동
2020년08월_계_총인구수,"197,889","31,601","38,557","22,525","16,429","22,457","18,530","25,690","22,100"
2020년08월_계_연령구간인구수,"197,889","31,601","38,557","22,525","16,429","22,457","18,530","25,690","22,100"
2020년08월_계_0~9세,"15,600","4,699","2,880","1,699",781,"1,651",792,"1,404","1,694"
2020년08월_계_10~19세,"18,372","2,244","4,134","2,287","1,114","2,816","1,321","2,148","2,308"
2020년08월_계_20~29세,"27,331","3,399","5,655","3,240","2,226","3,082","2,876","3,825","3,028"
2020년08월_계_30~39세,"26,757","6,294","4,729","2,843","2,061","2,565","2,213","3,213","2,839"
2020년08월_계_40~49세,"33,028","5,591","6,517","3,838","2,499","3,976","2,686","3,788","4,133"
2020년08월_계_50~59세,"35,840","4,262","7,320","4,148","3,274","3,930","3,872","5,072","3,962"
2020년08월_계_60~69세,"23,798","3,195","4,155","2,500","2,519","2,625","2,814","3,668","2,322"
2020년08월_계_70~79세,"11,627","1,428","2,061","1,327","1,302","1,208","1,355","1,730","1,216"
2020년08월_계_80~89세,"4,784",413,969,561,543,532,519,729,518
2020년08월_계_90~99세,673,72,131,75,85,67,73,98,72
2020년08월_계_100세 이상,79,4,6,7,25,5,9,15,8
2020년08월_남_총인구수,"98,262","15,708","19,053","11,064","8,344","10,912","9,205","12,845","11,131"
2020년08월_남_연령구간인구수,"98,262","15,708","19,053","11,064","8,344","10,912","9,205","12,845","11,131"
2020년08월_남_0~9세,"8,078","2,451","1,542",864,406,826,421,703,865
2020년08월_남_10~19세,"9,475","1,103","2,183","1,193",536,"1,438",690,"1,138","1,194"
2020년08월_남_20~29세,"14,028","1,688","2,913","1,633","1,156","1,588","1,429","2,019","1,602"
2020년08월_남_30~39세,"13,501","3,063","2,363","1,410","1,123","1,239","1,188","1,676","1,439"
2020년08월_남_40~49세,"16,444","2,978","3,092","1,857","1,348","1,840","1,353","1,958","2,018"
2020년08월_남_50~59세,"17,652","2,031","3,564","2,038","1,669","1,904","1,922","2,480","2,044"
2020년08월_남_60~69세,"11,921","1,542","2,116","1,234","1,269","1,296","1,427","1,831","1,206"
2020년08월_남_70~79세,"5,198",708,871,593,598,556,572,757,543
2020년08월_남_80~89세,"1,766",126,371,210,203,209,183,262,202
2020년08월_남_90~99세,174,16,36,29,25,16,18,17,17
2020년08월_남_100세 이상,25,2,2,3,11,0,2,4,1
2020년08월_여_총인구수,"99,627","15,893","19,504","11,461","8,085","11,545","9,325","12,845","10,969"
2020년08월_여_연령구간인구수,"99,627","15,893","19,504","11,461","8,085","11,545","9,325","12,845","10,969"
2020년08월_여_0~9세,"7,522","2,248","1,338",835,375,825,371,701,829
2020년08월_여_10~19세,"8,897","1,141","1,951","1,094",578,"1,378",631,"1,010","1,114"
2020년08월_여_20~29세,"13,303","1,711","2,742","1,607","1,070","1,494","1,447","1,806","1,426"
2020년08월_여_30~39세,"13,256","3,231","2,366","1,433",938,"1,326","1,025","1,537","1,400"
2020년08월_여_40~49세,"16,584","2,613","3,425","1,981","1,151","2,136","1,333","1,830","2,115"
2020년08월_여_50~59세,"18,188","2,231","3,756","2,110","1,605","2,026","1,950","2,592","1,918"
2020년08월_여_60~69세,"11,877","1,653","2,039","1,266","1,250","1,329","1,387","1,837","1,116"
2020년08월_여_70~79세,"6,429",720,"1,190",734,704,652,783,973,673
2020년08월_여_80~89세,"3,018",287,598,351,340,323,336,467,316
2020년08월_여_90~99세,499,56,95,46,60,51,55,81,55
2020년08월_여_100세 이상,54,2,4,4,14,5,7,11,7
