카테고리,경기도 군포시,경기도 군포시 군포1동,경기도 군포시 군포2동,경기도 군포시 산본1동,경기도 군포시 산본2동,경기도 군포시 금정동,경기도 군포시 재궁동,경기도 군포시 오금동,경기도 군포시 수리동,경기도 군포시 궁내동,경기도 군포시 대야동,경기도 군포시 광정동
2020년02월_계_총인구수,"275,857","33,032","54,091","16,418","27,893","17,530","19,696","22,701","17,246","21,386","20,256","25,608"
2020년02월_계_연령구간인구수,"275,857","33,032","54,091","16,418","27,893","17,530","19,696","22,701","17,246","21,386","20,256","25,608"
2020년02월_계_0~9세,"22,252","2,104","5,106",802,"2,476",893,"1,334","2,164","1,200","1,977","2,293","1,903"
2020년02월_계_10~19세,"27,779","2,790","6,319",953,"2,909","1,252","1,581","2,320","1,731","3,291","1,753","2,880"
2020년02월_계_20~29세,"38,183","5,107","7,335","2,484","3,886","2,702","2,832","2,837","2,159","2,579","2,662","3,600"
2020년02월_계_30~39세,"39,703","4,635","7,481","2,272","3,781","2,407","3,406","3,960","2,321","2,257","3,787","3,396"
2020년02월_계_40~49세,"45,728","5,093","9,400","2,190","4,567","2,646","2,945","4,017","2,845","4,351","3,221","4,453"
2020년02월_계_50~59세,"48,374","6,458","9,436","3,226","4,902","3,562","3,228","3,431","3,014","3,549","3,226","4,342"
2020년02월_계_60~69세,"30,836","4,184","5,426","2,533","3,233","2,535","2,409","2,142","1,966","1,794","2,028","2,586"
2020년02월_계_70~79세,"14,614","1,812","2,386","1,310","1,353","1,073","1,219","1,111","1,169",932,882,"1,367"
2020년02월_계_80~89세,"7,201",722,"1,014",564,669,400,641,641,749,568,333,900
2020년02월_계_90~99세,"1,117",117,174,76,115,53,95,78,88,85,66,170
2020년02월_계_100세 이상,70,10,14,8,2,7,6,0,4,3,5,11
2020년02월_남_총인구수,"136,998","17,402","26,909","8,200","13,562","9,098","9,384","11,073","8,254","10,443","10,214","12,459"
2020년02월_남_연령구간인구수,"136,998","17,402","26,909","8,200","13,562","9,098","9,384","11,073","8,254","10,443","10,214","12,459"
2020년02월_남_0~9세,"11,429","1,101","2,641",416,"1,263",482,681,"1,077",556,"1,060","1,155",997
2020년02월_남_10~19세,"14,303","1,460","3,236",499,"1,506",653,810,"1,213",898,"1,649",895,"1,484"
2020년02월_남_20~29세,"19,965","2,837","3,776","1,328","2,039","1,423","1,424","1,477","1,105","1,380","1,357","1,819"
2020년02월_남_30~39세,"20,491","2,642","3,766","1,298","1,808","1,352","1,764","1,980","1,172","1,050","1,973","1,686"
2020년02월_남_40~49세,"22,476","2,674","4,597","1,158","2,163","1,432","1,402","1,920","1,363","2,003","1,658","2,106"
2020년02월_남_50~59세,"23,684","3,371","4,614","1,516","2,289","1,816","1,473","1,646","1,462","1,765","1,554","2,178"
2020년02월_남_60~69세,"15,293","2,153","2,751","1,205","1,622","1,284","1,115","1,014",914,912,"1,049","1,274"
2020년02월_남_70~79세,"6,495",854,"1,135",591,600,509,468,467,460,390,437,584
2020년02월_남_80~89세,"2,542",274,342,174,244,133,222,255,290,202,118,288
2020년02월_남_90~99세,297,32,46,14,28,11,23,24,32,31,16,40
2020년02월_남_100세 이상,23,4,5,1,0,3,2,0,2,1,2,3
2020년02월_여_총인구수,"138,859","15,630","27,182","8,218","14,331","8,432","10,312","11,628","8,992","10,943","10,042","13,149"
2020년02월_여_연령구간인구수,"138,859","15,630","27,182","8,218","14,331","8,432","10,312","11,628","8,992","10,943","10,042","13,149"
2020년02월_여_0~9세,"10,823","1,003","2,465",386,"1,213",411,653,"1,087",644,917,"1,138",906
2020년02월_여_10~19세,"13,476","1,330","3,083",454,"1,403",599,771,"1,107",833,"1,642",858,"1,396"
2020년02월_여_20~29세,"18,218","2,270","3,559","1,156","1,847","1,279","1,408","1,360","1,054","1,199","1,305","1,781"
2020년02월_여_30~39세,"19,212","1,993","3,715",974,"1,973","1,055","1,642","1,980","1,149","1,207","1,814","1,710"
2020년02월_여_40~49세,"23,252","2,419","4,803","1,032","2,404","1,214","1,543","2,097","1,482","2,348","1,563","2,347"
2020년02월_여_50~59세,"24,690","3,087","4,822","1,710","2,613","1,746","1,755","1,785","1,552","1,784","1,672","2,164"
2020년02월_여_60~69세,"15,543","2,031","2,675","1,328","1,611","1,251","1,294","1,128","1,052",882,979,"1,312"
2020년02월_여_70~79세,"8,119",958,"1,251",719,753,564,751,644,709,542,445,783
2020년02월_여_80~89세,"4,659",448,672,390,425,267,419,386,459,366,215,612
2020년02월_여_90~99세,820,85,128,62,87,42,72,54,56,54,50,130
2020년02월_여_100세 이상,47,6,9,7,2,4,4,0,2,2,3,8
