,경기도 구리시,경기도 구리시 갈매동,경기도 구리시 동구동,경기도 구리시 인창동,경기도 구리시 교문1동,경기도 구리시 교문2동,경기도 구리시 수택1동,경기도 구리시 수택2동,경기도 구리시 수택3동
2021년08월_계_총인구수,"193,662","30,994","37,736","23,336","16,476","21,944","15,710","25,657","21,809"
2021년08월_계_연령구간인구수,"193,662","30,994","37,736","23,336","16,476","21,944","15,710","25,657","21,809"
2021년08월_계_0~9세,"14,394","4,413","2,569","1,688",719,"1,478",741,"1,280","1,506"
2021년08월_계_10~19세,"17,511","2,353","3,833","2,322","1,056","2,628","1,070","2,023","2,226"
2021년08월_계_20~29세,"26,445","3,215","5,503","3,357","2,217","3,007","2,353","3,752","3,041"
2021년08월_계_30~39세,"25,268","5,565","4,514","3,000","2,003","2,451","1,933","3,152","2,650"
2021년08월_계_40~49세,"31,942","5,975","6,135","3,854","2,484","3,731","2,267","3,618","3,878"
2021년08월_계_50~59세,"34,933","4,115","7,223","4,253","3,170","3,911","3,178","5,037","4,046"
2021년08월_계_60~69세,"25,786","3,443","4,667","2,838","2,777","2,866","2,532","4,082","2,581"
2021년08월_계_70~79세,"11,558","1,428","2,100","1,357","1,320","1,235","1,097","1,789","1,232"
2021년08월_계_80~89세,"5,091",418,"1,036",600,616,564,477,811,569
2021년08월_계_90~99세,681,68,150,65,84,69,60,108,77
2021년08월_계_100세 이상,53,1,6,2,30,4,2,5,3
2021년08월_남_총인구수,"96,074","15,371","18,595","11,404","8,433","10,656","7,867","12,736","11,012"
2021년08월_남_연령구간인구수,"96,074","15,371","18,595","11,404","8,433","10,656","7,867","12,736","11,012"
2021년08월_남_0~9세,"7,411","2,284","1,348",848,372,744,399,641,775
2021년08월_남_10~19세,"9,019","1,163","2,035","1,206",513,"1,335",557,"1,060","1,150"
2021년08월_남_20~29세,"13,602","1,607","2,829","1,686","1,167","1,565","1,165","1,967","1,616"
2021년08월_남_30~39세,"12,734","2,647","2,293","1,496","1,085","1,204","1,051","1,611","1,347"
2021년08월_남_40~49세,"15,968","3,187","2,915","1,844","1,357","1,718","1,152","1,893","1,902"
2021년08월_남_50~59세,"17,202","1,987","3,438","2,091","1,637","1,885","1,574","2,491","2,099"
2021년08월_남_60~69세,"12,831","1,642","2,388","1,371","1,414","1,386","1,303","2,001","1,326"
2021년08월_남_70~79세,"5,203",701,905,611,620,571,481,763,551
2021년08월_남_80~89세,"1,902",140,398,225,230,227,168,288,226
2021년08월_남_90~99세,181,13,44,25,25,20,16,19,19
2021년08월_남_100세 이상,21,0,2,1,13,1,1,2,1
2021년08월_여_총인구수,"97,588","15,623","19,141","11,932","8,043","11,288","7,843","12,921","10,797"
2021년08월_여_연령구간인구수,"97,588","15,623","19,141","11,932","8,043","11,288","7,843","12,921","10,797"
2021년08월_여_0~9세,"6,983","2,129","1,221",840,347,734,342,639,731
2021년08월_여_10~19세,"8,492","1,190","1,798","1,116",543,"1,293",513,963,"1,076"
2021년08월_여_20~29세,"12,843","1,608","2,674","1,671","1,050","1,442","1,188","1,785","1,425"
2021년08월_여_30~39세,"12,534","2,918","2,221","1,504",918,"1,247",882,"1,541","1,303"
2021년08월_여_40~49세,"15,974","2,788","3,220","2,010","1,127","2,013","1,115","1,725","1,976"
2021년08월_여_50~59세,"17,731","2,128","3,785","2,162","1,533","2,026","1,604","2,546","1,947"
2021년08월_여_60~69세,"12,955","1,801","2,279","1,467","1,363","1,480","1,229","2,081","1,255"
2021년08월_여_70~79세,"6,355",727,"1,195",746,700,664,616,"1,026",681
2021년08월_여_80~89세,"3,189",278,638,375,386,337,309,523,343
2021년08월_여_90~99세,500,55,106,40,59,49,44,89,58
2021년08월_여_100세 이상,32,1,4,1,17,3,1,3,2
