,서울특별시 금천구,서울특별시 금천구 가산동,서울특별시 금천구 독산제1동,서울특별시 금천구 독산제2동,서울특별시 금천구 독산제3동,서울특별시 금천구 독산제4동,서울특별시 금천구 시흥제1동,서울특별시 금천구 시흥제2동,서울특별시 금천구 시흥제3동,서울특별시 금천구 시흥제4동,서울특별시 금천구 시흥제5동
2021년08월_계_총인구수,"230,759","23,407","44,027","18,879","24,221","15,334","32,921","21,401","10,857","20,395","19,317"
2021년08월_계_연령구간인구수,"230,759","23,407","44,027","18,879","24,221","15,334","32,921","21,401","10,857","20,395","19,317"
2021년08월_계_0~9세,"11,954",668,"3,259",824,948,618,"1,707","1,490",523,"1,018",899
2021년08월_계_10~19세,"14,187",677,"2,337","1,142","1,299",943,"2,203","2,082",681,"1,449","1,374"
2021년08월_계_20~29세,"37,213","6,666","7,783","2,834","3,908","2,257","4,836","2,380","1,384","2,662","2,503"
2021년08월_계_30~39세,"36,049","5,681","9,044","2,540","3,575","1,986","4,720","2,382","1,391","2,529","2,201"
2021년08월_계_40~49세,"31,996","2,744","6,431","2,542","3,110","1,989","4,720","3,412","1,466","2,813","2,769"
2021년08월_계_50~59세,"39,413","2,890","6,392","3,698","4,585","3,140","5,770","3,680","1,963","3,810","3,485"
2021년08월_계_60~69세,"34,357","2,455","5,129","3,137","4,032","2,584","5,014","3,362","1,968","3,522","3,154"
2021년08월_계_70~79세,"17,924","1,167","2,598","1,555","1,912","1,341","2,744","1,782","1,054","1,823","1,948"
2021년08월_계_80~89세,"6,751",402,941,533,739,423,"1,049",724,388,684,868
2021년08월_계_90~99세,869,54,105,70,110,51,153,103,38,82,103
2021년08월_계_100세 이상,46,3,8,4,3,2,5,4,1,3,13
2021년08월_남_총인구수,"116,714","12,785","22,621","9,578","12,140","7,726","16,387","10,310","5,405","10,113","9,649"
2021년08월_남_연령구간인구수,"116,714","12,785","22,621","9,578","12,140","7,726","16,387","10,310","5,405","10,113","9,649"
2021년08월_남_0~9세,"6,163",321,"1,685",432,508,320,877,760,270,516,474
2021년08월_남_10~19세,"7,176",328,"1,149",614,636,475,"1,186","1,028",336,736,688
2021년08월_남_20~29세,"18,540","3,110","3,817","1,485","1,911","1,139","2,412","1,220",745,"1,360","1,341"
2021년08월_남_30~39세,"19,931","3,501","5,014","1,360","2,005","1,092","2,518","1,168",741,"1,345","1,187"
2021년08월_남_40~49세,"16,890","1,721","3,545","1,311","1,627",994,"2,415","1,669",755,"1,409","1,444"
2021년08월_남_50~59세,"19,826","1,697","3,234","1,866","2,261","1,602","2,825","1,744",957,"1,851","1,789"
2021년08월_남_60~69세,"16,859","1,336","2,576","1,540","1,949","1,278","2,421","1,598",929,"1,723","1,509"
2021년08월_남_70~79세,"8,415",586,"1,159",750,924,635,"1,275",830,516,872,868
2021년08월_남_80~89세,"2,693",175,412,201,292,179,409,275,152,274,324
2021년08월_남_90~99세,208,9,28,19,26,12,46,17,4,25,22
2021년08월_남_100세 이상,13,1,2,0,1,0,3,1,0,2,3
2021년08월_여_총인구수,"114,045","10,622","21,406","9,301","12,081","7,608","16,534","11,091","5,452","10,282","9,668"
2021년08월_여_연령구간인구수,"114,045","10,622","21,406","9,301","12,081","7,608","16,534","11,091","5,452","10,282","9,668"
2021년08월_여_0~9세,"5,791",347,"1,574",392,440,298,830,730,253,502,425
2021년08월_여_10~19세,"7,011",349,"1,188",528,663,468,"1,017","1,054",345,713,686
2021년08월_여_20~29세,"18,673","3,556","3,966","1,349","1,997","1,118","2,424","1,160",639,"1,302","1,162"
2021년08월_여_30~39세,"16,118","2,180","4,030","1,180","1,570",894,"2,202","1,214",650,"1,184","1,014"
2021년08월_여_40~49세,"15,106","1,023","2,886","1,231","1,483",995,"2,305","1,743",711,"1,404","1,325"
2021년08월_여_50~59세,"19,587","1,193","3,158","1,832","2,324","1,538","2,945","1,936","1,006","1,959","1,696"
2021년08월_여_60~69세,"17,498","1,119","2,553","1,597","2,083","1,306","2,593","1,764","1,039","1,799","1,645"
2021년08월_여_70~79세,"9,509",581,"1,439",805,988,706,"1,469",952,538,951,"1,080"
2021년08월_여_80~89세,"4,058",227,529,332,447,244,640,449,236,410,544
2021년08월_여_90~99세,661,45,77,51,84,39,107,86,34,57,81
2021년08월_여_100세 이상,33,2,6,4,2,2,2,3,1,1,10
