카테고리,부산광역시 사하구,부산광역시 사하구 괴정제1동,부산광역시 사하구 괴정제2동,부산광역시 사하구 괴정제3동,부산광역시 사하구 괴정제4동,부산광역시 사하구 당리동,부산광역시 사하구 하단제1동,부산광역시 사하구 하단제2동,부산광역시 사하구 신평제1동,부산광역시 사하구 신평제2동,부산광역시 사하구 장림제1동,부산광역시 사하구 장림제2동,부산광역시 사하구 다대제1동,부산광역시 사하구 다대제2동,부산광역시 사하구 구평동,부산광역시 사하구 감천제1동,부산광역시 사하구 감천제2동
2020년04월_계_총인구수,"318,196","20,506","14,706","13,221","11,645","27,961","22,214","25,862","18,051","16,259","11,848","28,025","40,641","28,758","11,781","19,992","6,726"
2020년04월_계_연령구간인구수,"318,196","20,506","14,706","13,221","11,645","27,961","22,214","25,862","18,051","16,259","11,848","28,025","40,641","28,758","11,781","19,992","6,726"
2020년04월_계_0~9세,"21,330","1,184",971,604,578,"1,774","1,311","1,557","1,173","1,176","1,081","2,129","3,358","1,874","1,365","1,041",154
2020년04월_계_10~19세,"26,505","1,637","1,171",790,842,"2,439","1,781","2,229","1,228","1,381","1,004","2,508","4,151","2,643",858,"1,543",300
2020년04월_계_20~29세,"41,169","2,419","1,624","1,572","1,480","3,684","3,746","4,968","2,058","2,286","1,176","3,591","4,662","3,530","1,341","2,421",611
2020년04월_계_30~39세,"39,097","2,432","1,650","1,613","1,237","3,283","2,987","3,397","2,384","2,294","1,683","3,866","4,687","2,916","2,158","1,989",521
2020년04월_계_40~49세,"47,303","2,828","2,231","1,703","1,612","4,032","3,099","3,629","2,653","2,447","2,114","4,455","6,828","4,291","1,808","2,746",827
2020년04월_계_50~59세,"56,553","3,575","2,435","2,320","2,033","5,028","3,814","4,283","3,340","2,988","1,916","4,908","7,275","5,616","1,832","3,874","1,316"
2020년04월_계_60~69세,"49,707","3,400","2,550","2,547","2,143","4,579","3,231","3,409","2,996","2,345","1,668","4,125","5,571","4,579","1,520","3,669","1,375"
2020년04월_계_70~79세,"25,718","2,034","1,512","1,432","1,235","2,237","1,586","1,739","1,585",942,891,"1,833","2,818","2,216",650,"1,933","1,075"
2020년04월_계_80~89세,"9,373",849,487,549,427,810,578,586,531,344,283,536,"1,113",938,202,674,466
2020년04월_계_90~99세,"1,279",123,66,77,50,83,71,61,81,54,30,71,167,148,42,89,66
2020년04월_계_100세 이상,162,25,9,14,8,12,10,4,22,2,2,3,11,7,5,13,15
2020년04월_남_총인구수,"158,716","9,924","7,235","6,365","5,660","13,778","11,139","12,913","9,271","8,142","6,163","14,219","20,371","14,162","5,997","9,915","3,462"
2020년04월_남_연령구간인구수,"158,716","9,924","7,235","6,365","5,660","13,778","11,139","12,913","9,271","8,142","6,163","14,219","20,371","14,162","5,997","9,915","3,462"
2020년04월_남_0~9세,"10,947",628,500,308,310,923,672,806,591,613,542,"1,137","1,678",946,708,511,74
2020년04월_남_10~19세,"13,821",861,592,409,422,"1,270",919,"1,085",642,740,544,"1,309","2,234","1,369",470,803,152
2020년04월_남_20~29세,"22,137","1,253",872,814,804,"1,975","1,996","2,786","1,130","1,154",650,"1,914","2,550","1,953",681,"1,253",352
2020년04월_남_30~39세,"20,690","1,283",848,889,669,"1,712","1,640","1,823","1,336","1,199",885,"2,050","2,371","1,480","1,110","1,078",317
2020년04월_남_40~49세,"24,125","1,388","1,162",900,765,"1,973","1,540","1,807","1,456","1,250","1,175","2,311","3,376","2,089",972,"1,461",500
2020년04월_남_50~59세,"27,636","1,636","1,206","1,080",970,"2,294","1,836","2,026","1,695","1,433","1,070","2,402","3,679","2,748",918,"1,883",760
2020년04월_남_60~69세,"24,062","1,598","1,161","1,135",968,"2,210","1,569","1,580","1,526","1,161",810,"2,032","2,825","2,286",747,"1,760",694
2020년04월_남_70~79세,"11,802",947,716,626,586,"1,102",740,773,692,461,387,869,"1,262",968,320,911,442
2020년04월_남_80~89세,"3,208",296,165,178,152,301,218,213,179,119,95,183,352,294,66,238,159
2020년04월_남_90~99세,254,29,13,20,13,15,6,13,19,12,4,11,43,28,5,15,8
2020년04월_남_100세 이상,34,5,0,6,1,3,3,1,5,0,1,1,1,1,0,2,4
2020년04월_여_총인구수,"159,480","10,582","7,471","6,856","5,985","14,183","11,075","12,949","8,780","8,117","5,685","13,806","20,270","14,596","5,784","10,077","3,264"
2020년04월_여_연령구간인구수,"159,480","10,582","7,471","6,856","5,985","14,183","11,075","12,949","8,780","8,117","5,685","13,806","20,270","14,596","5,784","10,077","3,264"
2020년04월_여_0~9세,"10,383",556,471,296,268,851,639,751,582,563,539,992,"1,680",928,657,530,80
2020년04월_여_10~19세,"12,684",776,579,381,420,"1,169",862,"1,144",586,641,460,"1,199","1,917","1,274",388,740,148
2020년04월_여_20~29세,"19,032","1,166",752,758,676,"1,709","1,750","2,182",928,"1,132",526,"1,677","2,112","1,577",660,"1,168",259
2020년04월_여_30~39세,"18,407","1,149",802,724,568,"1,571","1,347","1,574","1,048","1,095",798,"1,816","2,316","1,436","1,048",911,204
2020년04월_여_40~49세,"23,178","1,440","1,069",803,847,"2,059","1,559","1,822","1,197","1,197",939,"2,144","3,452","2,202",836,"1,285",327
2020년04월_여_50~59세,"28,917","1,939","1,229","1,240","1,063","2,734","1,978","2,257","1,645","1,555",846,"2,506","3,596","2,868",914,"1,991",556
2020년04월_여_60~69세,"25,645","1,802","1,389","1,412","1,175","2,369","1,662","1,829","1,470","1,184",858,"2,093","2,746","2,293",773,"1,909",681
2020년04월_여_70~79세,"13,916","1,087",796,806,649,"1,135",846,966,893,481,504,964,"1,556","1,248",330,"1,022",633
2020년04월_여_80~89세,"6,165",553,322,371,275,509,360,373,352,225,188,353,761,644,136,436,307
2020년04월_여_90~99세,"1,025",94,53,57,37,68,65,48,62,42,26,60,124,120,37,74,58
2020년04월_여_100세 이상,128,20,9,8,7,9,7,3,17,2,1,2,10,6,5,11,11
