카테고리,대전광역시 유성구,대전광역시 유성구 진잠동,대전광역시 유성구 온천1동,대전광역시 유성구 온천2동,대전광역시 유성구 노은1동,대전광역시 유성구 노은2동,대전광역시 유성구 노은3동,대전광역시 유성구 신성동,대전광역시 유성구 전민동,대전광역시 유성구 구즉동,대전광역시 유성구 관평동,대전광역시 유성구 원신흥동
2020년11월_계_총인구수,"351,790","35,210","34,834","40,202","22,213","24,946","37,903","25,989","27,213","27,887","29,073","46,320"
2020년11월_계_연령구간인구수,"351,790","35,210","34,834","40,202","22,213","24,946","37,903","25,989","27,213","27,887","29,073","46,320"
2020년11월_계_0~9세,"35,132","3,281","1,563","3,535","2,272","2,484","5,078","2,997","2,646","2,580","3,186","5,510"
2020년11월_계_10~19세,"38,303","3,408","1,491","3,208","3,044","3,476","4,615","2,963","3,213","3,100","4,581","5,204"
2020년11월_계_20~29세,"52,861","4,454","8,310","8,440","2,878","3,194","3,850","4,054","4,359","4,243","3,733","5,346"
2020년11월_계_30~39세,"56,375","4,496","6,773","6,465","3,198","3,147","6,459","5,237","4,433","4,176","4,046","7,945"
2020년11월_계_40~49세,"60,631","5,972","4,385","5,598","4,388","4,829","7,387","4,220","4,365","4,756","6,051","8,680"
2020년11월_계_50~59세,"54,169","6,307","5,612","5,891","3,248","4,030","5,231","3,531","4,489","4,660","4,388","6,782"
2020년11월_계_60~69세,"33,409","4,329","3,974","4,506","1,789","2,088","3,373","1,882","2,417","2,468","2,093","4,490"
2020년11월_계_70~79세,"13,407","1,909","1,756","1,670",890,"1,094","1,297",662,730,"1,160",655,"1,584"
2020년11월_계_80~89세,"6,365",914,800,760,432,518,513,385,459,647,286,651
2020년11월_계_90~99세,"1,082",130,147,123,73,85,96,57,99,94,53,125
2020년11월_계_100세 이상,56,10,23,6,1,1,4,1,3,3,1,3
2020년11월_남_총인구수,"177,584","17,890","17,999","20,886","11,012","12,289","18,622","13,615","13,921","14,289","14,857","22,204"
2020년11월_남_연령구간인구수,"177,584","17,890","17,999","20,886","11,012","12,289","18,622","13,615","13,921","14,289","14,857","22,204"
2020년11월_남_0~9세,"18,066","1,657",793,"1,763","1,179","1,264","2,583","1,574","1,408","1,339","1,676","2,830"
2020년11월_남_10~19세,"19,831","1,833",760,"1,678","1,571","1,801","2,350","1,534","1,630","1,596","2,375","2,703"
2020년11월_남_20~29세,"28,336","2,431","4,259","4,918","1,483","1,641","2,010","2,252","2,393","2,366","1,978","2,605"
2020년11월_남_30~39세,"29,318","2,322","3,895","3,521","1,578","1,565","3,065","2,876","2,416","2,244","2,063","3,773"
2020년11월_남_40~49세,"29,828","3,084","2,337","2,811","2,080","2,267","3,610","2,119","2,084","2,417","2,875","4,144"
2020년11월_남_50~59세,"27,019","3,161","2,787","2,833","1,668","2,042","2,562","1,819","2,207","2,402","2,399","3,139"
2020년11월_남_60~69세,"16,647","2,178","2,052","2,256",866,"1,021","1,608",989,"1,282","1,251","1,086","2,058"
2020년11월_남_70~79세,"6,186",904,779,804,404,475,633,332,339,461,320,735
2020년11월_남_80~89세,"2,098",294,288,266,164,193,181,108,130,194,74,206
2020년11월_남_90~99세,243,23,46,35,18,19,19,12,30,19,11,11
2020년11월_남_100세 이상,12,3,3,1,1,1,1,0,2,0,0,0
2020년11월_여_총인구수,"174,206","17,320","16,835","19,316","11,201","12,657","19,281","12,374","13,292","13,598","14,216","24,116"
2020년11월_여_연령구간인구수,"174,206","17,320","16,835","19,316","11,201","12,657","19,281","12,374","13,292","13,598","14,216","24,116"
2020년11월_여_0~9세,"17,066","1,624",770,"1,772","1,093","1,220","2,495","1,423","1,238","1,241","1,510","2,680"
2020년11월_여_10~19세,"18,472","1,575",731,"1,530","1,473","1,675","2,265","1,429","1,583","1,504","2,206","2,501"
2020년11월_여_20~29세,"24,525","2,023","4,051","3,522","1,395","1,553","1,840","1,802","1,966","1,877","1,755","2,741"
2020년11월_여_30~39세,"27,057","2,174","2,878","2,944","1,620","1,582","3,394","2,361","2,017","1,932","1,983","4,172"
2020년11월_여_40~49세,"30,803","2,888","2,048","2,787","2,308","2,562","3,777","2,101","2,281","2,339","3,176","4,536"
2020년11월_여_50~59세,"27,150","3,146","2,825","3,058","1,580","1,988","2,669","1,712","2,282","2,258","1,989","3,643"
2020년11월_여_60~69세,"16,762","2,151","1,922","2,250",923,"1,067","1,765",893,"1,135","1,217","1,007","2,432"
2020년11월_여_70~79세,"7,221","1,005",977,866,486,619,664,330,391,699,335,849
2020년11월_여_80~89세,"4,267",620,512,494,268,325,332,277,329,453,212,445
2020년11월_여_90~99세,839,107,101,88,55,66,77,45,69,75,42,114
2020년11월_여_100세 이상,44,7,20,5,0,0,3,1,1,3,1,3
