,전국,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도
2020년05월_계_총인구수,"51,841,371","9,724,496","3,406,942","2,429,059","2,950,063","1,455,533","1,471,915","1,143,148","345,373","13,324,041","1,538,639","1,596,710","2,118,510","1,810,097","1,855,945","2,648,760","3,351,347","670,793"
2020년05월_계_연령구간인구수,"51,841,371","9,724,496","3,406,942","2,429,059","2,950,063","1,455,533","1,471,915","1,143,148","345,373","13,324,041","1,538,639","1,596,710","2,118,510","1,810,097","1,855,945","2,648,760","3,351,347","670,793"
2020년05월_계_0~9세,"4,089,462","648,909","239,265","184,227","236,555","123,851","119,029","102,217","47,239","1,169,656","107,875","126,863","178,041","133,311","136,159","195,734","278,992","61,539"
2020년05월_계_10~19세,"4,872,081","803,192","277,678","231,161","278,178","160,902","150,093","114,140","40,970","1,341,519","140,101","151,372","204,790","178,351","170,539","229,926","328,148","71,021"
2020년05월_계_20~29세,"6,804,350","1,463,920","434,981","322,350","405,158","208,753","212,858","146,995","36,245","1,788,779","178,977","198,370","242,676","211,775","201,096","287,508","382,204","81,705"
2020년05월_계_30~39세,"6,985,248","1,498,555","428,546","301,074","414,252","189,797","198,147","156,559","61,103","1,916,581","168,729","197,266","273,689","193,615","190,821","299,401","413,442","83,671"
2020년05월_계_40~49세,"8,346,911","1,550,099","515,035","388,419","487,282","243,859","240,495","189,546","66,258","2,294,087","226,018","242,139","328,422","272,051","262,915","387,360","540,178","112,748"
2020년05월_계_50~59세,"8,668,601","1,536,375","578,102","428,389","515,113","234,541","243,088","211,118","43,404","2,217,878","269,022","274,160","340,033","302,137","316,227","463,020","584,327","111,667"
2020년05월_계_60~69세,"6,481,317","1,211,955","516,063","315,443","351,033","157,418","172,989","138,964","28,280","1,453,705","231,156","213,335","268,081","247,433","262,699","394,228","442,255","76,280"
2020년05월_계_70~79세,"3,646,121","694,958","289,080","172,853","174,370","91,584","89,481","58,365","13,762","751,632","135,633","119,441","169,133","167,140","191,306","239,890","242,664","44,829"
2020년05월_계_80~89세,"1,683,807","268,829","111,671","75,447","75,383","38,746","39,717","22,039","6,924","336,198","69,533","64,343","98,993","90,416","107,814","132,711","121,840","23,203"
2020년05월_계_90~99세,"242,413","41,193","14,679","8,993","11,815","5,664","5,671","3,043","1,132","49,854","10,774","8,864","13,753","13,032","15,534","18,026","16,527","3,859"
2020년05월_계_100세 이상,"21,060","6,511","1,842",703,924,418,347,162,56,"4,152",821,557,899,836,835,956,770,271
2020년05월_남_총인구수,"25,856,030","4,735,431","1,670,175","1,199,504","1,478,307","720,300","734,940","587,434","172,269","6,703,603","773,923","809,114","1,080,425","899,894","932,496","1,333,815","1,687,289","337,111"
2020년05월_남_연령구간인구수,"25,856,030","4,735,431","1,670,175","1,199,504","1,478,307","720,300","734,940","587,434","172,269","6,703,603","773,923","809,114","1,080,425","899,894","932,496","1,333,815","1,687,289","337,111"
2020년05월_남_0~9세,"2,097,497","333,248","122,725","94,357","121,360","63,618","61,153","52,590","24,226","599,029","55,201","64,830","91,181","68,392","69,467","100,944","143,574","31,602"
2020년05월_남_10~19세,"2,522,074","411,862","143,643","120,961","143,138","83,574","77,688","60,184","20,581","690,849","73,014","78,834","106,302","92,432","88,705","121,160","171,960","37,187"
2020년05월_남_20~29세,"3,575,158","713,036","227,181","172,821","211,467","108,939","111,810","82,369","18,322","941,023","100,387","110,253","133,793","114,250","111,968","162,195","212,058","43,286"
2020년05월_남_30~39세,"3,594,708","749,894","218,979","155,992","214,096","96,596","102,975","82,943","29,740","985,963","88,301","104,224","146,984","99,777","100,471","159,494","215,883","42,396"
2020년05월_남_40~49세,"4,241,615","767,985","259,122","191,555","248,912","121,039","120,001","96,365","33,977","1,165,260","116,388","125,534","175,047","140,513","140,930","202,378","278,340","58,269"
2020년05월_남_50~59세,"4,372,705","753,933","280,256","209,832","257,668","116,270","121,014","107,576","22,525","1,124,992","137,993","141,029","179,246","156,109","169,087","239,096","297,968","58,111"
2020년05월_남_60~69세,"3,168,203","572,501","244,676","150,182","173,935","74,935","84,172","70,175","14,032","721,909","114,835","106,787","133,578","121,940","131,832","195,058","219,855","37,801"
2020년05월_남_70~79세,"1,636,759","316,917","130,137","75,346","79,206","40,545","40,588","27,536","6,284","340,450","60,652","53,560","76,267","73,281","83,091","106,122","106,545","20,232"
2020년05월_남_80~89세,"587,425","103,579","39,851","26,312","25,702","13,514","14,160","7,164","2,313","121,136","24,439","21,920","34,588","30,118","33,734","43,462","37,787","7,646"
2020년05월_남_90~99세,"54,782","10,776","3,198","1,982","2,580","1,217","1,297",501,259,"11,883","2,456","1,985","3,233","2,910","3,095","3,701","3,163",546
2020년05월_남_100세 이상,"5,104","1,700",407,164,243,53,82,31,10,"1,109",257,158,206,172,116,205,156,35
2020년05월_여_총인구수,"25,985,341","4,989,065","1,736,767","1,229,555","1,471,756","735,233","736,975","555,714","173,104","6,620,438","764,716","787,596","1,038,085","910,203","923,449","1,314,945","1,664,058","333,682"
