카테고리,경기도 군포시,경기도 군포시 군포1동,경기도 군포시 군포2동,경기도 군포시 산본1동,경기도 군포시 산본2동,경기도 군포시 금정동,경기도 군포시 재궁동,경기도 군포시 오금동,경기도 군포시 수리동,경기도 군포시 궁내동,경기도 군포시 대야동,경기도 군포시 광정동
2020년06월_계_총인구수,"276,039","33,642","54,215","16,289","27,737","17,521","19,538","22,515","17,193","21,275","20,446","25,668"
2020년06월_계_연령구간인구수,"276,039","33,642","54,215","16,289","27,737","17,521","19,538","22,515","17,193","21,275","20,446","25,668"
2020년06월_계_0~9세,"21,724","2,085","4,975",737,"2,408",884,"1,273","2,094","1,169","1,967","2,281","1,851"
2020년06월_계_10~19세,"27,299","2,738","6,273",927,"2,841","1,229","1,541","2,233","1,697","3,204","1,769","2,847"
2020년06월_계_20~29세,"38,641","5,361","7,388","2,506","3,892","2,755","2,830","2,855","2,191","2,565","2,640","3,658"
2020년06월_계_30~39세,"39,282","4,693","7,455","2,211","3,671","2,365","3,307","3,928","2,240","2,278","3,788","3,346"
2020년06월_계_40~49세,"45,379","5,117","9,357","2,151","4,515","2,617","2,888","3,930","2,826","4,272","3,268","4,438"
2020년06월_계_50~59세,"48,421","6,556","9,446","3,155","4,850","3,558","3,241","3,429","2,994","3,545","3,247","4,400"
2020년06월_계_60~69세,"31,907","4,378","5,667","2,602","3,412","2,552","2,422","2,205","2,029","1,846","2,128","2,666"
2020년06월_계_70~79세,"14,814","1,832","2,435","1,317","1,347","1,099","1,261","1,113","1,194",935,901,"1,380"
2020년06월_계_80~89세,"7,351",740,"1,032",586,680,398,671,646,754,585,356,903
2020년06월_계_90~99세,"1,147",132,173,89,118,56,98,82,95,74,63,167
2020년06월_계_100세 이상,74,10,14,8,3,8,6,0,4,4,5,12
2020년06월_남_총인구수,"137,037","17,712","26,970","8,124","13,466","9,109","9,282","10,989","8,230","10,381","10,291","12,483"
2020년06월_남_연령구간인구수,"137,037","17,712","26,970","8,124","13,466","9,109","9,282","10,989","8,230","10,381","10,291","12,483"
2020년06월_남_0~9세,"11,116","1,073","2,570",381,"1,220",476,650,"1,052",549,"1,053","1,134",958
2020년06월_남_10~19세,"14,052","1,420","3,222",480,"1,475",645,784,"1,157",879,"1,610",920,"1,460"
2020년06월_남_20~29세,"20,174","2,964","3,806","1,348","2,030","1,450","1,414","1,509","1,123","1,357","1,329","1,844"
2020년06월_남_30~39세,"20,370","2,685","3,793","1,270","1,757","1,345","1,708","1,963","1,134","1,062","1,967","1,686"
2020년06월_남_40~49세,"22,305","2,699","4,566","1,130","2,139","1,406","1,379","1,882","1,362","1,962","1,684","2,096"
2020년06월_남_50~59세,"23,715","3,418","4,605","1,489","2,259","1,826","1,483","1,636","1,446","1,768","1,567","2,218"
2020년06월_남_60~69세,"15,777","2,264","2,861","1,232","1,704","1,281","1,121","1,045",930,933,"1,098","1,308"
2020년06월_남_70~79세,"6,613",870,"1,146",588,603,529,494,471,477,398,451,586
2020년06월_남_80~89세,"2,589",281,352,186,249,135,224,249,293,210,126,284
2020년06월_남_90~99세,303,34,44,19,30,13,23,25,35,27,13,40
2020년06월_남_100세 이상,23,4,5,1,0,3,2,0,2,1,2,3
2020년06월_여_총인구수,"139,002","15,930","27,245","8,165","14,271","8,412","10,256","11,526","8,963","10,894","10,155","13,185"
2020년06월_여_연령구간인구수,"139,002","15,930","27,245","8,165","14,271","8,412","10,256","11,526","8,963","10,894","10,155","13,185"
2020년06월_여_0~9세,"10,608","1,012","2,405",356,"1,188",408,623,"1,042",620,914,"1,147",893
2020년06월_여_10~19세,"13,247","1,318","3,051",447,"1,366",584,757,"1,076",818,"1,594",849,"1,387"
2020년06월_여_20~29세,"18,467","2,397","3,582","1,158","1,862","1,305","1,416","1,346","1,068","1,208","1,311","1,814"
2020년06월_여_30~39세,"18,912","2,008","3,662",941,"1,914","1,020","1,599","1,965","1,106","1,216","1,821","1,660"
2020년06월_여_40~49세,"23,074","2,418","4,791","1,021","2,376","1,211","1,509","2,048","1,464","2,310","1,584","2,342"
2020년06월_여_50~59세,"24,706","3,138","4,841","1,666","2,591","1,732","1,758","1,793","1,548","1,777","1,680","2,182"
2020년06월_여_60~69세,"16,130","2,114","2,806","1,370","1,708","1,271","1,301","1,160","1,099",913,"1,030","1,358"
2020년06월_여_70~79세,"8,201",962,"1,289",729,744,570,767,642,717,537,450,794
2020년06월_여_80~89세,"4,762",459,680,400,431,263,447,397,461,375,230,619
2020년06월_여_90~99세,844,98,129,70,88,43,75,57,60,47,50,127
2020년06월_여_100세 이상,51,6,9,7,3,5,4,0,2,3,3,9
