,경기도 포천시,경기도 포천시 소흘읍,경기도 포천시 군내면,경기도 포천시 내촌면,경기도 포천시 가산면,경기도 포천시 신북면,경기도 포천시 창수면,경기도 포천시 영중면,경기도 포천시 일동면,경기도 포천시 이동면,경기도 포천시 영북면,경기도 포천시 관인면,경기도 포천시 화현면,경기도 포천시 포천동,경기도 포천시 선단동
2020년10월_계_총인구수,"147,578","43,911","8,619","4,613","7,743","12,558","2,167","4,890","9,437","6,245","8,515","2,812","2,760","18,909","14,399"
2020년10월_계_연령구간인구수,"147,578","43,911","8,619","4,613","7,743","12,558","2,167","4,890","9,437","6,245","8,515","2,812","2,760","18,909","14,399"
2020년10월_계_0~9세,"8,688","2,893",610,117,223,682,46,196,505,512,653,60,204,"1,274",713
2020년10월_계_10~19세,"12,387","4,934",584,197,459,977,82,270,689,366,441,150,155,"1,880","1,203"
2020년10월_계_20~29세,"17,931","5,804",946,445,796,"1,497",186,420,956,866,996,232,292,"2,576","1,919"
2020년10월_계_30~39세,"14,663","4,349","1,103",344,616,"1,225",121,290,864,866,"1,010",122,345,"2,003","1,405"
2020년10월_계_40~49세,"20,635","7,264","1,140",557,895,"1,688",210,529,"1,203",633,887,268,278,"2,789","2,294"
2020년10월_계_50~59세,"29,256","8,929","1,639","1,100","1,927","2,535",384,"1,032","1,594",919,"1,334",545,466,"3,634","3,218"
2020년10월_계_60~69세,"24,062","5,728","1,434","1,040","1,614","2,233",565,"1,087","1,811","1,010","1,475",659,528,"2,679","2,199"
2020년10월_계_70~79세,"12,482","2,558",722,501,713,"1,083",369,665,"1,094",689,"1,023",496,299,"1,345",925
2020년10월_계_80~89세,"6,412","1,239",383,280,426,540,184,348,594,347,569,250,170,623,459
2020년10월_계_90~99세,983,200,56,30,72,91,20,49,118,33,111,27,22,96,58
2020년10월_계_100세 이상,79,13,2,2,2,7,0,4,9,4,16,3,1,10,6
2020년10월_남_총인구수,"78,066","22,410","4,640","2,642","4,538","6,906","1,210","2,657","4,881","3,394","4,534","1,463","1,450","9,593","7,748"
2020년10월_남_연령구간인구수,"78,066","22,410","4,640","2,642","4,538","6,906","1,210","2,657","4,881","3,394","4,534","1,463","1,450","9,593","7,748"
2020년10월_남_0~9세,"4,511","1,486",317,72,109,370,27,96,261,267,345,26,99,647,389
2020년10월_남_10~19세,"6,479","2,563",294,112,235,542,51,140,372,175,223,73,71,997,631
2020년10월_남_20~29세,"10,379","3,129",554,272,479,903,124,253,568,587,673,148,166,"1,423","1,100"
2020년10월_남_30~39세,"8,136","2,221",618,216,392,697,83,171,521,506,598,81,196,"1,062",774
2020년10월_남_40~49세,"11,118","3,603",644,352,582,930,120,329,676,379,516,157,160,"1,416","1,254"
2020년10월_남_50~59세,"16,070","4,743",895,648,"1,209","1,470",232,609,824,498,736,295,244,"1,855","1,812"
2020년10월_남_60~69세,"13,031","3,013",810,610,984,"1,252",312,616,925,529,762,346,306,"1,376","1,190"
2020년10월_남_70~79세,"5,754","1,175",352,234,369,518,172,293,494,329,429,231,147,579,432
2020년10월_남_80~89세,"2,329",433,141,121,167,201,82,131,206,114,219,96,56,214,148
2020년10월_남_90~99세,228,40,14,4,11,22,7,17,28,10,27,7,5,20,16
2020년10월_남_100세 이상,31,4,1,1,1,1,0,2,6,0,6,3,0,4,2
2020년10월_여_총인구수,"69,512","21,501","3,979","1,971","3,205","5,652",957,"2,233","4,556","2,851","3,981","1,349","1,310","9,316","6,651"
2020년10월_여_연령구간인구수,"69,512","21,501","3,979","1,971","3,205","5,652",957,"2,233","4,556","2,851","3,981","1,349","1,310","9,316","6,651"
2020년10월_여_0~9세,"4,177","1,407",293,45,114,312,19,100,244,245,308,34,105,627,324
2020년10월_여_10~19세,"5,908","2,371",290,85,224,435,31,130,317,191,218,77,84,883,572
2020년10월_여_20~29세,"7,552","2,675",392,173,317,594,62,167,388,279,323,84,126,"1,153",819
2020년10월_여_30~39세,"6,527","2,128",485,128,224,528,38,119,343,360,412,41,149,941,631
2020년10월_여_40~49세,"9,517","3,661",496,205,313,758,90,200,527,254,371,111,118,"1,373","1,040"
2020년10월_여_50~59세,"13,186","4,186",744,452,718,"1,065",152,423,770,421,598,250,222,"1,779","1,406"
2020년10월_여_60~69세,"11,031","2,715",624,430,630,981,253,471,886,481,713,313,222,"1,303","1,009"
2020년10월_여_70~79세,"6,728","1,383",370,267,344,565,197,372,600,360,594,265,152,766,493
2020년10월_여_80~89세,"4,083",806,242,159,259,339,102,217,388,233,350,154,114,409,311
2020년10월_여_90~99세,755,160,42,26,61,69,13,32,90,23,84,20,17,76,42
2020년10월_여_100세 이상,48,9,1,1,1,6,0,2,3,4,10,0,1,6,4
