,경상북도 칠곡군,경상북도 칠곡군 왜관읍,경상북도 칠곡군 북삼읍,경상북도 칠곡군 석적읍,경상북도 칠곡군 지천면,경상북도 칠곡군 동명면,경상북도 칠곡군 가산면,경상북도 칠곡군 약목면,경상북도 칠곡군 기산면
2020년08월_계_총인구수,"114,889","33,606","23,449","31,378","4,281","5,381","3,466","10,061","3,267"
2020년08월_계_연령구간인구수,"114,889","33,606","23,449","31,378","4,281","5,381","3,466","10,061","3,267"
2020년08월_계_0~9세,"9,772","2,397","1,854","4,633",89,134,71,360,234
2020년08월_계_10~19세,"11,569","3,436","3,094","3,692",131,166,142,730,178
2020년08월_계_20~29세,"12,162","3,954","2,772","3,090",310,433,254,"1,122",227
2020년08월_계_30~39세,"15,450","3,550","2,381","7,547",285,356,222,769,340
2020년08월_계_40~49세,"20,578","5,558","5,076","6,797",380,516,358,"1,468",425
2020년08월_계_50~59세,"19,468","6,317","4,557","2,950",851,"1,169",757,"2,292",575
2020년08월_계_60~69세,"13,293","4,286","2,099","1,532","1,000","1,299",826,"1,649",602
2020년08월_계_70~79세,"7,617","2,427","1,033",742,703,771,518,"1,031",392
2020년08월_계_80~89세,"4,327","1,467",521,345,466,449,260,563,256
2020년08월_계_90~99세,613,194,61,45,62,88,55,73,35
2020년08월_계_100세 이상,40,20,1,5,4,0,3,4,3
2020년08월_남_총인구수,"59,903","16,825","12,270","16,900","2,294","2,764","1,911","5,225","1,714"
2020년08월_남_연령구간인구수,"59,903","16,825","12,270","16,900","2,294","2,764","1,911","5,225","1,714"
2020년08월_남_0~9세,"5,045","1,230",976,"2,384",45,69,34,178,129
2020년08월_남_10~19세,"6,109","1,780","1,634","1,961",69,93,72,394,106
2020년08월_남_20~29세,"6,852","2,257","1,619","1,533",188,270,175,672,138
2020년08월_남_30~39세,"8,463","1,888","1,224","4,187",176,211,142,458,177
2020년08월_남_40~49세,"11,125","2,826","2,550","3,909",255,324,225,782,254
2020년08월_남_50~59세,"10,562","3,204","2,528","1,743",517,590,444,"1,228",308
2020년08월_남_60~69세,"6,888","2,124","1,108",746,563,694,451,870,332
2020년08월_남_70~79세,"3,284",984,441,320,308,370,255,435,171
2020년08월_남_80~89세,"1,426",477,174,104,162,135,94,191,89
2020년08월_남_90~99세,142,52,16,12,11,8,18,16,9
2020년08월_남_100세 이상,7,3,0,1,0,0,1,1,1
2020년08월_여_총인구수,"54,986","16,781","11,179","14,478","1,987","2,617","1,555","4,836","1,553"
2020년08월_여_연령구간인구수,"54,986","16,781","11,179","14,478","1,987","2,617","1,555","4,836","1,553"
2020년08월_여_0~9세,"4,727","1,167",878,"2,249",44,65,37,182,105
2020년08월_여_10~19세,"5,460","1,656","1,460","1,731",62,73,70,336,72
2020년08월_여_20~29세,"5,310","1,697","1,153","1,557",122,163,79,450,89
2020년08월_여_30~39세,"6,987","1,662","1,157","3,360",109,145,80,311,163
2020년08월_여_40~49세,"9,453","2,732","2,526","2,888",125,192,133,686,171
2020년08월_여_50~59세,"8,906","3,113","2,029","1,207",334,579,313,"1,064",267
2020년08월_여_60~69세,"6,405","2,162",991,786,437,605,375,779,270
2020년08월_여_70~79세,"4,333","1,443",592,422,395,401,263,596,221
2020년08월_여_80~89세,"2,901",990,347,241,304,314,166,372,167
2020년08월_여_90~99세,471,142,45,33,51,80,37,57,26
2020년08월_여_100세 이상,33,17,1,4,4,0,2,3,2
