,광주광역시 광산구,광주광역시 광산구 송정1동,광주광역시 광산구 송정2동,광주광역시 광산구 도산동,광주광역시 광산구 신흥동,광주광역시 광산구 어룡동,광주광역시 광산구 우산동,광주광역시 광산구 월곡1동,광주광역시 광산구 월곡2동,광주광역시 광산구 비아동,광주광역시 광산구 첨단1동,광주광역시 광산구 첨단2동,광주광역시 광산구 신가동,광주광역시 광산구 운남동,광주광역시 광산구 수완동,광주광역시 광산구 하남동,광주광역시 광산구 임곡동,광주광역시 광산구 동곡동,광주광역시 광산구 평동,광주광역시 광산구 삼도동,광주광역시 광산구 본량동,광주광역시 광산구 신창동
2020년05월_계_총인구수,"407,036","11,299","6,737","16,077","4,799","32,491","26,675","11,605","16,540","7,329","26,749","43,991","21,229","31,940","78,433","23,375","2,174","1,950","4,056","2,267","2,086","35,234"
2020년05월_계_연령구간인구수,"407,036","11,299","6,737","16,077","4,799","32,491","26,675","11,605","16,540","7,329","26,749","43,991","21,229","31,940","78,433","23,375","2,174","1,950","4,056","2,267","2,086","35,234"
2020년05월_계_0~9세,"41,914",761,358,"1,556",363,"4,045","2,163",774,"1,277",689,"1,975","4,047","2,262","3,251","10,897","3,237",61,53,143,55,43,"3,904"
2020년05월_계_10~19세,"53,531","1,237",415,"1,790",435,"3,620","2,171","1,238","2,153",796,"3,594","5,861","3,173","4,117","13,595","3,143",125,80,152,119,91,"5,626"
2020년05월_계_20~29세,"57,981","1,756",968,"2,239",618,"3,935","4,056","1,990","2,469",911,"4,985","7,892","2,959","4,807","9,295","2,802",187,182,420,168,149,"5,193"
2020년05월_계_30~39세,"56,110","1,252",948,"2,357",589,"5,603","4,076","1,314","1,866",933,"3,108","5,964","2,700","4,271","11,114","3,773",118,155,452,153,136,"5,228"
2020년05월_계_40~49세,"77,464","1,969",893,"2,786",729,"5,937","4,037","1,798","3,031","1,410","4,462","8,279","4,410","6,003","18,061","4,719",182,186,500,208,244,"7,620"
2020년05월_계_50~59세,"62,973","1,818","1,096","2,469",806,"4,438","4,769","2,314","3,045","1,331","5,342","7,517","3,206","5,442","9,439","3,143",391,335,673,409,333,"4,657"
2020년05월_계_60~69세,"31,471","1,287",942,"1,436",620,"2,856","2,999","1,330","1,633",646,"2,027","2,575","1,415","2,193","3,691","1,680",443,394,779,454,348,"1,723"
2020년05월_계_70~79세,"16,837",857,766,999,451,"1,395","1,497",557,735,382,803,"1,183",787,"1,251","1,653",577,368,364,570,364,395,883
2020년05월_계_80~89세,"7,576",312,306,382,152,565,777,256,291,210,386,583,278,532,595,262,256,178,301,294,309,351
2020년05월_계_90~99세,"1,117",47,39,58,31,91,128,34,37,21,67,87,35,69,89,35,41,20,64,40,36,48
2020년05월_계_100세 이상,62,3,6,5,5,6,2,0,3,0,0,3,4,4,4,4,2,3,2,3,2,1
2020년05월_남_총인구수,"204,966","5,699","3,389","8,082","2,424","16,634","13,546","5,908","8,401","3,845","13,249","22,154","10,837","15,710","38,741","11,891","1,114",997,"2,235","1,152","1,034","17,924"
2020년05월_남_연령구간인구수,"204,966","5,699","3,389","8,082","2,424","16,634","13,546","5,908","8,401","3,845","13,249","22,154","10,837","15,710","38,741","11,891","1,114",997,"2,235","1,152","1,034","17,924"
2020년05월_남_0~9세,"21,536",386,192,814,191,"2,100","1,107",393,674,331,"1,006","2,099","1,185","1,654","5,614","1,648",28,30,71,22,18,"1,973"
2020년05월_남_10~19세,"27,548",650,209,962,233,"1,821","1,126",657,"1,115",424,"1,813","3,020","1,623","2,151","6,833","1,648",68,41,75,67,52,"2,960"
2020년05월_남_20~29세,"30,688",965,508,"1,191",328,"2,146","2,132","1,076","1,315",513,"2,614","4,208","1,605","2,445","4,810","1,457",107,107,256,105,78,"2,722"
2020년05월_남_30~39세,"28,367",661,557,"1,202",314,"2,899","2,265",721,947,493,"1,575","3,072","1,325","2,107","5,091","1,841",69,96,297,97,78,"2,660"
2020년05월_남_40~49세,"38,677","1,008",484,"1,427",388,"3,229","2,093",885,"1,504",763,"2,007","3,866","2,234","2,910","8,835","2,496",113,114,335,124,157,"3,705"
2020년05월_남_50~59세,"32,851",968,555,"1,253",418,"2,228","2,423","1,159","1,576",757,"2,623","3,899","1,761","2,767","5,015","1,580",235,200,421,256,191,"2,566"
2020년05월_남_60~69세,"15,652",592,423,664,285,"1,405","1,583",679,820,339,"1,103","1,340",683,"1,020","1,705",883,244,193,417,242,196,836
2020년05월_남_70~79세,"7,222",350,346,434,210,623,617,255,341,165,358,476,335,477,672,260,168,166,261,156,158,394
2020년05월_남_80~89세,"2,214",108,106,122,52,168,187,76,99,55,138,157,76,162,153,71,76,46,88,77,96,101
2020년05월_남_90~99세,206,11,9,13,5,14,13,7,10,5,12,16,9,17,13,7,6,3,14,5,10,7
2020년05월_남_100세 이상,5,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0
2020년05월_여_총인구수,"202,070","5,600","3,348","7,995","2,375","15,857","13,129","5,697","8,139","3,484","13,500","21,837","10,392","16,230","39,692","11,484","1,060",953,"1,821","1,115","1,052","17,310"
2020년05월_여_연령구간인구수,"202,070","5,600","3,348","7,995","2,375","15,857","13,129","5,697","8,139","3,484","13,500","21,837","10,392","16,230","39,692","11,484","1,060",953,"1,821","1,115","1,052","17,310"
2020년05월_여_0~9세,"20,378",375,166,742,172,"1,945","1,056",381,603,358,969,"1,948","1,077","1,597","5,283","1,589",33,23,72,33,25,"1,931"
2020년05월_여_10~19세,"25,983",587,206,828,202,"1,799","1,045",581,"1,038",372,"1,781","2,841","1,550","1,966","6,762","1,495",57,39,77,52,39,"2,666"
2020년05월_여_20~29세,"27,293",791,460,"1,048",290,"1,789","1,924",914,"1,154",398,"2,371","3,684","1,354","2,362","4,485","1,345",80,75,164,63,71,"2,471"
2020년05월_여_30~39세,"27,743",591,391,"1,155",275,"2,704","1,811",593,919,440,"1,533","2,892","1,375","2,164","6,023","1,932",49,59,155,56,58,"2,568"
2020년05월_여_40~49세,"38,787",961,409,"1,359",341,"2,708","1,944",913,"1,527",647,"2,455","4,413","2,176","3,093","9,226","2,223",69,72,165,84,87,"3,915"
2020년05월_여_50~59세,"30,122",850,541,"1,216",388,"2,210","2,346","1,155","1,469",574,"2,719","3,618","1,445","2,675","4,424","1,563",156,135,252,153,142,"2,091"
2020년05월_여_60~69세,"15,819",695,519,772,335,"1,451","1,416",651,813,307,924,"1,235",732,"1,173","1,986",797,199,201,362,212,152,887
2020년05월_여_70~79세,"9,615",507,420,565,241,772,880,302,394,217,445,707,452,774,981,317,200,198,309,208,237,489
2020년05월_여_80~89세,"5,362",204,200,260,100,397,590,180,192,155,248,426,202,370,442,191,180,132,213,217,213,250
2020년05월_여_90~99세,911,36,30,45,26,77,115,27,27,16,55,71,26,52,76,28,35,17,50,35,26,41
2020년05월_여_100세 이상,57,3,6,5,5,5,2,0,3,0,0,2,3,4,4,4,2,2,2,2,2,1
