카테고리,대구광역시,대구광역시 중구,대구광역시 동구,대구광역시 서구,대구광역시 남구,대구광역시 북구,대구광역시 수성구,대구광역시 달서구,대구광역시 달성군
2020년07월_계_총인구수,"2,428,022","77,062","342,657","172,657","147,355","439,432","426,611","564,639","257,609"
2020년07월_계_연령구간인구수,"2,428,022","77,062","342,657","172,657","147,355","439,432","426,611","564,639","257,609"
2020년07월_계_0~9세,"182,953","5,331","25,805","7,885","7,021","34,807","30,475","41,777","29,852"
2020년07월_계_10~19세,"229,707","5,109","26,970","11,273","9,637","44,220","52,180","56,690","23,628"
2020년07월_계_20~29세,"322,718","11,933","41,787","22,042","20,386","61,348","55,856","80,272","29,094"
2020년07월_계_30~39세,"299,733","11,018","44,552","17,939","17,478","54,599","43,677","68,260","42,210"
2020년07월_계_40~49세,"387,441","10,807","51,581","23,427","20,625","73,284","73,820","91,064","42,833"
2020년07월_계_50~59세,"427,685","11,436","57,368","34,896","25,268","77,770","75,403","104,880","40,664"
2020년07월_계_60~69세,"317,981","10,135","50,262","30,441","23,655","52,135","51,020","71,633","28,700"
2020년07월_계_70~79세,"174,208","7,379","30,117","17,213","15,148","28,004","28,657","33,956","13,734"
2020년07월_계_80~89세,"75,804","3,337","12,650","6,686","7,147","11,856","13,647","14,362","6,119"
2020년07월_계_90~99세,"9,089",476,"1,442",755,907,"1,324","1,777","1,660",748
2020년07월_계_100세 이상,703,101,123,100,83,85,99,85,27
2020년07월_남_총인구수,"1,198,621","37,082","168,899","86,576","70,816","218,914","206,700","278,813","130,821"
2020년07월_남_연령구간인구수,"1,198,621","37,082","168,899","86,576","70,816","218,914","206,700","278,813","130,821"
2020년07월_남_0~9세,"93,738","2,754","13,175","4,055","3,634","17,821","15,695","21,408","15,196"
2020년07월_남_10~19세,"120,078","2,612","14,135","5,909","5,078","22,975","27,564","29,417","12,388"
2020년07월_남_20~29세,"172,852","5,722","22,374","12,116","10,266","33,419","30,088","42,892","15,975"
2020년07월_남_30~39세,"155,431","5,692","23,435","10,144","9,146","28,420","21,222","35,389","21,983"
2020년07월_남_40~49세,"191,086","5,508","26,609","12,576","10,374","35,934","33,630","44,118","22,337"
2020년07월_남_50~59세,"209,477","5,638","27,824","17,512","12,265","38,617","36,620","50,725","20,276"
2020년07월_남_60~69세,"151,338","4,686","23,343","14,270","10,801","25,360","24,009","34,616","14,253"
2020년07월_남_70~79세,"75,982","3,111","13,158","7,531","6,437","11,965","12,490","15,042","6,248"
2020년07월_남_80~89세,"26,483","1,224","4,504","2,296","2,569","4,117","4,939","4,830","2,004"
2020년07월_남_90~99세,"1,989",114,306,144,228,269,417,358,153
2020년07월_남_100세 이상,167,21,36,23,18,17,26,18,8
2020년07월_여_총인구수,"1,229,401","39,980","173,758","86,081","76,539","220,518","219,911","285,826","126,788"
2020년07월_여_연령구간인구수,"1,229,401","39,980","173,758","86,081","76,539","220,518","219,911","285,826","126,788"
2020년07월_여_0~9세,"89,215","2,577","12,630","3,830","3,387","16,986","14,780","20,369","14,656"
2020년07월_여_10~19세,"109,629","2,497","12,835","5,364","4,559","21,245","24,616","27,273","11,240"
2020년07월_여_20~29세,"149,866","6,211","19,413","9,926","10,120","27,929","25,768","37,380","13,119"
2020년07월_여_30~39세,"144,302","5,326","21,117","7,795","8,332","26,179","22,455","32,871","20,227"
2020년07월_여_40~49세,"196,355","5,299","24,972","10,851","10,251","37,350","40,190","46,946","20,496"
2020년07월_여_50~59세,"218,208","5,798","29,544","17,384","13,003","39,153","38,783","54,155","20,388"
2020년07월_여_60~69세,"166,643","5,449","26,919","16,171","12,854","26,775","27,011","37,017","14,447"
2020년07월_여_70~79세,"98,226","4,268","16,959","9,682","8,711","16,039","16,167","18,914","7,486"
2020년07월_여_80~89세,"49,321","2,113","8,146","4,390","4,578","7,739","8,708","9,532","4,115"
2020년07월_여_90~99세,"7,100",362,"1,136",611,679,"1,055","1,360","1,302",595
2020년07월_여_100세 이상,536,80,87,77,65,68,73,67,19
