,인천광역시 강화군,인천광역시 강화군 강화읍,인천광역시 강화군 선원면,인천광역시 강화군 불은면,인천광역시 강화군 길상면,인천광역시 강화군 화도면,인천광역시 강화군 양도면,인천광역시 강화군 내가면,인천광역시 강화군 하점면,인천광역시 강화군 양사면,인천광역시 강화군 송해면,인천광역시 강화군 교동면,인천광역시 강화군 삼산면,인천광역시 강화군 서도면,인천광역시 강화군 서도면볼음출장소
2021년03월_계_총인구수,"69,008","22,567","7,843","4,912","7,031","4,512","4,257","3,034","3,989","1,856","3,232","2,885","2,230",390,270
2021년03월_계_연령구간인구수,"69,008","22,567","7,843","4,912","7,031","4,512","4,257","3,034","3,989","1,856","3,232","2,885","2,230",390,270
2021년03월_계_0~9세,"3,308","1,465",502,175,303,143,164,77,125,65,133,73,66,10,7
2021년03월_계_10~19세,"4,567","2,176",657,219,400,202,221,111,146,71,135,108,102,16,3
2021년03월_계_20~29세,"5,213","2,235",707,312,480,253,248,163,216,87,203,164,114,23,8
2021년03월_계_30~39세,"5,297","2,106",663,338,608,320,262,182,230,75,217,148,119,21,8
2021년03월_계_40~49세,"7,682","3,200","1,080",425,744,390,413,255,332,142,274,198,195,22,12
2021년03월_계_50~59세,"11,782","3,738","1,325",848,"1,317",774,728,513,621,336,547,525,388,74,48
2021년03월_계_60~69세,"14,580","3,723","1,447","1,251","1,684","1,179",999,784,957,443,703,660,563,102,85
2021년03월_계_70~79세,"9,997","2,447",876,778,959,772,708,601,776,366,592,596,399,64,63
2021년03월_계_80~89세,"5,722","1,305",499,474,449,403,436,320,529,241,376,366,245,49,30
2021년03월_계_90~99세,841,168,87,90,86,75,74,26,56,30,50,46,38,9,6
2021년03월_계_100세 이상,19,4,0,2,1,1,4,2,1,0,2,1,1,0,0
2021년03월_남_총인구수,"34,519","11,125","3,888","2,473","3,531","2,300","2,134","1,494","2,035",909,"1,622","1,494","1,170",198,146
2021년03월_남_연령구간인구수,"34,519","11,125","3,888","2,473","3,531","2,300","2,134","1,494","2,035",909,"1,622","1,494","1,170",198,146
2021년03월_남_0~9세,"1,749",797,244,82,158,67,86,47,66,35,70,43,44,6,4
2021년03월_남_10~19세,"2,335","1,084",330,110,206,122,121,55,78,33,67,54,65,9,1
2021년03월_남_20~29세,"2,966","1,251",396,182,286,140,140,97,136,49,109,104,62,10,4
2021년03월_남_30~39세,"2,763","1,076",327,174,305,187,146,95,119,36,127,82,73,11,5
2021년03월_남_40~49세,"4,171","1,621",555,248,423,229,234,144,193,77,172,131,121,14,9
2021년03월_남_50~59세,"6,054","1,899",683,428,646,370,384,250,336,190,303,290,205,43,27
2021년03월_남_60~69세,"7,284","1,789",715,638,840,615,507,387,502,217,337,337,302,49,49
2021년03월_남_70~79세,"4,718","1,086",420,402,467,377,322,286,371,164,288,284,183,37,31
2021년03월_남_80~89세,"2,275",481,197,188,185,174,174,123,224,104,134,154,106,16,15
2021년03월_남_90~99세,199,40,21,19,14,19,20,9,10,4,15,15,9,3,1
2021년03월_남_100세 이상,5,1,0,2,1,0,0,1,0,0,0,0,0,0,0
2021년03월_여_총인구수,"34,489","11,442","3,955","2,439","3,500","2,212","2,123","1,540","1,954",947,"1,610","1,391","1,060",192,124
2021년03월_여_연령구간인구수,"34,489","11,442","3,955","2,439","3,500","2,212","2,123","1,540","1,954",947,"1,610","1,391","1,060",192,124
2021년03월_여_0~9세,"1,559",668,258,93,145,76,78,30,59,30,63,30,22,4,3
2021년03월_여_10~19세,"2,232","1,092",327,109,194,80,100,56,68,38,68,54,37,7,2
2021년03월_여_20~29세,"2,247",984,311,130,194,113,108,66,80,38,94,60,52,13,4
2021년03월_여_30~39세,"2,534","1,030",336,164,303,133,116,87,111,39,90,66,46,10,3
2021년03월_여_40~49세,"3,511","1,579",525,177,321,161,179,111,139,65,102,67,74,8,3
2021년03월_여_50~59세,"5,728","1,839",642,420,671,404,344,263,285,146,244,235,183,31,21
2021년03월_여_60~69세,"7,296","1,934",732,613,844,564,492,397,455,226,366,323,261,53,36
2021년03월_여_70~79세,"5,279","1,361",456,376,492,395,386,315,405,202,304,312,216,27,32
2021년03월_여_80~89세,"3,447",824,302,286,264,229,262,197,305,137,242,212,139,33,15
2021년03월_여_90~99세,642,128,66,71,72,56,54,17,46,26,35,31,29,6,5
2021년03월_여_100세 이상,14,3,0,0,0,1,4,1,1,0,2,1,1,0,0
