,대전광역시 대덕구,대전광역시 대덕구 오정동,대전광역시 대덕구 대화동,대전광역시 대덕구 회덕동,대전광역시 대덕구 비래동,대전광역시 대덕구 송촌동,대전광역시 대덕구 중리동,대전광역시 대덕구 신탄진동,대전광역시 대덕구 석봉동,대전광역시 대덕구 덕암동,대전광역시 대덕구 목상동,대전광역시 대덕구 법1동,대전광역시 대덕구 법2동
2021년05월_계_총인구수,"175,289","14,558","7,118","12,550","16,413","27,563","19,584","11,053","16,490","13,861","6,603","13,275","16,221"
2021년05월_계_연령구간인구수,"175,289","14,558","7,118","12,550","16,413","27,563","19,584","11,053","16,490","13,861","6,603","13,275","16,221"
2021년05월_계_0~9세,"10,885",629,293,662,928,"1,979",944,489,"1,982",770,439,855,915
2021년05월_계_10~19세,"16,223",988,477,981,"1,643","3,776","1,578",881,"1,505","1,222",601,"1,029","1,542"
2021년05월_계_20~29세,"24,350","2,266",798,"1,439","2,261","4,041","3,010","1,484","1,984","2,107","1,017","1,745","2,198"
2021년05월_계_30~39세,"19,866","1,538",835,"1,236","1,592","2,671","2,208","1,102","2,876","1,671",999,"1,620","1,518"
2021년05월_계_40~49세,"26,629","1,928","1,062","1,741","2,512","4,911","2,986","1,517","2,683","2,101","1,186","1,727","2,275"
2021년05월_계_50~59세,"33,342","2,715","1,338","2,339","3,168","5,592","3,740","2,150","2,633","2,637","1,141","2,611","3,278"
2021년05월_계_60~69세,"25,645","2,641","1,337","2,310","2,515","2,779","3,057","1,872","1,773","1,843",749,"2,077","2,692"
2021년05월_계_70~79세,"12,130","1,304",676,"1,181","1,206","1,140","1,415","1,029",658,994,311,"1,045","1,171"
2021년05월_계_80~89세,"5,484",468,255,590,522,601,579,469,345,457,140,510,548
2021년05월_계_90~99세,707,76,45,68,64,70,66,53,50,57,19,55,84
2021년05월_계_100세 이상,28,5,2,3,2,3,1,7,1,2,1,1,0
2021년05월_남_총인구수,"89,204","7,745","3,764","6,378","8,187","13,667","10,170","5,659","8,472","7,347","3,591","6,289","7,935"
2021년05월_남_연령구간인구수,"89,204","7,745","3,764","6,378","8,187","13,667","10,170","5,659","8,472","7,347","3,591","6,289","7,935"
2021년05월_남_0~9세,"5,497",328,155,327,465,990,468,230,"1,023",410,217,419,465
2021년05월_남_10~19세,"8,474",556,264,513,866,"1,924",854,469,779,630,302,513,804
2021년05월_남_20~29세,"13,502","1,248",455,785,"1,235","2,195","1,668",832,"1,099","1,223",588,931,"1,243"
2021년05월_남_30~39세,"10,878",886,437,682,886,"1,353","1,258",630,"1,467",981,627,862,809
2021년05월_남_40~49세,"13,635","1,099",622,917,"1,239","2,210","1,597",817,"1,437","1,143",672,837,"1,045"
2021년05월_남_50~59세,"16,922","1,452",729,"1,231","1,551","2,827","1,934","1,109","1,300","1,431",608,"1,216","1,534"
2021년05월_남_60~69세,"12,668","1,346",703,"1,139","1,176","1,417","1,489",916,918,895,383,953,"1,333"
2021년05월_남_70~79세,"5,536",637,305,554,546,509,664,481,310,450,148,415,517
2021년05월_남_80~89세,"1,948",178,87,211,207,226,226,169,127,171,44,131,171
2021년05월_남_90~99세,142,14,7,19,15,16,12,6,12,13,2,12,14
2021년05월_남_100세 이상,2,1,0,0,1,0,0,0,0,0,0,0,0
2021년05월_여_총인구수,"86,085","6,813","3,354","6,172","8,226","13,896","9,414","5,394","8,018","6,514","3,012","6,986","8,286"
2021년05월_여_연령구간인구수,"86,085","6,813","3,354","6,172","8,226","13,896","9,414","5,394","8,018","6,514","3,012","6,986","8,286"
2021년05월_여_0~9세,"5,388",301,138,335,463,989,476,259,959,360,222,436,450
2021년05월_여_10~19세,"7,749",432,213,468,777,"1,852",724,412,726,592,299,516,738
2021년05월_여_20~29세,"10,848","1,018",343,654,"1,026","1,846","1,342",652,885,884,429,814,955
2021년05월_여_30~39세,"8,988",652,398,554,706,"1,318",950,472,"1,409",690,372,758,709
2021년05월_여_40~49세,"12,994",829,440,824,"1,273","2,701","1,389",700,"1,246",958,514,890,"1,230"
2021년05월_여_50~59세,"16,420","1,263",609,"1,108","1,617","2,765","1,806","1,041","1,333","1,206",533,"1,395","1,744"
2021년05월_여_60~69세,"12,977","1,295",634,"1,171","1,339","1,362","1,568",956,855,948,366,"1,124","1,359"
2021년05월_여_70~79세,"6,594",667,371,627,660,631,751,548,348,544,163,630,654
2021년05월_여_80~89세,"3,536",290,168,379,315,375,353,300,218,286,96,379,377
2021년05월_여_90~99세,565,62,38,49,49,54,54,47,38,44,17,43,70
2021년05월_여_100세 이상,26,4,2,3,1,3,1,7,1,2,1,1,0
