,경기도 오산시,경기도 오산시 중앙동,경기도 오산시 남촌동,경기도 오산시 신장동,경기도 오산시 세마동,경기도 오산시 초평동,경기도 오산시 대원동
2020년11월_계_총인구수,"229,591","36,109","20,040","60,854","31,947","16,172","64,469"
2020년11월_계_연령구간인구수,"229,591","36,109","20,040","60,854","31,947","16,172","64,469"
2020년11월_계_0~9세,"23,930","4,084",944,"7,192","4,044","1,429","6,237"
2020년11월_계_10~19세,"24,886","4,230","1,152","6,934","3,300","1,983","7,287"
2020년11월_계_20~29세,"31,244","4,467","3,763","7,091","4,083","2,180","9,660"
2020년11월_계_30~39세,"38,989","5,647","4,825","9,981","6,062","2,359","10,115"
2020년11월_계_40~49세,"43,246","6,787","3,685","11,563","6,021","3,123","12,067"
2020년11월_계_50~59세,"33,214","5,360","2,794","8,467","4,245","2,500","9,848"
2020년11월_계_60~69세,"19,816","3,148","1,729","5,551","2,612","1,457","5,319"
2020년11월_계_70~79세,"9,761","1,605",806,"2,782","1,088",771,"2,709"
2020년11월_계_80~89세,"3,952",687,303,"1,143",414,333,"1,072"
2020년11월_계_90~99세,510,88,33,138,72,32,147
2020년11월_계_100세 이상,43,6,6,12,6,5,8
2020년11월_남_총인구수,"118,706","18,120","11,774","30,715","16,372","8,326","33,399"
2020년11월_남_연령구간인구수,"118,706","18,120","11,774","30,715","16,372","8,326","33,399"
2020년11월_남_0~9세,"12,164","2,111",467,"3,638","2,045",750,"3,153"
2020년11월_남_10~19세,"12,707","2,087",575,"3,510","1,677","1,026","3,832"
2020년11월_남_20~29세,"16,890","2,336","2,121","3,766","2,171","1,195","5,301"
2020년11월_남_30~39세,"21,086","2,903","3,117","5,161","3,182","1,296","5,427"
2020년11월_남_40~49세,"22,909","3,452","2,274","6,112","3,150","1,583","6,338"
2020년11월_남_50~59세,"17,293","2,737","1,761","4,257","2,127","1,306","5,105"
2020년11월_남_60~69세,"9,788","1,548",941,"2,634","1,323",714,"2,628"
2020년11월_남_70~79세,"4,308",674,382,"1,224",536,331,"1,161"
2020년11월_남_80~89세,"1,448",256,128,381,150,115,418
2020년11월_남_90~99세,101,14,6,29,10,7,35
2020년11월_남_100세 이상,12,2,2,3,1,3,1
2020년11월_여_총인구수,"110,885","17,989","8,266","30,139","15,575","7,846","31,070"
2020년11월_여_연령구간인구수,"110,885","17,989","8,266","30,139","15,575","7,846","31,070"
2020년11월_여_0~9세,"11,766","1,973",477,"3,554","1,999",679,"3,084"
2020년11월_여_10~19세,"12,179","2,143",577,"3,424","1,623",957,"3,455"
2020년11월_여_20~29세,"14,354","2,131","1,642","3,325","1,912",985,"4,359"
2020년11월_여_30~39세,"17,903","2,744","1,708","4,820","2,880","1,063","4,688"
2020년11월_여_40~49세,"20,337","3,335","1,411","5,451","2,871","1,540","5,729"
2020년11월_여_50~59세,"15,921","2,623","1,033","4,210","2,118","1,194","4,743"
2020년11월_여_60~69세,"10,028","1,600",788,"2,917","1,289",743,"2,691"
2020년11월_여_70~79세,"5,453",931,424,"1,558",552,440,"1,548"
2020년11월_여_80~89세,"2,504",431,175,762,264,218,654
2020년11월_여_90~99세,409,74,27,109,62,25,112
2020년11월_여_100세 이상,31,4,4,9,5,2,7
