카테고리,충청남도 공주시,충청남도 공주시 유구읍,충청남도 공주시 이인면,충청남도 공주시 탄천면,충청남도 공주시 계룡면,충청남도 공주시 반포면,충청남도 공주시 의당면,충청남도 공주시 정안면,충청남도 공주시 우성면,충청남도 공주시 사곡면,충청남도 공주시 신풍면,충청남도 공주시 중학동,충청남도 공주시 웅진동,충청남도 공주시 금학동,충청남도 공주시 옥룡동,충청남도 공주시 신관동,충청남도 공주시 월송동
2020년12월_계_총인구수,"104,545","7,461","3,290","2,971","5,551","4,222","4,676","4,691","5,258","2,957","3,241","4,640","8,302","5,428","7,993","19,383","14,481"
2020년12월_계_연령구간인구수,"104,545","7,461","3,290","2,971","5,551","4,222","4,676","4,691","5,258","2,957","3,241","4,640","8,302","5,428","7,993","19,383","14,481"
2020년12월_계_0~9세,"5,773",277,101,71,170,157,186,117,166,73,78,188,443,353,323,"1,397","1,673"
2020년12월_계_10~19세,"8,159",397,129,131,278,186,361,216,290,157,91,328,710,571,553,"2,049","1,712"
2020년12월_계_20~29세,"11,276",488,212,194,328,340,465,298,377,195,171,575,936,743,869,"3,213","1,872"
2020년12월_계_30~39세,"9,489",496,195,179,298,321,369,275,341,149,187,384,857,529,691,"2,264","1,954"
2020년12월_계_40~49세,"13,316",788,273,236,512,467,590,435,540,260,308,580,"1,144",782,992,"3,018","2,391"
2020년12월_계_50~59세,"18,445","1,328",617,489,"1,019",968,961,820,931,525,630,816,"1,413",874,"1,567","3,245","2,242"
2020년12월_계_60~69세,"18,424","1,755",750,652,"1,377",982,855,"1,119","1,140",667,853,781,"1,427",860,"1,481","2,333","1,392"
2020년12월_계_70~79세,"11,478","1,120",553,534,881,503,510,738,819,487,542,604,864,445,966,"1,192",720
2020년12월_계_80~89세,"7,086",714,401,421,594,251,327,569,557,398,327,326,443,238,490,585,445
2020년12월_계_90~99세,"1,037",91,54,61,89,46,51,100,90,42,49,55,58,31,60,83,77
2020년12월_계_100세 이상,62,7,5,3,5,1,1,4,7,4,5,3,7,2,1,4,3
2020년12월_남_총인구수,"52,297","3,763","1,673","1,539","2,833","2,220","2,419","2,431","2,728","1,481","1,453","2,319","4,065","2,715","4,033","9,471","7,154"
2020년12월_남_연령구간인구수,"52,297","3,763","1,673","1,539","2,833","2,220","2,419","2,431","2,728","1,481","1,453","2,319","4,065","2,715","4,033","9,471","7,154"
2020년12월_남_0~9세,"3,000",156,45,36,87,94,86,65,88,40,39,99,240,181,168,735,841
2020년12월_남_10~19세,"4,220",203,86,65,151,107,183,118,140,75,46,177,343,285,286,"1,056",899
2020년12월_남_20~29세,"6,231",303,116,131,182,201,280,187,233,101,103,320,501,368,513,"1,684","1,008"
2020년12월_남_30~39세,"5,063",295,114,103,161,186,201,162,207,96,96,218,481,281,400,"1,130",932
2020년12월_남_40~49세,"7,039",457,170,144,309,249,338,274,338,154,131,306,591,413,549,"1,470","1,146"
2020년12월_남_50~59세,"9,500",648,352,288,590,517,518,431,530,293,272,417,710,449,807,"1,553","1,125"
2020년12월_남_60~69세,"9,201",901,392,351,694,510,447,598,583,343,392,383,660,443,706,"1,084",714
2020년12월_남_70~79세,"5,264",510,255,256,433,239,245,352,399,219,241,262,365,217,415,531,325
2020년12월_남_80~89세,"2,493",264,122,154,201,103,110,214,181,151,116,122,159,73,173,209,141
2020년12월_남_90~99세,273,22,21,11,23,14,11,30,29,8,17,15,14,4,16,16,22
2020년12월_남_100세 이상,13,4,0,0,2,0,0,0,0,1,0,0,1,1,0,3,1
2020년12월_여_총인구수,"52,248","3,698","1,617","1,432","2,718","2,002","2,257","2,260","2,530","1,476","1,788","2,321","4,237","2,713","3,960","9,912","7,327"
2020년12월_여_연령구간인구수,"52,248","3,698","1,617","1,432","2,718","2,002","2,257","2,260","2,530","1,476","1,788","2,321","4,237","2,713","3,960","9,912","7,327"
2020년12월_여_0~9세,"2,773",121,56,35,83,63,100,52,78,33,39,89,203,172,155,662,832
2020년12월_여_10~19세,"3,939",194,43,66,127,79,178,98,150,82,45,151,367,286,267,993,813
2020년12월_여_20~29세,"5,045",185,96,63,146,139,185,111,144,94,68,255,435,375,356,"1,529",864
2020년12월_여_30~39세,"4,426",201,81,76,137,135,168,113,134,53,91,166,376,248,291,"1,134","1,022"
2020년12월_여_40~49세,"6,277",331,103,92,203,218,252,161,202,106,177,274,553,369,443,"1,548","1,245"
2020년12월_여_50~59세,"8,945",680,265,201,429,451,443,389,401,232,358,399,703,425,760,"1,692","1,117"
2020년12월_여_60~69세,"9,223",854,358,301,683,472,408,521,557,324,461,398,767,417,775,"1,249",678
2020년12월_여_70~79세,"6,214",610,298,278,448,264,265,386,420,268,301,342,499,228,551,661,395
2020년12월_여_80~89세,"4,593",450,279,267,393,148,217,355,376,247,211,204,284,165,317,376,304
2020년12월_여_90~99세,764,69,33,50,66,32,40,70,61,34,32,40,44,27,44,67,55
2020년12월_여_100세 이상,49,3,5,3,3,1,1,4,7,3,5,3,6,1,1,1,2
