카테고리,대전광역시 유성구,대전광역시 유성구 진잠동,대전광역시 유성구 온천1동,대전광역시 유성구 온천2동,대전광역시 유성구 노은1동,대전광역시 유성구 노은2동,대전광역시 유성구 노은3동,대전광역시 유성구 신성동,대전광역시 유성구 전민동,대전광역시 유성구 구즉동,대전광역시 유성구 관평동,대전광역시 유성구 원신흥동
2021년10월_계_총인구수,"350,284","34,572","35,263","40,343","22,058","24,618","37,643","26,290","27,202","27,595","28,858","45,842"
2021년10월_계_연령구간인구수,"350,284","34,572","35,263","40,343","22,058","24,618","37,643","26,290","27,202","27,595","28,858","45,842"
2021년10월_계_0~9세,"33,275","3,136","1,514","3,400","2,139","2,267","4,784","2,920","2,535","2,354","3,030","5,196"
2021년10월_계_10~19세,"37,651","3,304","1,447","3,150","3,011","3,396","4,606","2,879","3,153","3,017","4,446","5,242"
2021년10월_계_20~29세,"52,495","4,276","8,406","8,740","2,826","3,093","3,764","4,123","4,328","4,205","3,743","4,991"
2021년10월_계_30~39세,"54,852","4,273","6,970","6,304","3,140","3,042","5,925","5,336","4,490","3,970","3,956","7,446"
2021년10월_계_40~49세,"59,804","5,773","4,399","5,588","4,256","4,610","7,446","4,228","4,232","4,662","5,840","8,770"
2021년10월_계_50~59세,"54,402","6,202","5,438","5,805","3,348","4,085","5,388","3,542","4,472","4,739","4,598","6,785"
2021년10월_계_60~69세,"36,181","4,630","4,303","4,708","1,928","2,330","3,658","2,107","2,650","2,671","2,247","4,949"
2021년10월_계_70~79세,"13,777","1,892","1,798","1,736",899,"1,115","1,408",684,753,"1,194",643,"1,655"
2021년10월_계_80~89세,"6,704",951,836,781,439,587,558,412,478,681,302,679
2021년10월_계_90~99세,"1,112",132,145,131,69,92,102,59,109,96,53,124
2021년10월_계_100세 이상,31,3,7,0,3,1,4,0,2,6,0,5
2021년10월_남_총인구수,"176,936","17,624","18,286","21,016","10,961","12,086","18,471","13,754","13,927","14,103","14,767","21,941"
2021년10월_남_연령구간인구수,"176,936","17,624","18,286","21,016","10,961","12,086","18,471","13,754","13,927","14,103","14,767","21,941"
2021년10월_남_0~9세,"17,091","1,591",794,"1,710","1,122","1,180","2,426","1,518","1,337","1,192","1,546","2,675"
2021년10월_남_10~19세,"19,511","1,764",756,"1,634","1,545","1,748","2,354","1,493","1,605","1,554","2,353","2,705"
2021년10월_남_20~29세,"28,176","2,338","4,253","5,064","1,472","1,590","1,983","2,260","2,384","2,341","2,002","2,489"
2021년10월_남_30~39세,"28,730","2,226","4,020","3,472","1,579","1,503","2,799","2,954","2,491","2,146","2,031","3,509"
2021년10월_남_40~49세,"29,402","2,984","2,377","2,820","2,023","2,170","3,616","2,129","2,005","2,345","2,775","4,158"
2021년10월_남_50~59세,"27,133","3,111","2,699","2,822","1,703","2,038","2,630","1,832","2,190","2,480","2,496","3,132"
2021년10월_남_60~69세,"17,916","2,340","2,229","2,324",926,"1,124","1,745","1,089","1,388","1,337","1,146","2,268"
2021년10월_남_70~79세,"6,457",918,826,853,412,497,684,340,362,484,326,755
2021년10월_남_80~89세,"2,269",325,292,282,165,217,213,127,131,205,81,231
2021년10월_남_90~99세,247,26,39,35,13,19,21,12,34,19,11,18
2021년10월_남_100세 이상,4,1,1,0,1,0,0,0,0,0,0,1
2021년10월_여_총인구수,"173,348","16,948","16,977","19,327","11,097","12,532","19,172","12,536","13,275","13,492","14,091","23,901"
2021년10월_여_연령구간인구수,"173,348","16,948","16,977","19,327","11,097","12,532","19,172","12,536","13,275","13,492","14,091","23,901"
2021년10월_여_0~9세,"16,184","1,545",720,"1,690","1,017","1,087","2,358","1,402","1,198","1,162","1,484","2,521"
2021년10월_여_10~19세,"18,140","1,540",691,"1,516","1,466","1,648","2,252","1,386","1,548","1,463","2,093","2,537"
2021년10월_여_20~29세,"24,319","1,938","4,153","3,676","1,354","1,503","1,781","1,863","1,944","1,864","1,741","2,502"
2021년10월_여_30~39세,"26,122","2,047","2,950","2,832","1,561","1,539","3,126","2,382","1,999","1,824","1,925","3,937"
2021년10월_여_40~49세,"30,402","2,789","2,022","2,768","2,233","2,440","3,830","2,099","2,227","2,317","3,065","4,612"
2021년10월_여_50~59세,"27,269","3,091","2,739","2,983","1,645","2,047","2,758","1,710","2,282","2,259","2,102","3,653"
2021년10월_여_60~69세,"18,265","2,290","2,074","2,384","1,002","1,206","1,913","1,018","1,262","1,334","1,101","2,681"
2021년10월_여_70~79세,"7,320",974,972,883,487,618,724,344,391,710,317,900
2021년10월_여_80~89세,"4,435",626,544,499,274,370,345,285,347,476,221,448
2021년10월_여_90~99세,865,106,106,96,56,73,81,47,75,77,42,106
2021년10월_여_100세 이상,27,2,6,0,2,1,4,0,2,6,0,4
