,부산광역시 수영구,부산광역시 수영구 남천제1동,부산광역시 수영구 남천제2동,부산광역시 수영구 수영동,부산광역시 수영구 망미제1동,부산광역시 수영구 망미제2동,부산광역시 수영구 광안제1동,부산광역시 수영구 광안제2동,부산광역시 수영구 광안제3동,부산광역시 수영구 광안제4동,부산광역시 수영구 민락동
2020년04월_계_총인구수,"176,984","14,128","12,475","15,162","28,349","11,864","26,230","18,860","10,342","11,098","28,476"
2020년04월_계_연령구간인구수,"176,984","14,128","12,475","15,162","28,349","11,864","26,230","18,860","10,342","11,098","28,476"
2020년04월_계_0~9세,"10,578",727,893,679,"1,780",741,"1,415","1,205",356,530,"2,252"
2020년04월_계_10~19세,"12,228","1,223","1,239",706,"2,012",923,"1,704","1,313",510,754,"1,844"
2020년04월_계_20~29세,"24,247","1,906","1,450","1,820","3,267","1,311","4,950","2,813","1,880","1,503","3,347"
2020년04월_계_30~39세,"24,153","1,672","1,288","1,889","3,597","1,526","4,107","2,729","1,547","1,569","4,229"
2020년04월_계_40~49세,"25,700","2,054","2,038","1,949","3,808","1,811","3,742","2,933","1,354","1,671","4,340"
2020년04월_계_50~59세,"27,893","2,435","2,198","2,408","4,561","1,913","3,637","2,755","1,514","1,766","4,706"
2020년04월_계_60~69세,"27,927","2,100","1,868","2,939","5,005","1,974","3,599","2,627","1,691","1,660","4,464"
2020년04월_계_70~79세,"16,847","1,300","1,040","1,927","2,927","1,211","2,175","1,755","1,053","1,101","2,358"
2020년04월_계_80~89세,"6,484",604,373,758,"1,209",401,787,654,388,488,822
2020년04월_계_90~99세,863,101,79,82,173,49,107,68,44,51,109
2020년04월_계_100세 이상,64,6,9,5,10,4,7,8,5,5,5
2020년04월_남_총인구수,"83,743","6,527","5,812","7,261","13,634","5,819","12,325","8,796","4,906","4,950","13,713"
2020년04월_남_연령구간인구수,"83,743","6,527","5,812","7,261","13,634","5,819","12,325","8,796","4,906","4,950","13,713"
2020년04월_남_0~9세,"5,424",360,436,353,930,386,764,609,187,274,"1,125"
2020년04월_남_10~19세,"6,293",619,637,352,"1,038",498,890,661,263,393,942
2020년04월_남_20~29세,"11,898",971,749,912,"1,708",715,"2,223","1,321",836,702,"1,761"
2020년04월_남_30~39세,"12,050",821,608,995,"1,834",770,"2,060","1,324",802,729,"2,107"
2020년04월_남_40~49세,"12,624",920,920,"1,016","1,911",948,"1,832","1,443",715,740,"2,179"
2020년04월_남_50~59세,"12,701","1,120",962,"1,133","2,098",902,"1,623","1,246",704,769,"2,144"
2020년04월_남_60~69세,"12,470",907,853,"1,312","2,237",886,"1,597","1,161",781,682,"2,054"
2020년04월_남_70~79세,"7,614",551,484,871,"1,368",551,"1,009",750,465,477,"1,088"
2020년04월_남_80~89세,"2,445",224,147,296,460,155,296,259,143,175,290
2020년04월_남_90~99세,210,34,13,21,46,8,28,20,10,9,21
2020년04월_남_100세 이상,14,0,3,0,4,0,3,2,0,0,2
2020년04월_여_총인구수,"93,241","7,601","6,663","7,901","14,715","6,045","13,905","10,064","5,436","6,148","14,763"
2020년04월_여_연령구간인구수,"93,241","7,601","6,663","7,901","14,715","6,045","13,905","10,064","5,436","6,148","14,763"
2020년04월_여_0~9세,"5,154",367,457,326,850,355,651,596,169,256,"1,127"
2020년04월_여_10~19세,"5,935",604,602,354,974,425,814,652,247,361,902
2020년04월_여_20~29세,"12,349",935,701,908,"1,559",596,"2,727","1,492","1,044",801,"1,586"
2020년04월_여_30~39세,"12,103",851,680,894,"1,763",756,"2,047","1,405",745,840,"2,122"
2020년04월_여_40~49세,"13,076","1,134","1,118",933,"1,897",863,"1,910","1,490",639,931,"2,161"
2020년04월_여_50~59세,"15,192","1,315","1,236","1,275","2,463","1,011","2,014","1,509",810,997,"2,562"
2020년04월_여_60~69세,"15,457","1,193","1,015","1,627","2,768","1,088","2,002","1,466",910,978,"2,410"
2020년04월_여_70~79세,"9,233",749,556,"1,056","1,559",660,"1,166","1,005",588,624,"1,270"
2020년04월_여_80~89세,"4,039",380,226,462,749,246,491,395,245,313,532
2020년04월_여_90~99세,653,67,66,61,127,41,79,48,34,42,88
2020년04월_여_100세 이상,50,6,6,5,6,4,4,6,5,5,3
