,대전광역시 대덕구,대전광역시 대덕구 오정동,대전광역시 대덕구 대화동,대전광역시 대덕구 회덕동,대전광역시 대덕구 비래동,대전광역시 대덕구 송촌동,대전광역시 대덕구 중리동,대전광역시 대덕구 신탄진동,대전광역시 대덕구 석봉동,대전광역시 대덕구 덕암동,대전광역시 대덕구 목상동,대전광역시 대덕구 법1동,대전광역시 대덕구 법2동
2021년12월_계_총인구수,"175,046","14,506","6,944","12,271","16,215","27,150","19,567","12,825","16,303","13,725","6,474","13,100","15,966"
2021년12월_계_연령구간인구수,"175,046","14,506","6,944","12,271","16,215","27,150","19,567","12,825","16,303","13,725","6,474","13,100","15,966"
2021년12월_계_0~9세,"10,519",586,257,597,857,"1,892",887,673,"1,938",707,404,841,880
2021년12월_계_10~19세,"15,786",967,466,947,"1,578","3,629","1,553",980,"1,476","1,156",578,998,"1,458"
2021년12월_계_20~29세,"24,097","2,345",792,"1,400","2,153","3,976","2,989","1,693","1,895","2,115",965,"1,674","2,100"
2021년12월_계_30~39세,"19,941","1,509",774,"1,182","1,587","2,587","2,205","1,589","2,784","1,665",975,"1,585","1,499"
2021년12월_계_40~49세,"26,157","1,865","1,022","1,655","2,398","4,705","2,973","1,737","2,691","2,072","1,145","1,707","2,187"
2021년12월_계_50~59세,"33,326","2,656","1,317","2,316","3,176","5,616","3,745","2,406","2,580","2,589","1,177","2,555","3,193"
2021년12월_계_60~69세,"26,362","2,661","1,320","2,321","2,612","2,885","3,097","2,092","1,860","1,887",758,"2,097","2,772"
2021년12월_계_70~79세,"12,363","1,348",678,"1,169","1,244","1,148","1,447","1,082",674,994,310,"1,066","1,203"
2021년12월_계_80~89세,"5,721",488,269,609,536,631,607,512,357,475,138,511,588
2021년12월_계_90~99세,748,76,47,73,72,79,63,54,48,62,24,64,86
2021년12월_계_100세 이상,26,5,2,2,2,2,1,7,0,3,0,2,0
2021년12월_남_총인구수,"88,989","7,698","3,662","6,224","8,068","13,388","10,162","6,636","8,347","7,295","3,516","6,186","7,807"
2021년12월_남_연령구간인구수,"88,989","7,698","3,662","6,224","8,068","13,388","10,162","6,636","8,347","7,295","3,516","6,186","7,807"
2021년12월_남_0~9세,"5,317",302,134,291,433,931,452,329,"1,009",366,207,407,456
2021년12월_남_10~19세,"8,241",533,261,495,841,"1,829",832,537,760,603,283,506,761
2021년12월_남_20~29세,"13,301","1,293",459,765,"1,157","2,151","1,655",947,"1,030","1,208",556,893,"1,187"
2021년12월_남_30~39세,"10,940",870,409,656,880,"1,317","1,259",930,"1,409",994,609,824,783
2021년12월_남_40~49세,"13,400","1,060",583,872,"1,187","2,099","1,603",928,"1,445","1,125",649,838,"1,011"
2021년12월_남_50~59세,"16,918","1,419",713,"1,222","1,551","2,826","1,938","1,242","1,272","1,423",626,"1,183","1,503"
2021년12월_남_60~69세,"13,008","1,353",686,"1,133","1,221","1,478","1,509","1,015",957,933,389,969,"1,365"
2021년12월_남_70~79세,"5,671",656,318,557,571,506,676,512,325,444,149,415,542
2021년12월_남_80~89세,"2,033",196,91,211,211,235,227,186,128,182,46,137,183
2021년12월_남_90~99세,158,15,8,22,15,16,11,10,12,17,2,14,16
2021년12월_남_100세 이상,2,1,0,0,1,0,0,0,0,0,0,0,0
2021년12월_여_총인구수,"86,057","6,808","3,282","6,047","8,147","13,762","9,405","6,189","7,956","6,430","2,958","6,914","8,159"
2021년12월_여_연령구간인구수,"86,057","6,808","3,282","6,047","8,147","13,762","9,405","6,189","7,956","6,430","2,958","6,914","8,159"
2021년12월_여_0~9세,"5,202",284,123,306,424,961,435,344,929,341,197,434,424
2021년12월_여_10~19세,"7,545",434,205,452,737,"1,800",721,443,716,553,295,492,697
2021년12월_여_20~29세,"10,796","1,052",333,635,996,"1,825","1,334",746,865,907,409,781,913
2021년12월_여_30~39세,"9,001",639,365,526,707,"1,270",946,659,"1,375",671,366,761,716
2021년12월_여_40~49세,"12,757",805,439,783,"1,211","2,606","1,370",809,"1,246",947,496,869,"1,176"
2021년12월_여_50~59세,"16,408","1,237",604,"1,094","1,625","2,790","1,807","1,164","1,308","1,166",551,"1,372","1,690"
2021년12월_여_60~69세,"13,354","1,308",634,"1,188","1,391","1,407","1,588","1,077",903,954,369,"1,128","1,407"
2021년12월_여_70~79세,"6,692",692,360,612,673,642,771,570,349,550,161,651,661
2021년12월_여_80~89세,"3,688",292,178,398,325,396,380,326,229,293,92,374,405
2021년12월_여_90~99세,590,61,39,51,57,63,52,44,36,45,22,50,70
2021년12월_여_100세 이상,24,4,2,2,1,2,1,7,0,3,0,2,0
