카테고리,경기도 군포시,경기도 군포시 군포1동,경기도 군포시 군포2동,경기도 군포시 산본1동,경기도 군포시 산본2동,경기도 군포시 금정동,경기도 군포시 재궁동,경기도 군포시 오금동,경기도 군포시 수리동,경기도 군포시 궁내동,경기도 군포시 대야동,경기도 군포시 광정동
2020년11월_계_총인구수,"274,309","33,863","53,830","16,132","27,425","17,450","19,274","22,232","16,894","21,188","20,550","25,471"
2020년11월_계_연령구간인구수,"274,309","33,863","53,830","16,132","27,425","17,450","19,274","22,232","16,894","21,188","20,550","25,471"
2020년11월_계_0~9세,"20,792","2,002","4,747",672,"2,300",853,"1,215","1,973","1,075","1,889","2,277","1,789"
2020년11월_계_10~19세,"26,752","2,671","6,244",867,"2,808","1,187","1,470","2,189","1,634","3,171","1,751","2,760"
2020년11월_계_20~29세,"38,330","5,463","7,284","2,497","3,792","2,742","2,776","2,835","2,120","2,550","2,611","3,660"
2020년11월_계_30~39세,"38,394","4,693","7,243","2,207","3,558","2,335","3,220","3,773","2,141","2,240","3,719","3,265"
2020년11월_계_40~49세,"44,703","5,095","9,279","2,091","4,458","2,527","2,820","3,848","2,751","4,202","3,317","4,315"
2020년11월_계_50~59세,"48,317","6,611","9,363","3,092","4,830","3,546","3,201","3,450","2,963","3,572","3,258","4,431"
2020년11월_계_60~69세,"33,153","4,518","5,929","2,670","3,509","2,674","2,496","2,294","2,109","1,936","2,252","2,766"
2020년11월_계_70~79세,"15,082","1,898","2,487","1,344","1,378","1,093","1,280","1,138","1,207",944,919,"1,394"
2020년11월_계_80~89세,"7,519",772,"1,061",591,664,420,688,646,788,605,373,911
2020년11월_계_90~99세,"1,189",129,178,93,124,64,103,86,101,76,67,168
2020년11월_계_100세 이상,78,11,15,8,4,9,5,0,5,3,6,12
2020년11월_남_총인구수,"136,130","17,852","26,739","8,061","13,313","9,073","9,158","10,845","8,077","10,326","10,305","12,381"
2020년11월_남_연령구간인구수,"136,130","17,852","26,739","8,061","13,313","9,073","9,158","10,845","8,077","10,326","10,305","12,381"
2020년11월_남_0~9세,"10,620","1,020","2,454",349,"1,162",457,627,997,505,998,"1,127",924
2020년11월_남_10~19세,"13,771","1,390","3,192",445,"1,461",619,741,"1,144",851,"1,601",908,"1,419"
2020년11월_남_20~29세,"20,037","2,990","3,785","1,346","1,961","1,467","1,387","1,495","1,092","1,350","1,308","1,856"
2020년11월_남_30~39세,"19,941","2,698","3,686","1,270","1,723","1,314","1,679","1,882","1,089","1,054","1,913","1,633"
2020년11월_남_40~49세,"22,009","2,731","4,519","1,106","2,111","1,362","1,335","1,849","1,331","1,929","1,718","2,018"
2020년11월_남_50~59세,"23,607","3,442","4,533","1,457","2,244","1,814","1,474","1,645","1,404","1,778","1,564","2,252"
2020년11월_남_60~69세,"16,378","2,343","2,982","1,270","1,745","1,350","1,153","1,074",981,966,"1,164","1,350"
2020년11월_남_70~79세,"6,761",901,"1,174",608,627,525,506,481,486,407,454,592
2020년11월_남_80~89세,"2,659",298,365,189,244,148,229,253,298,214,131,290
2020년11월_남_90~99세,324,35,45,20,34,14,26,25,37,29,15,44
2020년11월_남_100세 이상,23,4,4,1,1,3,1,0,3,0,3,3
2020년11월_여_총인구수,"138,179","16,011","27,091","8,071","14,112","8,377","10,116","11,387","8,817","10,862","10,245","13,090"
2020년11월_여_연령구간인구수,"138,179","16,011","27,091","8,071","14,112","8,377","10,116","11,387","8,817","10,862","10,245","13,090"
2020년11월_여_0~9세,"10,172",982,"2,293",323,"1,138",396,588,976,570,891,"1,150",865
2020년11월_여_10~19세,"12,981","1,281","3,052",422,"1,347",568,729,"1,045",783,"1,570",843,"1,341"
2020년11월_여_20~29세,"18,293","2,473","3,499","1,151","1,831","1,275","1,389","1,340","1,028","1,200","1,303","1,804"
2020년11월_여_30~39세,"18,453","1,995","3,557",937,"1,835","1,021","1,541","1,891","1,052","1,186","1,806","1,632"
2020년11월_여_40~49세,"22,694","2,364","4,760",985,"2,347","1,165","1,485","1,999","1,420","2,273","1,599","2,297"
2020년11월_여_50~59세,"24,710","3,169","4,830","1,635","2,586","1,732","1,727","1,805","1,559","1,794","1,694","2,179"
2020년11월_여_60~69세,"16,775","2,175","2,947","1,400","1,764","1,324","1,343","1,220","1,128",970,"1,088","1,416"
2020년11월_여_70~79세,"8,321",997,"1,313",736,751,568,774,657,721,537,465,802
2020년11월_여_80~89세,"4,860",474,696,402,420,272,459,393,490,391,242,621
2020년11월_여_90~99세,865,94,133,73,90,50,77,61,64,47,52,124
2020년11월_여_100세 이상,55,7,11,7,3,6,4,0,2,3,3,9
