,서울특별시 중구,서울특별시 중구 소공동,서울특별시 중구 회현동,서울특별시 중구 명동,서울특별시 중구 필동,서울특별시 중구 장충동,서울특별시 중구 광희동,서울특별시 중구 을지로동,서울특별시 중구 신당동,서울특별시 중구 다산동,서울특별시 중구 약수동,서울특별시 중구 청구동,서울특별시 중구 신당제5동,서울특별시 중구 동화동,서울특별시 중구 황학동,서울특별시 중구 중림동
2020년07월_계_총인구수,"125,970","2,092","5,200","2,976","3,998","4,694","5,037","1,837","7,596","14,388","17,332","14,130","10,648","10,762","12,703","12,577"
2020년07월_계_연령구간인구수,"125,970","2,092","5,200","2,976","3,998","4,694","5,037","1,837","7,596","14,388","17,332","14,130","10,648","10,762","12,703","12,577"
2020년07월_계_0~9세,"7,079",176,207,91,197,186,141,54,271,590,"1,173",786,615,774,751,"1,067"
2020년07월_계_10~19세,"7,097",112,211,148,185,329,203,34,298,864,"1,009",929,590,875,538,772
2020년07월_계_20~29세,"18,570",214,501,354,707,"1,230",774,203,"1,320","2,424","2,069","2,007","1,659","1,481","2,134","1,493"
2020년07월_계_30~39세,"20,323",427,566,397,607,671,774,293,"1,276","2,294","2,477","2,231","1,783","1,352","2,854","2,321"
2020년07월_계_40~49세,"18,363",456,683,440,492,588,619,200,"1,080","2,099","2,508","2,026","1,602","1,667","1,848","2,055"
2020년07월_계_50~59세,"20,922",312,988,506,610,599,873,342,"1,388","2,360","2,902","2,388","1,884","1,959","1,801","2,010"
2020년07월_계_60~69세,"17,221",231,"1,045",527,609,498,857,400,"1,008","1,928","2,611","1,901","1,301","1,394","1,489","1,422"
2020년07월_계_70~79세,"10,625",104,584,336,357,383,538,202,650,"1,245","1,642","1,171",826,773,893,921
2020년07월_계_80~89세,"4,710",45,286,141,176,175,206,78,243,493,781,593,328,413,337,415
2020년07월_계_90~99세,861,10,86,27,48,32,37,21,54,77,151,90,47,61,50,70
2020년07월_계_100세 이상,199,5,43,9,10,3,15,10,8,14,9,8,13,13,8,31
2020년07월_남_총인구수,"61,644","1,018","2,774","1,265","2,060","2,379","2,653","1,111","3,772","7,001","8,165","6,711","5,181","5,183","6,079","6,292"
2020년07월_남_연령구간인구수,"61,644","1,018","2,774","1,265","2,060","2,379","2,653","1,111","3,772","7,001","8,165","6,711","5,181","5,183","6,079","6,292"
2020년07월_남_0~9세,"3,591",91,114,53,104,99,70,27,111,304,564,395,297,420,395,547
2020년07월_남_10~19세,"3,555",31,91,57,98,160,106,12,153,467,517,472,298,434,265,394
2020년07월_남_20~29세,"8,903",87,220,163,361,657,371,92,611,"1,187","1,041",979,769,738,889,738
2020년07월_남_30~39세,"10,181",208,276,198,336,353,434,171,656,"1,202","1,158","1,124",904,627,"1,411","1,123"
2020년07월_남_40~49세,"9,354",239,382,189,279,317,341,130,583,"1,051","1,247",973,817,815,915,"1,076"
2020년07월_남_50~59세,"10,646",159,583,211,342,308,498,239,735,"1,143","1,377","1,167",983,937,917,"1,047"
2020년07월_남_60~69세,"8,573",130,624,226,287,240,450,278,499,889,"1,219",905,635,701,735,755
2020년07월_남_70~79세,"4,771",52,298,122,173,168,282,111,308,558,715,453,349,347,419,416
2020년07월_남_80~89세,"1,744",17,132,36,62,67,78,39,98,181,284,215,115,142,117,161
2020년07월_남_90~99세,262,3,35,7,15,10,17,8,15,16,39,25,14,18,16,24
2020년07월_남_100세 이상,64,1,19,3,3,0,6,4,3,3,4,3,0,4,0,11
2020년07월_여_총인구수,"64,326","1,074","2,426","1,711","1,938","2,315","2,384",726,"3,824","7,387","9,167","7,419","5,467","5,579","6,624","6,285"
2020년07월_여_연령구간인구수,"64,326","1,074","2,426","1,711","1,938","2,315","2,384",726,"3,824","7,387","9,167","7,419","5,467","5,579","6,624","6,285"
2020년07월_여_0~9세,"3,488",85,93,38,93,87,71,27,160,286,609,391,318,354,356,520
2020년07월_여_10~19세,"3,542",81,120,91,87,169,97,22,145,397,492,457,292,441,273,378
2020년07월_여_20~29세,"9,667",127,281,191,346,573,403,111,709,"1,237","1,028","1,028",890,743,"1,245",755
2020년07월_여_30~39세,"10,142",219,290,199,271,318,340,122,620,"1,092","1,319","1,107",879,725,"1,443","1,198"
2020년07월_여_40~49세,"9,009",217,301,251,213,271,278,70,497,"1,048","1,261","1,053",785,852,933,979
2020년07월_여_50~59세,"10,276",153,405,295,268,291,375,103,653,"1,217","1,525","1,221",901,"1,022",884,963
2020년07월_여_60~69세,"8,648",101,421,301,322,258,407,122,509,"1,039","1,392",996,666,693,754,667
2020년07월_여_70~79세,"5,854",52,286,214,184,215,256,91,342,687,927,718,477,426,474,505
2020년07월_여_80~89세,"2,966",28,154,105,114,108,128,39,145,312,497,378,213,271,220,254
2020년07월_여_90~99세,599,7,51,20,33,22,20,13,39,61,112,65,33,43,34,46
2020년07월_여_100세 이상,135,4,24,6,7,3,9,6,5,11,5,5,13,9,8,20
