카테고리,경기도 포천시,경기도 포천시 소흘읍,경기도 포천시 군내면,경기도 포천시 내촌면,경기도 포천시 가산면,경기도 포천시 신북면,경기도 포천시 창수면,경기도 포천시 영중면,경기도 포천시 일동면,경기도 포천시 이동면,경기도 포천시 영북면,경기도 포천시 관인면,경기도 포천시 화현면,경기도 포천시 포천동,경기도 포천시 선단동
2020년06월_계_총인구수,"148,015","44,207","8,670","4,647","7,736","12,675","2,197","4,901","9,491","6,172","8,588","2,798","2,762","18,786","14,385"
2020년06월_계_연령구간인구수,"148,015","44,207","8,670","4,647","7,736","12,675","2,197","4,901","9,491","6,172","8,588","2,798","2,762","18,786","14,385"
2020년06월_계_0~9세,"8,944","3,007",609,132,238,718,48,202,523,516,652,63,205,"1,292",739
2020년06월_계_10~19세,"12,625","5,045",596,217,418,"1,002",85,277,707,370,473,145,155,"1,912","1,223"
2020년06월_계_20~29세,"17,943","5,858",988,447,794,"1,511",204,422,966,832,983,228,284,"2,552","1,874"
2020년06월_계_30~39세,"14,874","4,437","1,119",353,621,"1,273",124,303,874,849,"1,040",118,344,"1,985","1,434"
2020년06월_계_40~49세,"20,917","7,383","1,144",567,925,"1,723",213,535,"1,208",613,881,274,279,"2,843","2,329"
2020년06월_계_50~59세,"29,491","9,004","1,659","1,106","1,964","2,564",394,"1,039","1,619",938,"1,375",553,475,"3,582","3,219"
2020년06월_계_60~69세,"23,458","5,497","1,400","1,021","1,575","2,186",548,"1,072","1,804",994,"1,460",648,525,"2,590","2,138"
2020년06월_계_70~79세,"12,458","2,576",711,495,706,"1,069",379,672,"1,077",686,"1,046",498,305,"1,327",911
2020년06월_계_80~89세,"6,270","1,186",388,281,423,533,185,329,595,335,555,239,166,597,458
2020년06월_계_90~99세,963,202,54,27,72,89,17,47,111,35,108,29,23,95,54
2020년06월_계_100세 이상,72,12,2,1,0,7,0,3,7,4,15,3,1,11,6
2020년06월_남_총인구수,"78,233","22,549","4,669","2,668","4,520","6,971","1,228","2,662","4,904","3,339","4,561","1,454","1,460","9,522","7,726"
2020년06월_남_연령구간인구수,"78,233","22,549","4,669","2,668","4,520","6,971","1,228","2,662","4,904","3,339","4,561","1,454","1,460","9,522","7,726"
2020년06월_남_0~9세,"4,644","1,530",317,76,113,394,27,99,271,280,337,28,105,656,411
2020년06월_남_10~19세,"6,612","2,624",306,125,219,547,52,141,386,177,240,70,75,"1,011",639
2020년06월_남_20~29세,"10,415","3,178",576,286,479,906,139,254,577,552,665,148,159,"1,426","1,070"
2020년06월_남_30~39세,"8,206","2,258",631,221,379,733,82,178,513,498,612,75,200,"1,037",789
2020년06월_남_40~49세,"11,238","3,655",642,358,597,942,123,333,668,368,509,162,161,"1,448","1,272"
2020년06월_남_50~59세,"16,202","4,784",914,646,"1,231","1,482",236,612,849,495,762,301,251,"1,825","1,814"
2020년06월_남_60~69세,"12,673","2,879",789,602,961,"1,237",302,598,916,519,755,338,300,"1,324","1,153"
2020년06월_남_70~79세,"5,735","1,186",337,231,368,513,177,305,487,328,439,229,148,569,418
2020년06월_남_80~89세,"2,262",412,145,119,163,194,84,123,207,111,209,93,55,203,144
2020년06월_남_90~99세,219,40,10,4,10,22,6,17,25,11,28,7,6,19,14
2020년06월_남_100세 이상,27,3,2,0,0,1,0,2,5,0,5,3,0,4,2
2020년06월_여_총인구수,"69,782","21,658","4,001","1,979","3,216","5,704",969,"2,239","4,587","2,833","4,027","1,344","1,302","9,264","6,659"
2020년06월_여_연령구간인구수,"69,782","21,658","4,001","1,979","3,216","5,704",969,"2,239","4,587","2,833","4,027","1,344","1,302","9,264","6,659"
2020년06월_여_0~9세,"4,300","1,477",292,56,125,324,21,103,252,236,315,35,100,636,328
2020년06월_여_10~19세,"6,013","2,421",290,92,199,455,33,136,321,193,233,75,80,901,584
2020년06월_여_20~29세,"7,528","2,680",412,161,315,605,65,168,389,280,318,80,125,"1,126",804
2020년06월_여_30~39세,"6,668","2,179",488,132,242,540,42,125,361,351,428,43,144,948,645
2020년06월_여_40~49세,"9,679","3,728",502,209,328,781,90,202,540,245,372,112,118,"1,395","1,057"
2020년06월_여_50~59세,"13,289","4,220",745,460,733,"1,082",158,427,770,443,613,252,224,"1,757","1,405"
2020년06월_여_60~69세,"10,785","2,618",611,419,614,949,246,474,888,475,705,310,225,"1,266",985
2020년06월_여_70~79세,"6,723","1,390",374,264,338,556,202,367,590,358,607,269,157,758,493
2020년06월_여_80~89세,"4,008",774,243,162,260,339,101,206,388,224,346,146,111,394,314
2020년06월_여_90~99세,744,162,44,23,62,67,11,30,86,24,80,22,17,76,40
2020년06월_여_100세 이상,45,9,0,1,0,6,0,1,2,4,10,0,1,7,4
