카테고리,광주광역시 동구,광주광역시 동구 충장동,광주광역시 동구 동명동,광주광역시 동구 계림1동,광주광역시 동구 계림2동,광주광역시 동구 산수1동,광주광역시 동구 산수2동,광주광역시 동구 지산1동,광주광역시 동구 지산2동,광주광역시 동구 서남동,광주광역시 동구 학동,광주광역시 동구 학운동,광주광역시 동구 지원1동,광주광역시 동구 지원2동
2021년12월_계_총인구수,"103,470","4,642","3,890","11,009","9,818","8,579","10,501","4,249","4,567","3,056","7,724","11,445","7,833","16,157"
2021년12월_계_연령구간인구수,"103,470","4,642","3,890","11,009","9,818","8,579","10,501","4,249","4,567","3,056","7,724","11,445","7,833","16,157"
2021년12월_계_0~9세,"7,294",65,88,983,"1,061",499,604,168,186,78,725,567,517,"1,753"
2021년12월_계_10~19세,"7,263",133,184,604,836,636,792,325,350,132,542,904,646,"1,179"
2021년12월_계_20~29세,"14,859","1,270",829,"1,417","1,090","1,166","1,309",882,917,901,"1,022","1,266",891,"1,899"
2021년12월_계_30~39세,"13,419",658,462,"1,865","1,408","1,059","1,106",455,408,346,"1,021","1,031",953,"2,647"
2021년12월_계_40~49세,"14,115",490,476,"1,562","1,520","1,193","1,391",547,566,318,"1,092","1,408","1,074","2,478"
2021년12월_계_50~59세,"15,475",601,489,"1,696","1,282","1,438","1,728",611,728,379,"1,149","1,766","1,248","2,360"
2021년12월_계_60~69세,"15,134",736,565,"1,528","1,177","1,233","1,736",576,627,420,"1,043","2,044","1,309","2,140"
2021년12월_계_70~79세,"10,228",472,502,925,920,863,"1,183",417,474,306,753,"1,481",817,"1,115"
2021년12월_계_80~89세,"4,976",187,259,365,466,435,586,241,269,155,333,846,328,506
2021년12월_계_90~99세,688,29,36,62,56,54,64,27,41,19,44,128,50,78
2021년12월_계_100세 이상,19,1,0,2,2,3,2,0,1,2,0,4,0,2
2021년12월_남_총인구수,"51,046","2,362","1,965","5,725","4,774","4,300","5,100","2,146","2,333","1,632","3,673","5,394","3,793","7,849"
2021년12월_남_연령구간인구수,"51,046","2,362","1,965","5,725","4,774","4,300","5,100","2,146","2,333","1,632","3,673","5,394","3,793","7,849"
2021년12월_남_0~9세,"3,775",40,39,502,565,269,309,101,108,35,371,287,280,869
2021년12월_남_10~19세,"3,709",63,94,311,434,329,397,162,193,57,265,475,335,594
2021년12월_남_20~29세,"7,640",490,417,748,598,643,663,471,512,487,503,675,454,979
2021년12월_남_30~39세,"6,925",360,278,"1,014",700,538,566,265,224,201,472,521,474,"1,312"
2021년12월_남_40~49세,"7,394",306,259,854,746,652,732,295,294,196,565,661,569,"1,265"
2021년12월_남_50~59세,"7,666",353,253,923,622,719,845,299,371,223,561,828,586,"1,083"
2021년12월_남_60~69세,"7,112",395,275,775,526,593,788,273,298,211,469,893,595,"1,021"
2021년12월_남_70~79세,"4,550",258,208,438,372,374,519,181,198,143,320,645,370,524
2021년12월_남_80~89세,"2,074",87,131,146,192,168,259,94,120,72,132,363,120,190
2021년12월_남_90~99세,197,10,11,14,18,15,22,5,15,6,15,44,10,12
2021년12월_남_100세 이상,4,0,0,0,1,0,0,0,0,1,0,2,0,0
2021년12월_여_총인구수,"52,424","2,280","1,925","5,284","5,044","4,279","5,401","2,103","2,234","1,424","4,051","6,051","4,040","8,308"
2021년12월_여_연령구간인구수,"52,424","2,280","1,925","5,284","5,044","4,279","5,401","2,103","2,234","1,424","4,051","6,051","4,040","8,308"
2021년12월_여_0~9세,"3,519",25,49,481,496,230,295,67,78,43,354,280,237,884
2021년12월_여_10~19세,"3,554",70,90,293,402,307,395,163,157,75,277,429,311,585
2021년12월_여_20~29세,"7,219",780,412,669,492,523,646,411,405,414,519,591,437,920
2021년12월_여_30~39세,"6,494",298,184,851,708,521,540,190,184,145,549,510,479,"1,335"
2021년12월_여_40~49세,"6,721",184,217,708,774,541,659,252,272,122,527,747,505,"1,213"
2021년12월_여_50~59세,"7,809",248,236,773,660,719,883,312,357,156,588,938,662,"1,277"
2021년12월_여_60~69세,"8,022",341,290,753,651,640,948,303,329,209,574,"1,151",714,"1,119"
2021년12월_여_70~79세,"5,678",214,294,487,548,489,664,236,276,163,433,836,447,591
2021년12월_여_80~89세,"2,902",100,128,219,274,267,327,147,149,83,201,483,208,316
2021년12월_여_90~99세,491,19,25,48,38,39,42,22,26,13,29,84,40,66
2021년12월_여_100세 이상,15,1,0,2,1,3,2,0,1,1,0,2,0,2
