카테고리,대구광역시 달성군,대구광역시 달성군 화원읍,대구광역시 달성군 논공읍,대구광역시 달성군 논공읍공단출장소,대구광역시 달성군 다사읍,대구광역시 달성군 다사읍서재출장소,대구광역시 달성군 유가읍,대구광역시 달성군 옥포읍,대구광역시 달성군 현풍읍,대구광역시 달성군 가창면,대구광역시 달성군 하빈면,대구광역시 달성군 구지면
2020년04월_계_총인구수,"256,925","48,921","4,536","14,140","51,257","38,718","29,931","24,662","23,529","8,044","3,726","9,461"
2020년04월_계_연령구간인구수,"256,925","48,921","4,536","14,140","51,257","38,718","29,931","24,662","23,529","8,044","3,726","9,461"
2020년04월_계_0~9세,"29,963","3,516",247,923,"6,279","6,459","5,548","2,635","2,594",432,115,"1,215"
2020년04월_계_10~19세,"23,545","4,756",181,"1,583","5,818","3,387","3,261","1,689","1,708",512,124,526
2020년04월_계_20~29세,"29,179","6,545",470,"1,953","5,906","3,997","2,500","2,690","3,197",701,311,909
2020년04월_계_30~39세,"42,462","5,440",554,"1,467","7,742","8,980","6,702","4,023","4,627",698,271,"1,958"
2020년04월_계_40~49세,"42,677","7,438",560,"2,731","9,513","6,790","5,733","3,471","3,670",988,344,"1,439"
2020년04월_계_50~59세,"40,600","9,926",917,"3,025","7,927","4,922","2,886","4,300","3,248","1,383",857,"1,209"
2020년04월_계_60~69세,"28,181","6,683",842,"1,440","4,913","2,775","2,082","3,478","2,476","1,621",827,"1,044"
2020년04월_계_70~79세,"13,488","3,189",477,644,"2,222","1,038",804,"1,620","1,323",992,509,670
2020년04월_계_80~89세,"6,069","1,255",254,336,835,325,364,688,613,613,340,446
2020년04월_계_90~99세,733,163,33,35,102,43,48,68,70,100,27,44
2020년04월_계_100세 이상,28,10,1,3,0,2,3,0,3,4,1,1
2020년04월_남_총인구수,"130,523","24,425","2,475","7,456","25,425","19,785","15,093","12,491","12,279","4,005","2,009","5,080"
2020년04월_남_연령구간인구수,"130,523","24,425","2,475","7,456","25,425","19,785","15,093","12,491","12,279","4,005","2,009","5,080"
2020년04월_남_0~9세,"15,224","1,817",129,464,"3,136","3,291","2,840","1,365","1,311",211,55,605
2020년04월_남_10~19세,"12,331","2,457",92,833,"3,056","1,793","1,684",902,901,275,63,275
2020년04월_남_20~29세,"16,058","3,617",284,"1,162","3,151","2,104","1,313","1,471","1,825",407,193,531
2020년04월_남_30~39세,"22,130","2,846",339,784,"3,815","4,613","3,320","2,116","2,626",353,162,"1,156"
2020년04월_남_40~49세,"22,277","3,591",352,"1,460","4,758","3,627","3,014","1,825","2,018",532,221,879
2020년04월_남_50~59세,"20,265","4,808",514,"1,649","3,788","2,407","1,421","2,122","1,643",732,497,684
2020년04월_남_60~69세,"14,002","3,346",469,751,"2,335","1,367","1,011","1,721","1,209",796,479,518
2020년04월_남_70~79세,"6,101","1,433",207,249,"1,054",487,371,746,551,475,235,293
2020년04월_남_80~89세,"1,978",462,83,100,311,90,104,210,182,201,101,134
2020년04월_남_90~99세,149,43,6,4,21,6,14,13,12,22,3,5
2020년04월_남_100세 이상,8,5,0,0,0,0,1,0,1,1,0,0
2020년04월_여_총인구수,"126,402","24,496","2,061","6,684","25,832","18,933","14,838","12,171","11,250","4,039","1,717","4,381"
2020년04월_여_연령구간인구수,"126,402","24,496","2,061","6,684","25,832","18,933","14,838","12,171","11,250","4,039","1,717","4,381"
2020년04월_여_0~9세,"14,739","1,699",118,459,"3,143","3,168","2,708","1,270","1,283",221,60,610
2020년04월_여_10~19세,"11,214","2,299",89,750,"2,762","1,594","1,577",787,807,237,61,251
2020년04월_여_20~29세,"13,121","2,928",186,791,"2,755","1,893","1,187","1,219","1,372",294,118,378
2020년04월_여_30~39세,"20,332","2,594",215,683,"3,927","4,367","3,382","1,907","2,001",345,109,802
2020년04월_여_40~49세,"20,400","3,847",208,"1,271","4,755","3,163","2,719","1,646","1,652",456,123,560
2020년04월_여_50~59세,"20,335","5,118",403,"1,376","4,139","2,515","1,465","2,178","1,605",651,360,525
2020년04월_여_60~69세,"14,179","3,337",373,689,"2,578","1,408","1,071","1,757","1,267",825,348,526
2020년04월_여_70~79세,"7,387","1,756",270,395,"1,168",551,433,874,772,517,274,377
2020년04월_여_80~89세,"4,091",793,171,236,524,235,260,478,431,412,239,312
2020년04월_여_90~99세,584,120,27,31,81,37,34,55,58,78,24,39
2020년04월_여_100세 이상,20,5,1,3,0,2,2,0,2,3,1,1
