카테고리,대전광역시 대덕구,대전광역시 대덕구 오정동,대전광역시 대덕구 대화동,대전광역시 대덕구 회덕동,대전광역시 대덕구 비래동,대전광역시 대덕구 송촌동,대전광역시 대덕구 중리동,대전광역시 대덕구 신탄진동,대전광역시 대덕구 석봉동,대전광역시 대덕구 덕암동,대전광역시 대덕구 목상동,대전광역시 대덕구 법1동,대전광역시 대덕구 법2동
2020년02월_계_총인구수,"176,164","15,180","7,490","13,972","16,979","28,717","20,061","11,342","14,377","14,118","6,875","9,946","17,107"
2020년02월_계_연령구간인구수,"176,164","15,180","7,490","13,972","16,979","28,717","20,061","11,342","14,377","14,118","6,875","9,946","17,107"
2020년02월_계_0~9세,"11,652",762,337,821,"1,064","2,244","1,108",591,"1,783",866,545,483,"1,048"
2020년02월_계_10~19세,"17,493","1,068",544,"1,136","1,790","4,148","1,742",965,"1,323","1,389",675,892,"1,821"
2020년02월_계_20~29세,"24,723","2,388",857,"1,699","2,377","4,244","3,052","1,530","1,769","2,047","1,079","1,309","2,372"
2020년02월_계_30~39세,"20,053","1,653",889,"1,398","1,801","2,954","2,350","1,184","2,438","1,693","1,082",951,"1,660"
2020년02월_계_40~49세,"28,275","2,095","1,191","2,035","2,723","5,437","3,293","1,659","2,346","2,308","1,223","1,376","2,589"
2020년02월_계_50~59세,"33,583","2,948","1,409","2,743","3,219","5,545","3,802","2,232","2,334","2,684","1,177","1,966","3,524"
2020년02월_계_60~69세,"22,961","2,488","1,284","2,273","2,302","2,399","2,784","1,712","1,431","1,691",650,"1,551","2,396"
2020년02월_계_70~79세,"11,671","1,254",678,"1,218","1,157","1,130","1,375",967,614,958,290,923,"1,107"
2020년02월_계_80~89세,"5,089",449,260,577,493,549,495,437,308,426,130,450,515
2020년02월_계_90~99세,633,70,39,66,49,64,59,60,30,54,23,44,75
2020년02월_계_100세 이상,31,5,2,6,4,3,1,5,1,2,1,1,0
2020년02월_남_총인구수,"89,594","8,028","3,964","7,116","8,459","14,213","10,431","5,802","7,362","7,467","3,748","4,701","8,303"
2020년02월_남_연령구간인구수,"89,594","8,028","3,964","7,116","8,459","14,213","10,431","5,802","7,362","7,467","3,748","4,701","8,303"
2020년02월_남_0~9세,"5,917",392,184,393,528,"1,135",574,278,922,460,279,250,522
2020년02월_남_10~19세,"9,130",578,296,593,945,"2,124",906,529,685,724,342,451,957
2020년02월_남_20~29세,"13,701","1,311",498,962,"1,288","2,269","1,708",851,982,"1,197",634,721,"1,280"
2020년02월_남_30~39세,"10,832",934,483,742,962,"1,458","1,358",667,"1,256",961,650,495,866
2020년02월_남_40~49세,"14,413","1,206",682,"1,086","1,361","2,473","1,756",884,"1,221","1,241",674,658,"1,171"
2020년02월_남_50~59세,"17,106","1,546",762,"1,397","1,579","2,847","1,943","1,161","1,169","1,450",645,948,"1,659"
2020년02월_남_60~69세,"11,368","1,280",671,"1,147","1,079","1,206","1,338",836,726,835,348,704,"1,198"
2020년02월_남_70~79세,"5,195",594,293,561,518,486,640,437,281,429,130,347,479
2020년02월_남_80~89세,"1,803",175,92,214,184,202,196,153,115,159,41,115,157
2020년02월_남_90~99세,122,10,3,17,14,13,12,6,5,11,5,12,14
2020년02월_남_100세 이상,7,2,0,4,1,0,0,0,0,0,0,0,0
2020년02월_여_총인구수,"86,570","7,152","3,526","6,856","8,520","14,504","9,630","5,540","7,015","6,651","3,127","5,245","8,804"
2020년02월_여_연령구간인구수,"86,570","7,152","3,526","6,856","8,520","14,504","9,630","5,540","7,015","6,651","3,127","5,245","8,804"
2020년02월_여_0~9세,"5,735",370,153,428,536,"1,109",534,313,861,406,266,233,526
2020년02월_여_10~19세,"8,363",490,248,543,845,"2,024",836,436,638,665,333,441,864
2020년02월_여_20~29세,"11,022","1,077",359,737,"1,089","1,975","1,344",679,787,850,445,588,"1,092"
2020년02월_여_30~39세,"9,221",719,406,656,839,"1,496",992,517,"1,182",732,432,456,794
2020년02월_여_40~49세,"13,862",889,509,949,"1,362","2,964","1,537",775,"1,125","1,067",549,718,"1,418"
2020년02월_여_50~59세,"16,477","1,402",647,"1,346","1,640","2,698","1,859","1,071","1,165","1,234",532,"1,018","1,865"
2020년02월_여_60~69세,"11,593","1,208",613,"1,126","1,223","1,193","1,446",876,705,856,302,847,"1,198"
2020년02월_여_70~79세,"6,476",660,385,657,639,644,735,530,333,529,160,576,628
2020년02월_여_80~89세,"3,286",274,168,363,309,347,299,284,193,267,89,335,358
2020년02월_여_90~99세,511,60,36,49,35,51,47,54,25,43,18,32,61
2020년02월_여_100세 이상,24,3,2,2,3,3,1,5,1,2,1,1,0
