,전국,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도
2021년09월_계_총인구수,"51,667,688","9,542,256","3,358,763","2,392,787","2,941,795","1,442,827","1,455,058","1,123,236","366,560","13,542,284","1,536,765","1,596,765","2,118,098","1,791,110","1,835,690","2,628,344","3,319,271","676,079"
2021년09월_계_연령구간인구수,"51,667,688","9,542,256","3,358,763","2,392,787","2,941,795","1,442,827","1,455,058","1,123,236","366,560","13,542,284","1,536,765","1,596,765","2,118,098","1,791,110","1,835,690","2,628,344","3,319,271","676,079"
2021년09월_계_0~9세,"3,809,849","593,167","222,742","170,270","219,612","115,090","108,994","93,408","46,960","1,111,291","102,024","118,430","165,314","121,707","125,935","181,187","254,979","58,739"
2021년09월_계_10~19세,"4,727,626","761,868","267,044","219,795","271,502","153,327","143,141","110,255","44,826","1,325,381","134,545","146,872","201,008","171,106","163,747","222,671","320,218","70,320"
2021년09월_계_20~29세,"6,708,734","1,436,423","420,631","313,516","392,901","207,931","211,021","139,144","38,131","1,808,560","175,972","195,670","239,126","208,407","194,942","277,982","366,966","81,411"
2021년09월_계_30~39세,"6,745,531","1,444,106","408,295","286,608","401,098","182,107","190,288","146,202","61,187","1,899,120","162,827","191,514","260,929","183,643","179,879","281,964","384,588","81,176"
2021년09월_계_40~49세,"8,182,067","1,490,032","503,507","374,414","480,375","236,716","232,111","184,256","71,533","2,294,174","219,798","237,294","325,499","261,232","253,304","377,596","528,767","111,459"
2021년09월_계_50~59세,"8,610,979","1,506,315","555,964","419,587","509,323","234,723","239,841","206,803","47,566","2,260,916","264,279","270,258","338,834","298,271","312,093","454,112","577,705","114,389"
2021년09월_계_60~69세,"7,097,818","1,280,475","546,976","340,112","393,500","170,513","188,867","153,994","32,942","1,646,357","256,747","238,847","296,974","266,473","282,701","429,611","489,069","83,660"
2021년09월_계_70~79세,"3,705,737","696,015","296,080","176,747","178,622","94,232","91,998","62,185","14,652","771,593","133,190","119,718","171,751","170,869","191,055","242,890","248,498","45,642"
2021년09월_계_80~89세,"1,808,689","290,067","121,655","81,471","81,545","41,926","42,541","23,734","7,442","368,251","75,428","68,404","103,055","94,400","114,399","139,808","129,637","24,926"
2021년09월_계_90~99세,"259,635","41,236","15,114","9,884","12,758","6,024","6,044","3,169","1,283","54,291","11,488","9,438","15,088","14,476","17,021","19,854","18,324","4,143"
2021년09월_계_100세 이상,"11,023","2,552",755,383,559,238,212,86,38,"2,350",467,320,520,526,614,669,520,214
2021년09월_남_총인구수,"25,763,891","4,636,069","1,643,690","1,179,640","1,472,963","713,666","726,142","577,093","183,044","6,816,449","773,495","809,981","1,082,596","891,073","923,651","1,324,322","1,671,042","338,975"
2021년09월_남_연령구간인구수,"25,763,891","4,636,069","1,643,690","1,179,640","1,472,963","713,666","726,142","577,093","183,044","6,816,449","773,495","809,981","1,082,596","891,073","923,651","1,324,322","1,671,042","338,975"
2021년09월_남_0~9세,"1,952,938","304,536","114,306","87,195","112,637","59,052","56,030","47,994","23,953","568,695","52,156","60,563","84,617","62,459","64,175","93,288","131,099","30,183"
2021년09월_남_10~19세,"2,441,887","390,354","137,532","114,664","139,560","79,339","74,004","57,921","22,595","681,172","69,904","76,231","104,332","88,628","84,813","116,928","167,120","36,790"
2021년09월_남_20~29세,"3,520,374","692,283","218,348","166,989","204,811","108,478","110,691","78,470","19,501","953,209","99,074","108,903","132,241","112,763","109,209","157,481","204,838","43,085"
2021년09월_남_30~39세,"3,481,404","721,531","209,255","150,044","207,628","93,220","99,568","77,768","29,846","981,765","85,746","102,092","140,621","94,785","94,650","150,738","201,297","40,850"
2021년09월_남_40~49세,"4,158,950","738,346","254,028","184,828","246,002","117,564","115,730","94,168","36,286","1,167,209","112,662","122,946","173,549","134,343","135,195","196,772","272,176","57,146"
2021년09월_남_50~59세,"4,353,319","742,021","270,698","205,568","254,465","116,515","119,771","104,989","24,873","1,145,469","136,369","139,155","179,653","154,994","168,116","235,494","295,719","59,450"
2021년09월_남_60~69세,"3,476,358","604,869","258,263","161,876","194,855","81,341","91,605","77,546","16,368","819,154","128,106","119,965","149,145","131,806","142,820","214,051","243,073","41,515"
2021년09월_남_70~79세,"1,676,474","316,961","133,743","77,475","81,792","41,816","41,902","29,665","6,807","351,452","59,907","54,346","78,628","76,073","84,828","109,251","111,004","20,824"
2021년09월_남_80~89세,"642,464","114,123","44,150","28,806","28,388","15,005","15,414","8,026","2,544","134,974","26,929","23,653","36,197","31,960","36,416","46,206","41,196","8,477"
2021년09월_남_90~99세,"57,464","10,415","3,221","2,126","2,697","1,306","1,387",535,262,"12,786","2,531","2,060","3,523","3,176","3,358","4,015","3,424",642
2021년09월_남_100세 이상,"2,259",630,146,69,128,30,40,11,9,564,111,67,90,86,71,98,96,13
2021년09월_여_총인구수,"25,903,797","4,906,187","1,715,073","1,213,147","1,468,832","729,161","728,916","546,143","183,516","6,725,835","763,270","786,784","1,035,502","900,037","912,039","1,304,022","1,648,229","337,104"
2021년09월_여_연령구간인구수,"25,903,797","4,906,187","1,715,073","1,213,147","1,468,832","729,161","728,916","546,143","183,516","6,725,835","763,270","786,784","1,035,502","900,037","912,039","1,304,022","1,648,229","337,104"
2021년09월_여_0~9세,"1,856,911","288,631","108,436","83,075","106,975","56,038","52,964","45,414","23,007","542,596","49,868","57,867","80,697","59,248","61,760","87,899","123,880","28,556"
2021년09월_여_10~19세,"2,285,739","371,514","129,512","105,131","131,942","73,988","69,137","52,334","22,231","644,209","64,641","70,641","96,676","82,478","78,934","105,743","153,098","33,530"
2021년09월_여_20~29세,"3,188,360","744,140","202,283","146,527","188,090","99,453","100,330","60,674","18,630","855,351","76,898","86,767","106,885","95,644","85,733","120,501","162,128","38,326"
2021년09월_여_30~39세,"3,264,127","722,575","199,040","136,564","193,470","88,887","90,720","68,434","31,341","917,355","77,081","89,422","120,308","88,858","85,229","131,226","183,291","40,326"
2021년09월_여_40~49세,"4,023,117","751,686","249,479","189,586","234,373","119,152","116,381","90,088","35,247","1,126,965","107,136","114,348","151,950","126,889","118,109","180,824","256,591","54,313"
2021년09월_여_50~59세,"4,257,660","764,294","285,266","214,019","254,858","118,208","120,070","101,814","22,693","1,115,447","127,910","131,103","159,181","143,277","143,977","218,618","281,986","54,939"
2021년09월_여_60~69세,"3,621,460","675,606","288,713","178,236","198,645","89,172","97,262","76,448","16,574","827,203","128,641","118,882","147,829","134,667","139,881","215,560","245,996","42,145"
2021년09월_여_70~79세,"2,029,263","379,054","162,337","99,272","96,830","52,416","50,096","32,520","7,845","420,141","73,283","65,372","93,123","94,796","106,227","133,639","137,494","24,818"
2021년09월_여_80~89세,"1,166,225","175,944","77,505","52,665","53,157","26,921","27,127","15,708","4,898","233,277","48,499","44,751","66,858","62,440","77,983","93,602","88,441","16,449"
2021년09월_여_90~99세,"202,171","30,821","11,893","7,758","10,061","4,718","4,657","2,634","1,021","41,505","8,957","7,378","11,565","11,300","13,663","15,839","14,900","3,501"
2021년09월_여_100세 이상,"8,764","1,922",609,314,431,208,172,75,29,"1,786",356,253,430,440,543,571,424,201
