카테고리,울산광역시 중구,울산광역시 중구 학성동,울산광역시 중구 반구1동,울산광역시 중구 반구2동,울산광역시 중구 복산1동,울산광역시 중구 복산2동,울산광역시 중구 중앙동,울산광역시 중구 우정동,울산광역시 중구 태화동,울산광역시 중구 다운동,울산광역시 중구 병영1동,울산광역시 중구 병영2동,울산광역시 중구 약사동,울산광역시 중구 성안동
2020년11월_계_총인구수,"218,096","10,388","17,354","8,899","4,830","11,375","13,409","19,454","33,869","23,252","22,590","20,517","10,996","21,163"
2020년11월_계_연령구간인구수,"218,096","10,388","17,354","8,899","4,830","11,375","13,409","19,454","33,869","23,252","22,590","20,517","10,996","21,163"
2020년11월_계_0~9세,"16,705",459,"1,383",418,232,930,461,"1,358","3,485","1,105","1,484","2,033","1,322","2,035"
2020년11월_계_10~19세,"20,195",647,"1,322",605,322,"1,120",672,"1,604","3,666","2,110","2,342","1,925","1,295","2,565"
2020년11월_계_20~29세,"27,045","1,103","2,176","1,346",590,"1,510","1,605","2,384","3,934","3,252","2,993","2,293","1,367","2,492"
2020년11월_계_30~39세,"26,495","1,076","2,469","1,035",518,"1,626","1,343","2,425","4,396","2,092","2,314","2,840","1,688","2,673"
2020년11월_계_40~49세,"34,404","1,408","2,648","1,163",570,"1,792","1,653","2,859","5,988","3,489","3,372","3,378","1,840","4,244"
2020년11월_계_50~59세,"41,551","1,939","3,471","1,792",986,"2,077","2,638","3,603","5,893","5,094","4,791","3,717","1,975","3,575"
2020년11월_계_60~69세,"31,679","2,030","2,517","1,503",961,"1,405","2,854","3,121","4,233","3,593","3,413","2,822","1,004","2,223"
2020년11월_계_70~79세,"14,202","1,236",984,758,471,640,"1,514","1,440","1,648","1,757","1,372","1,061",360,961
2020년11월_계_80~89세,"5,145",430,338,247,154,236,582,602,545,696,448,406,126,335
2020년11월_계_90~99세,618,55,44,30,19,36,64,56,80,61,57,40,18,58
2020년11월_계_100세 이상,57,5,2,2,7,3,23,2,1,3,4,2,1,2
2020년11월_남_총인구수,"110,500","5,298","9,038","4,520","2,421","5,664","6,912","9,745","16,924","11,796","11,439","10,402","5,536","10,805"
2020년11월_남_연령구간인구수,"110,500","5,298","9,038","4,520","2,421","5,664","6,912","9,745","16,924","11,796","11,439","10,402","5,536","10,805"
2020년11월_남_0~9세,"8,620",231,713,231,136,450,241,728,"1,845",538,746,"1,031",679,"1,051"
2020년11월_남_10~19세,"10,789",336,688,318,165,606,353,859,"1,945","1,173","1,274","1,032",681,"1,359"
2020년11월_남_20~29세,"15,078",632,"1,211",725,319,817,898,"1,322","2,250","1,843","1,693","1,276",731,"1,361"
2020년11월_남_30~39세,"13,892",613,"1,360",577,302,874,811,"1,244","2,126","1,146","1,200","1,460",814,"1,365"
2020년11월_남_40~49세,"17,512",801,"1,426",599,297,871,921,"1,446","2,948","1,728","1,648","1,771",889,"2,167"
2020년11월_남_50~59세,"20,715","1,023","1,784",891,469,999,"1,344","1,796","2,775","2,559","2,382","1,814","1,018","1,861"
2020년11월_남_60~69세,"15,450",959,"1,242",717,461,663,"1,449","1,500","2,056","1,773","1,661","1,390",510,"1,069"
2020년11월_남_70~79세,"6,531",539,484,369,205,304,657,618,788,799,655,489,161,463
2020년11월_남_80~89세,"1,796",157,123,88,57,73,219,217,181,223,173,133,49,103
2020년11월_남_90~99세,105,6,7,5,6,7,15,15,10,13,7,5,4,5
2020년11월_남_100세 이상,12,1,0,0,4,0,4,0,0,1,0,1,0,1
2020년11월_여_총인구수,"107,596","5,090","8,316","4,379","2,409","5,711","6,497","9,709","16,945","11,456","11,151","10,115","5,460","10,358"
2020년11월_여_연령구간인구수,"107,596","5,090","8,316","4,379","2,409","5,711","6,497","9,709","16,945","11,456","11,151","10,115","5,460","10,358"
2020년11월_여_0~9세,"8,085",228,670,187,96,480,220,630,"1,640",567,738,"1,002",643,984
2020년11월_여_10~19세,"9,406",311,634,287,157,514,319,745,"1,721",937,"1,068",893,614,"1,206"
2020년11월_여_20~29세,"11,967",471,965,621,271,693,707,"1,062","1,684","1,409","1,300","1,017",636,"1,131"
2020년11월_여_30~39세,"12,603",463,"1,109",458,216,752,532,"1,181","2,270",946,"1,114","1,380",874,"1,308"
2020년11월_여_40~49세,"16,892",607,"1,222",564,273,921,732,"1,413","3,040","1,761","1,724","1,607",951,"2,077"
2020년11월_여_50~59세,"20,836",916,"1,687",901,517,"1,078","1,294","1,807","3,118","2,535","2,409","1,903",957,"1,714"
2020년11월_여_60~69세,"16,229","1,071","1,275",786,500,742,"1,405","1,621","2,177","1,820","1,752","1,432",494,"1,154"
2020년11월_여_70~79세,"7,671",697,500,389,266,336,857,822,860,958,717,572,199,498
2020년11월_여_80~89세,"3,349",273,215,159,97,163,363,385,364,473,275,273,77,232
2020년11월_여_90~99세,513,49,37,25,13,29,49,41,70,48,50,35,14,53
2020년11월_여_100세 이상,45,4,2,2,3,3,19,2,1,2,4,1,1,1
