카테고리,부산광역시 사상구,부산광역시 사상구 삼락동,부산광역시 사상구 모라제1동,부산광역시 사상구 모라제3동,부산광역시 사상구 덕포제1동,부산광역시 사상구 덕포제2동,부산광역시 사상구 괘법동,부산광역시 사상구 감전동,부산광역시 사상구 주례제1동,부산광역시 사상구 주례제2동,부산광역시 사상구 주례제3동,부산광역시 사상구 학장동,부산광역시 사상구 엄궁동
2020년04월_계_총인구수,"216,507","6,154","28,657","11,355","9,153","13,501","21,810","14,105","15,919","23,704","13,602","29,817","28,730"
2020년04월_계_연령구간인구수,"216,507","6,154","28,657","11,355","9,153","13,501","21,810","14,105","15,919","23,704","13,602","29,817","28,730"
2020년04월_계_0~9세,"13,331",234,"1,695",337,562,801,"1,137",579,979,"1,618",800,"2,119","2,470"
2020년04월_계_10~19세,"15,817",330,"2,055",545,685,982,"1,105",769,"1,210","1,904","1,090","2,391","2,751"
2020년04월_계_20~29세,"29,629",682,"3,778",948,"1,112","1,808","3,904","1,799","2,266","4,051","1,878","3,616","3,787"
2020년04월_계_30~39세,"26,443",622,"3,453",907,"1,068","1,565","3,163","1,652","1,909","3,156","1,591","3,734","3,623"
2020년04월_계_40~49세,"30,266",770,"3,838","1,389","1,293","1,747","2,726","1,877","2,098","3,489","1,850","4,452","4,737"
2020년04월_계_50~59세,"42,571","1,380","5,770","2,292","1,888","2,896","4,340","2,981","3,286","4,033","2,541","5,613","5,551"
2020년04월_계_60~69세,"35,467","1,208","4,986","2,483","1,448","2,338","3,476","2,652","2,628","3,221","2,312","4,938","3,777"
2020년04월_계_70~79세,"16,624",685,"2,257","1,662",794,999,"1,475","1,327","1,125","1,604","1,074","2,147","1,475"
2020년04월_계_80~89세,"5,647",216,735,718,269,318,420,412,370,559,422,714,494
2020년04월_계_90~99세,645,22,74,72,30,45,50,49,46,63,44,87,63
2020년04월_계_100세 이상,67,5,16,2,4,2,14,8,2,6,0,6,2
2020년04월_남_총인구수,"109,497","3,308","14,421","5,406","4,687","6,860","11,296","7,476","8,162","11,878","6,689","14,907","14,407"
2020년04월_남_연령구간인구수,"109,497","3,308","14,421","5,406","4,687","6,860","11,296","7,476","8,162","11,878","6,689","14,907","14,407"
2020년04월_남_0~9세,"6,775",126,836,164,281,412,573,299,497,807,412,"1,096","1,272"
2020년04월_남_10~19세,"8,273",179,"1,080",300,360,509,587,415,628,968,567,"1,263","1,417"
2020년04월_남_20~29세,"15,918",388,"2,080",542,647,973,"1,943",983,"1,258","2,084",988,"1,969","2,063"
2020년04월_남_30~39세,"14,169",349,"1,864",504,569,833,"1,742",962,"1,021","1,672",865,"1,944","1,844"
2020년04월_남_40~49세,"15,786",453,"1,983",802,683,915,"1,484","1,066","1,064","1,832",915,"2,268","2,321"
2020년04월_남_50~59세,"21,232",777,"2,780","1,194","1,010","1,412","2,260","1,601","1,624","1,930","1,172","2,725","2,747"
2020년04월_남_60~69세,"17,669",646,"2,458","1,091",690,"1,200","1,826","1,371","1,372","1,610","1,110","2,419","1,876"
2020년04월_남_70~79세,"7,724",316,"1,076",617,355,495,718,620,565,778,501,972,711
2020년04월_남_80~89세,"1,842",70,250,182,86,106,158,149,127,187,152,230,145
2020년04월_남_90~99세,101,4,14,9,5,4,4,8,5,10,7,20,11
2020년04월_남_100세 이상,8,0,0,1,1,1,1,2,1,0,0,1,0
2020년04월_여_총인구수,"107,010","2,846","14,236","5,949","4,466","6,641","10,514","6,629","7,757","11,826","6,913","14,910","14,323"
2020년04월_여_연령구간인구수,"107,010","2,846","14,236","5,949","4,466","6,641","10,514","6,629","7,757","11,826","6,913","14,910","14,323"
2020년04월_여_0~9세,"6,556",108,859,173,281,389,564,280,482,811,388,"1,023","1,198"
2020년04월_여_10~19세,"7,544",151,975,245,325,473,518,354,582,936,523,"1,128","1,334"
2020년04월_여_20~29세,"13,711",294,"1,698",406,465,835,"1,961",816,"1,008","1,967",890,"1,647","1,724"
2020년04월_여_30~39세,"12,274",273,"1,589",403,499,732,"1,421",690,888,"1,484",726,"1,790","1,779"
2020년04월_여_40~49세,"14,480",317,"1,855",587,610,832,"1,242",811,"1,034","1,657",935,"2,184","2,416"
2020년04월_여_50~59세,"21,339",603,"2,990","1,098",878,"1,484","2,080","1,380","1,662","2,103","1,369","2,888","2,804"
2020년04월_여_60~69세,"17,798",562,"2,528","1,392",758,"1,138","1,650","1,281","1,256","1,611","1,202","2,519","1,901"
2020년04월_여_70~79세,"8,900",369,"1,181","1,045",439,504,757,707,560,826,573,"1,175",764
2020년04월_여_80~89세,"3,805",146,485,536,183,212,262,263,243,372,270,484,349
2020년04월_여_90~99세,544,18,60,63,25,41,46,41,41,53,37,67,52
2020년04월_여_100세 이상,59,5,16,1,3,1,13,6,1,6,0,5,2
