,전라북도 남원시,전라북도 남원시 운봉읍,전라북도 남원시 주천면,전라북도 남원시 수지면,전라북도 남원시 송동면,전라북도 남원시 주생면,전라북도 남원시 금지면,전라북도 남원시 대강면,전라북도 남원시 대산면,전라북도 남원시 사매면,전라북도 남원시 덕과면,전라북도 남원시 보절면,전라북도 남원시 산동면,전라북도 남원시 이백면,전라북도 남원시 아영면,전라북도 남원시 산내면,전라북도 남원시 인월면,전라북도 남원시 동충동,전라북도 남원시 죽항동,전라북도 남원시 노암동,전라북도 남원시 금동,전라북도 남원시 왕정동,전라북도 남원시 향교동,전라북도 남원시 도통동
2021년06월_계_총인구수,"80,032","3,840","2,623","1,120","2,031","1,803","2,299","1,612","1,658","1,484",953,"1,483","1,840","2,285","1,867","2,102","2,724","3,423","3,335","6,175","6,632","4,199","7,074","17,470"
2021년06월_계_연령구간인구수,"80,032","3,840","2,623","1,120","2,031","1,803","2,299","1,612","1,658","1,484",953,"1,483","1,840","2,285","1,867","2,102","2,724","3,423","3,335","6,175","6,632","4,199","7,074","17,470"
2021년06월_계_0~9세,"4,799",166,94,44,59,58,65,43,68,52,27,52,62,95,88,79,112,173,178,564,535,209,396,"1,580"
2021년06월_계_10~19세,"7,144",202,161,56,107,97,118,72,87,63,35,64,79,148,112,180,193,334,235,611,763,329,598,"2,500"
2021년06월_계_20~29세,"7,493",261,231,62,148,110,121,77,92,99,56,94,125,180,91,142,168,368,357,685,612,485,758,"2,171"
2021년06월_계_30~39세,"6,224",210,152,55,107,79,107,65,89,73,53,55,87,127,92,88,146,274,276,680,612,396,582,"1,819"
2021년06월_계_40~49세,"10,419",339,265,110,156,159,219,130,148,106,66,128,159,214,163,243,284,435,443,948,"1,081",499,973,"3,151"
2021년06월_계_50~59세,"13,526",682,486,173,372,303,348,230,274,253,161,221,324,407,311,504,515,587,524,983,"1,013",682,"1,271","2,902"
2021년06월_계_60~69세,"13,386",815,561,232,438,372,506,362,374,279,226,279,361,448,394,362,612,558,573,835,985,748,"1,175","1,891"
2021년06월_계_70~79세,"9,730",624,385,187,316,329,446,302,270,289,184,297,339,335,350,286,423,426,486,557,669,531,783,916
2021년06월_계_80~89세,"6,291",466,240,170,277,256,322,279,213,242,127,256,267,275,229,199,230,238,219,277,316,267,462,464
2021년06월_계_90~99세,988,75,44,31,49,40,46,50,43,28,18,36,35,55,34,19,38,30,42,34,46,48,74,73
2021년06월_계_100세 이상,32,0,4,0,2,0,1,2,0,0,0,1,2,1,3,0,3,0,2,1,0,5,2,3
2021년06월_남_총인구수,"39,277","1,844","1,337",554,"1,003",890,"1,094",772,842,766,495,748,913,"1,132",917,"1,037","1,330","1,631","1,574","2,981","3,208","2,048","3,582","8,579"
