,광주광역시 동구,광주광역시 동구 충장동,광주광역시 동구 동명동,광주광역시 동구 계림1동,광주광역시 동구 계림2동,광주광역시 동구 산수1동,광주광역시 동구 산수2동,광주광역시 동구 지산1동,광주광역시 동구 지산2동,광주광역시 동구 서남동,광주광역시 동구 학동,광주광역시 동구 학운동,광주광역시 동구 지원1동,광주광역시 동구 지원2동
2020년05월_계_총인구수,"99,158","4,547","3,754","5,995","8,099","8,975","10,570","4,388","4,828","3,189","8,375","12,136","8,166","16,136"
2020년05월_계_연령구간인구수,"99,158","4,547","3,754","5,995","8,099","8,975","10,570","4,388","4,828","3,189","8,375","12,136","8,166","16,136"
2020년05월_계_0~9세,"6,661",73,121,181,751,575,622,219,228,88,797,679,549,"1,778"
2020년05월_계_10~19세,"7,292",155,221,264,756,688,862,332,415,138,582,997,680,"1,202"
2020년05월_계_20~29세,"14,096","1,006",636,781,973,"1,201","1,384",802,900,783,"1,161","1,462",983,"2,024"
2020년05월_계_30~39세,"12,510",605,364,654,952,"1,177","1,153",481,434,385,"1,217","1,144","1,080","2,864"
2020년05월_계_40~49세,"13,656",536,514,815,"1,226","1,318","1,384",616,651,350,"1,157","1,576","1,107","2,406"
2020년05월_계_50~59세,"15,454",690,520,"1,111","1,166","1,459","1,807",629,777,452,"1,268","1,883","1,353","2,339"
2020년05월_계_60~69세,"14,164",771,588,"1,110","1,009","1,185","1,620",606,631,465,"1,051","2,006","1,239","1,883"
2020년05월_계_70~79세,"10,095",490,503,716,855,909,"1,167",453,494,342,782,"1,509",817,"1,058"
2020년05월_계_80~89세,"4,538",185,248,319,364,403,512,212,259,164,314,766,307,485
2020년05월_계_90~99세,626,31,36,40,44,55,56,31,36,20,35,108,48,86
2020년05월_계_100세 이상,66,5,3,4,3,5,3,7,3,2,11,6,3,11
2020년05월_남_총인구수,"49,015","2,340","1,879","3,246","3,980","4,457","5,167","2,224","2,460","1,621","4,016","5,763","3,954","7,908"
2020년05월_남_연령구간인구수,"49,015","2,340","1,879","3,246","3,980","4,457","5,167","2,224","2,460","1,621","4,016","5,763","3,954","7,908"
2020년05월_남_0~9세,"3,459",37,61,90,408,295,313,135,127,45,422,340,293,893
2020년05월_남_10~19세,"3,792",68,117,143,404,358,444,179,233,63,275,525,346,637
2020년05월_남_20~29세,"7,237",401,328,442,538,622,709,422,511,389,559,777,502,"1,037"
2020년05월_남_30~39세,"6,511",353,206,374,473,627,597,268,225,220,601,581,549,"1,437"
2020년05월_남_40~49세,"7,154",330,267,500,595,709,721,321,348,211,606,749,577,"1,220"
2020년05월_남_50~59세,"7,625",391,272,645,578,741,851,328,382,238,620,872,624,"1,083"
2020년05월_남_60~69세,"6,682",401,285,576,457,557,761,273,293,225,471,891,577,915
2020년05월_남_70~79세,"4,474",268,207,329,355,380,523,198,217,147,334,656,368,492
2020년05월_남_80~89세,"1,896",82,126,135,157,154,228,91,112,76,119,335,106,175
2020년05월_남_90~99세,172,9,10,12,14,13,20,6,12,6,7,34,12,17
2020년05월_남_100세 이상,13,0,0,0,1,1,0,3,0,1,2,3,0,2
2020년05월_여_총인구수,"50,143","2,207","1,875","2,749","4,119","4,518","5,403","2,164","2,368","1,568","4,359","6,373","4,212","8,228"
2020년05월_여_연령구간인구수,"50,143","2,207","1,875","2,749","4,119","4,518","5,403","2,164","2,368","1,568","4,359","6,373","4,212","8,228"
2020년05월_여_0~9세,"3,202",36,60,91,343,280,309,84,101,43,375,339,256,885
2020년05월_여_10~19세,"3,500",87,104,121,352,330,418,153,182,75,307,472,334,565
2020년05월_여_20~29세,"6,859",605,308,339,435,579,675,380,389,394,602,685,481,987
2020년05월_여_30~39세,"5,999",252,158,280,479,550,556,213,209,165,616,563,531,"1,427"
2020년05월_여_40~49세,"6,502",206,247,315,631,609,663,295,303,139,551,827,530,"1,186"
2020년05월_여_50~59세,"7,829",299,248,466,588,718,956,301,395,214,648,"1,011",729,"1,256"
2020년05월_여_60~69세,"7,482",370,303,534,552,628,859,333,338,240,580,"1,115",662,968
2020년05월_여_70~79세,"5,621",222,296,387,500,529,644,255,277,195,448,853,449,566
2020년05월_여_80~89세,"2,642",103,122,184,207,249,284,121,147,88,195,431,201,310
2020년05월_여_90~99세,454,22,26,28,30,42,36,25,24,14,28,74,36,69
2020년05월_여_100세 이상,53,5,3,4,2,4,3,4,3,1,9,3,3,9
