카테고리,전라남도 광양시,전라남도 광양시 광양읍,전라남도 광양시 봉강면,전라남도 광양시 옥룡면,전라남도 광양시 옥곡면,전라남도 광양시 진상면,전라남도 광양시 진월면,전라남도 광양시 다압면,전라남도 광양시 골약동,전라남도 광양시 중마동,전라남도 광양시 광영동,전라남도 광양시 금호동,전라남도 광양시 태인동
2020년08월_계_총인구수,"151,122","48,948","2,150","3,064","2,812","2,861","2,814","1,806","1,674","58,240","12,533","12,383","1,837"
2020년08월_계_연령구간인구수,"151,122","48,948","2,150","3,064","2,812","2,861","2,814","1,806","1,674","58,240","12,533","12,383","1,837"
2020년08월_계_0~9세,"13,681","4,548",69,92,58,74,63,50,39,"6,715",994,918,61
2020년08월_계_10~19세,"16,091","5,193",140,134,115,127,90,94,63,"7,402","1,192","1,416",125
2020년08월_계_20~29세,"20,072","6,221",187,252,252,210,206,115,127,"8,321","1,727","2,251",203
2020년08월_계_30~39세,"18,733","6,082",136,163,168,160,168,100,128,"8,834","1,333","1,330",131
2020년08월_계_40~49세,"23,941","8,053",211,271,264,227,264,165,175,"10,652","1,999","1,450",210
2020년08월_계_50~59세,"28,815","8,497",438,667,578,558,513,353,320,"10,709","2,858","2,921",403
2020년08월_계_60~69세,"16,385","5,675",381,598,569,576,574,398,304,"3,737","1,579","1,663",331
2020년08월_계_70~79세,"8,035","2,877",312,489,455,506,537,298,282,"1,220",553,298,208
2020년08월_계_80~89세,"4,617","1,536",232,345,306,365,329,208,206,572,257,114,147
2020년08월_계_90~99세,730,256,43,51,46,57,68,24,29,75,41,22,18
2020년08월_계_100세 이상,22,10,1,2,1,1,2,1,1,3,0,0,0
2020년08월_남_총인구수,"78,726","25,056","1,115","1,509","1,428","1,432","1,388",905,916,"30,569","6,650","6,743","1,015"
2020년08월_남_연령구간인구수,"78,726","25,056","1,115","1,509","1,428","1,432","1,388",905,916,"30,569","6,650","6,743","1,015"
2020년08월_남_0~9세,"6,949","2,293",45,44,29,34,27,22,20,"3,398",522,482,33
2020년08월_남_10~19세,"8,337","2,732",83,67,59,73,50,52,35,"3,819",596,699,72
2020년08월_남_20~29세,"11,637","3,428",108,153,150,136,123,68,80,"4,741","1,023","1,493",134
2020년08월_남_30~39세,"10,014","3,108",81,87,98,89,97,56,78,"4,706",747,777,90
2020년08월_남_40~49세,"12,196","4,246",130,143,154,133,162,108,123,"5,243","1,053",566,135
2020년08월_남_50~59세,"15,835","4,511",255,390,318,324,302,194,209,"5,945","1,546","1,601",240
2020년08월_남_60~69세,"8,626","2,938",195,301,302,290,283,208,163,"2,007",840,920,179
2020년08월_남_70~79세,"3,551","1,273",132,208,198,218,228,115,130,527,256,174,92
2020년08월_남_80~89세,"1,446",475,73,105,112,127,107,78,73,171,61,26,38
2020년08월_남_90~99세,130,51,12,10,8,8,9,4,5,10,6,5,2
2020년08월_남_100세 이상,5,1,1,1,0,0,0,0,0,2,0,0,0
2020년08월_여_총인구수,"72,396","23,892","1,035","1,555","1,384","1,429","1,426",901,758,"27,671","5,883","5,640",822
2020년08월_여_연령구간인구수,"72,396","23,892","1,035","1,555","1,384","1,429","1,426",901,758,"27,671","5,883","5,640",822
2020년08월_여_0~9세,"6,732","2,255",24,48,29,40,36,28,19,"3,317",472,436,28
2020년08월_여_10~19세,"7,754","2,461",57,67,56,54,40,42,28,"3,583",596,717,53
2020년08월_여_20~29세,"8,435","2,793",79,99,102,74,83,47,47,"3,580",704,758,69
2020년08월_여_30~39세,"8,719","2,974",55,76,70,71,71,44,50,"4,128",586,553,41
2020년08월_여_40~49세,"11,745","3,807",81,128,110,94,102,57,52,"5,409",946,884,75
2020년08월_여_50~59세,"12,980","3,986",183,277,260,234,211,159,111,"4,764","1,312","1,320",163
2020년08월_여_60~69세,"7,759","2,737",186,297,267,286,291,190,141,"1,730",739,743,152
2020년08월_여_70~79세,"4,484","1,604",180,281,257,288,309,183,152,693,297,124,116
2020년08월_여_80~89세,"3,171","1,061",159,240,194,238,222,130,133,401,196,88,109
2020년08월_여_90~99세,600,205,31,41,38,49,59,20,24,65,35,17,16
2020년08월_여_100세 이상,17,9,0,1,1,1,2,1,1,1,0,0,0
