,서울특별시 구로구,서울특별시 구로구 신도림동,서울특별시 구로구 구로제1동,서울특별시 구로구 구로제2동,서울특별시 구로구 구로제3동,서울특별시 구로구 구로제4동,서울특별시 구로구 구로제5동,서울특별시 구로구 가리봉동,서울특별시 구로구 고척제1동,서울특별시 구로구 고척제2동,서울특별시 구로구 개봉제1동,서울특별시 구로구 개봉제2동,서울특별시 구로구 개봉제3동,서울특별시 구로구 오류제1동,서울특별시 구로구 오류제2동,서울특별시 구로구 수궁동,서울특별시 구로구 항동
2020년08월_계_총인구수,"405,495","36,395","21,428","24,750","23,941","20,574","29,623","9,353","23,379","27,673","33,237","31,946","21,175","22,609","39,275","23,995","16,142"
2020년08월_계_연령구간인구수,"405,495","36,395","21,428","24,750","23,941","20,574","29,623","9,353","23,379","27,673","33,237","31,946","21,175","22,609","39,275","23,995","16,142"
2020년08월_계_0~9세,"29,072","3,659","1,970",954,"1,418",867,"1,919",245,"1,383","1,876","2,129","2,309","1,295","1,266","3,503","1,515","2,764"
2020년08월_계_10~19세,"30,598","3,558","1,990","1,461","1,440","1,148","1,644",320,"2,037","2,313","2,469","2,381","1,515","1,255","3,908","2,044","1,115"
2020년08월_계_20~29세,"55,617","4,388","2,865","3,274","4,158","2,890","5,101","1,443","3,323","3,690","4,451","3,860","2,649","3,969","4,703","3,102","1,751"
2020년08월_계_30~39세,"63,749","6,348","3,964","2,945","5,072","3,019","5,513","1,252","2,927","3,381","4,732","4,758","2,952","4,369","5,209","3,339","3,969"
2020년08월_계_40~49세,"63,735","6,521","3,657","3,602","4,028","3,051","4,199","1,225","3,603","4,385","4,914","4,869","3,298","3,175","6,812","3,861","2,535"
2020년08월_계_50~59세,"63,466","5,172","3,057","4,746","3,046","3,525","4,605","1,940","3,967","4,842","5,705","4,950","3,515","3,063","5,659","3,931","1,743"
2020년08월_계_60~69세,"55,048","3,992","2,531","3,982","2,544","3,080","3,715","1,610","3,494","3,915","4,936","4,976","3,413","2,944","4,971","3,526","1,419"
2020년08월_계_70~79세,"31,430","1,968",976,"2,660","1,568","2,101","2,093",873,"1,919","2,310","2,797","2,826","1,778","1,811","3,205","1,960",585
2020년08월_계_80~89세,"11,135",693,351,971,580,782,746,367,625,859,965,886,668,663,"1,141",621,217
2020년08월_계_90~99세,"1,472",88,63,125,66,94,86,55,95,94,132,122,80,88,156,85,43
