,서울특별시 동대문구,서울특별시 동대문구 용신동,서울특별시 동대문구 제기동,서울특별시 동대문구 전농제1동,서울특별시 동대문구 전농제2동,서울특별시 동대문구 답십리제1동,서울특별시 동대문구 답십리제2동,서울특별시 동대문구 장안제1동,서울특별시 동대문구 장안제2동,서울특별시 동대문구 청량리동,서울특별시 동대문구 회기동,서울특별시 동대문구 휘경제1동,서울특별시 동대문구 휘경제2동,서울특별시 동대문구 이문제1동,서울특별시 동대문구 이문제2동
2021년06월_계_총인구수,"338,040","31,009","24,625","29,459","18,819","29,103","28,748","38,328","32,561","19,050","10,416","13,686","24,114","18,002","20,120"
2021년06월_계_연령구간인구수,"338,040","31,009","24,625","29,459","18,819","29,103","28,748","38,328","32,561","19,050","10,416","13,686","24,114","18,002","20,120"
2021년06월_계_0~9세,"19,982","1,221",994,"1,832","1,187","2,689","1,803","2,450","2,759",733,415,794,"1,201",673,"1,231"
2021년06월_계_10~19세,"23,245","1,404","1,367","1,846","1,719","1,989","1,931","2,629","2,808","1,059",705,785,"2,024","1,226","1,753"
2021년06월_계_20~29세,"56,158","6,171","4,407","4,602","2,254","4,177","3,730","5,272","3,809","2,207","3,243","3,453","5,345","4,701","2,787"
2021년06월_계_30~39세,"49,262","5,459","3,184","4,176","2,236","5,235","4,426","6,291","4,973","2,140","1,489","2,111","2,940","2,124","2,478"
2021년06월_계_40~49세,"49,475","4,121","3,008","4,250","3,013","4,769","4,107","6,223","5,753","2,389","1,289","1,661","3,455","2,319","3,118"
2021년06월_계_50~59세,"52,297","4,630","3,793","4,839","3,217","4,226","4,861","5,957","4,913","3,256","1,217","1,938","3,522","2,574","3,354"
2021년06월_계_60~69세,"46,971","4,227","3,963","4,243","2,775","3,352","4,288","5,496","4,367","3,794",980,"1,549","2,995","2,167","2,775"
2021년06월_계_70~79세,"27,465","2,509","2,574","2,469","1,564","1,761","2,447","2,868","2,269","2,330",674,931,"1,800","1,448","1,821"
2021년06월_계_80~89세,"11,678","1,135","1,183","1,074",776,800,"1,036","1,001",795,"1,005",352,408,731,677,705
2021년06월_계_90~99세,"1,427",127,142,121,75,96,116,131,106,132,51,53,98,88,91
2021년06월_계_100세 이상,80,5,10,7,3,9,3,10,9,5,1,3,3,5,7
2021년06월_남_총인구수,"167,335","15,701","12,608","14,795","9,061","14,080","13,987","19,056","16,265","9,507","4,975","6,545","12,026","8,973","9,756"
2021년06월_남_연령구간인구수,"167,335","15,701","12,608","14,795","9,061","14,080","13,987","19,056","16,265","9,507","4,975","6,545","12,026","8,973","9,756"
2021년06월_남_0~9세,"10,262",620,513,947,607,"1,373",896,"1,271","1,414",382,214,407,637,340,641
2021년06월_남_10~19세,"11,754",726,709,917,839,"1,015",966,"1,347","1,501",551,331,383,963,629,877
2021년06월_남_20~29세,"27,681","2,881","2,387","2,339","1,154","1,913","1,866","2,494","1,961","1,171","1,525","1,489","2,864","2,304","1,333"
2021년06월_남_30~39세,"25,428","2,847","1,762","2,135","1,140","2,470","2,264","3,256","2,503","1,163",787,"1,093","1,572","1,210","1,226"
2021년06월_남_40~49세,"25,493","2,254","1,650","2,261","1,443","2,478","2,070","3,222","2,929","1,239",631,857,"1,701","1,191","1,567"
2021년06월_남_50~59세,"26,532","2,520","2,023","2,494","1,572","2,068","2,382","2,977","2,463","1,660",631,960,"1,756","1,340","1,686"
2021년06월_남_60~69세,"22,749","2,181","1,906","2,141","1,288","1,636","2,027","2,657","2,089","1,879",432,757,"1,423","1,021","1,312"
2021년06월_남_70~79세,"12,434","1,169","1,167","1,117",661,797,"1,109","1,381","1,072","1,041",283,405,803,628,801
2021년06월_남_80~89세,"4,594",465,454,418,332,299,381,407,303,385,127,180,269,283,291
2021년06월_남_90~99세,388,37,36,25,24,28,25,43,26,36,13,13,38,26,18
2021년06월_남_100세 이상,20,1,1,1,1,3,1,1,4,0,1,1,0,1,4
2021년06월_여_총인구수,"170,705","15,308","12,017","14,664","9,758","15,023","14,761","19,272","16,296","9,543","5,441","7,141","12,088","9,029","10,364"
2021년06월_여_연령구간인구수,"170,705","15,308","12,017","14,664","9,758","15,023","14,761","19,272","16,296","9,543","5,441","7,141","12,088","9,029","10,364"
2021년06월_여_0~9세,"9,720",601,481,885,580,"1,316",907,"1,179","1,345",351,201,387,564,333,590
2021년06월_여_10~19세,"11,491",678,658,929,880,974,965,"1,282","1,307",508,374,402,"1,061",597,876
2021년06월_여_20~29세,"28,477","3,290","2,020","2,263","1,100","2,264","1,864","2,778","1,848","1,036","1,718","1,964","2,481","2,397","1,454"
2021년06월_여_30~39세,"23,834","2,612","1,422","2,041","1,096","2,765","2,162","3,035","2,470",977,702,"1,018","1,368",914,"1,252"
2021년06월_여_40~49세,"23,982","1,867","1,358","1,989","1,570","2,291","2,037","3,001","2,824","1,150",658,804,"1,754","1,128","1,551"
2021년06월_여_50~59세,"25,765","2,110","1,770","2,345","1,645","2,158","2,479","2,980","2,450","1,596",586,978,"1,766","1,234","1,668"
2021년06월_여_60~69세,"24,222","2,046","2,057","2,102","1,487","1,716","2,261","2,839","2,278","1,915",548,792,"1,572","1,146","1,463"
2021년06월_여_70~79세,"15,031","1,340","1,407","1,352",903,964,"1,338","1,487","1,197","1,289",391,526,997,820,"1,020"
2021년06월_여_80~89세,"7,084",670,729,656,444,501,655,594,492,620,225,228,462,394,414
2021년06월_여_90~99세,"1,039",90,106,96,51,68,91,88,80,96,38,40,60,62,73
2021년06월_여_100세 이상,60,4,9,6,2,6,2,9,5,5,0,2,3,4,3
