카테고리,부산광역시 수영구,부산광역시 수영구 남천제1동,부산광역시 수영구 남천제2동,부산광역시 수영구 수영동,부산광역시 수영구 망미제1동,부산광역시 수영구 망미제2동,부산광역시 수영구 광안제1동,부산광역시 수영구 광안제2동,부산광역시 수영구 광안제3동,부산광역시 수영구 광안제4동,부산광역시 수영구 민락동
2020년11월_계_총인구수,"176,885","14,043","12,341","14,939","27,899","11,554","26,066","18,691","9,755","12,970","28,627"
2020년11월_계_연령구간인구수,"176,885","14,043","12,341","14,939","27,899","11,554","26,066","18,691","9,755","12,970","28,627"
2020년11월_계_0~9세,"10,333",719,866,612,"1,710",707,"1,287","1,125",309,772,"2,226"
2020년11월_계_10~19세,"11,896","1,178","1,185",662,"1,989",849,"1,651","1,281",428,841,"1,832"
2020년11월_계_20~29세,"24,261","1,858","1,407","1,797","3,127","1,245","5,063","2,871","1,861","1,703","3,329"
2020년11월_계_30~39세,"23,913","1,657","1,251","1,803","3,449","1,448","4,070","2,699","1,481","1,908","4,147"
2020년11월_계_40~49세,"25,547","2,054","1,978","1,908","3,738","1,733","3,674","2,854","1,244","1,960","4,404"
2020년11월_계_50~59세,"27,756","2,438","2,182","2,344","4,426","1,889","3,586","2,761","1,391","2,040","4,699"
2020년11월_계_60~69세,"28,480","2,119","1,920","2,963","5,075","1,989","3,613","2,604","1,601","1,989","4,607"
2020년11월_계_70~79세,"17,063","1,293","1,055","1,973","2,967","1,244","2,195","1,744","1,005","1,157","2,430"
2020년11월_계_80~89세,"6,695",620,408,781,"1,237",390,811,679,391,539,839
2020년11월_계_90~99세,879,102,79,91,173,56,109,65,39,56,109
2020년11월_계_100세 이상,62,5,10,5,8,4,7,8,5,5,5
2020년11월_남_총인구수,"83,576","6,451","5,744","7,135","13,383","5,683","12,218","8,679","4,642","5,846","13,795"
2020년11월_남_연령구간인구수,"83,576","6,451","5,744","7,135","13,383","5,683","12,218","8,679","4,642","5,846","13,795"
2020년11월_남_0~9세,"5,307",347,444,314,888,366,679,576,165,401,"1,127"
2020년11월_남_10~19세,"6,123",590,589,342,"1,053",450,889,636,221,420,933
2020년11월_남_20~29세,"11,801",925,734,890,"1,620",691,"2,243","1,321",820,806,"1,751"
2020년11월_남_30~39세,"11,932",799,593,943,"1,739",760,"2,046","1,318",780,891,"2,063"
2020년11월_남_40~49세,"12,560",935,885,"1,018","1,889",904,"1,792","1,391",649,878,"2,219"
2020년11월_남_50~59세,"12,732","1,116",954,"1,099","2,024",900,"1,626","1,268",670,905,"2,170"
2020년11월_남_60~69세,"12,698",930,879,"1,305","2,263",894,"1,600","1,139",750,834,"2,104"
2020년11월_남_70~79세,"7,655",542,495,896,"1,382",551,"1,007",740,433,503,"1,106"
2020년11월_남_80~89세,"2,534",233,155,305,470,158,302,270,146,195,300
2020년11월_남_90~99세,220,34,13,23,52,9,31,17,8,13,20
2020년11월_남_100세 이상,14,0,3,0,3,0,3,3,0,0,2
2020년11월_여_총인구수,"93,309","7,592","6,597","7,804","14,516","5,871","13,848","10,012","5,113","7,124","14,832"
2020년11월_여_연령구간인구수,"93,309","7,592","6,597","7,804","14,516","5,871","13,848","10,012","5,113","7,124","14,832"
2020년11월_여_0~9세,"5,026",372,422,298,822,341,608,549,144,371,"1,099"
2020년11월_여_10~19세,"5,773",588,596,320,936,399,762,645,207,421,899
2020년11월_여_20~29세,"12,460",933,673,907,"1,507",554,"2,820","1,550","1,041",897,"1,578"
2020년11월_여_30~39세,"11,981",858,658,860,"1,710",688,"2,024","1,381",701,"1,017","2,084"
2020년11월_여_40~49세,"12,987","1,119","1,093",890,"1,849",829,"1,882","1,463",595,"1,082","2,185"
2020년11월_여_50~59세,"15,024","1,322","1,228","1,245","2,402",989,"1,960","1,493",721,"1,135","2,529"
2020년11월_여_60~69세,"15,782","1,189","1,041","1,658","2,812","1,095","2,013","1,465",851,"1,155","2,503"
2020년11월_여_70~79세,"9,408",751,560,"1,077","1,585",693,"1,188","1,004",572,654,"1,324"
2020년11월_여_80~89세,"4,161",387,253,476,767,232,509,409,245,344,539
2020년11월_여_90~99세,659,68,66,68,121,47,78,48,31,43,89
2020년11월_여_100세 이상,48,5,7,5,5,4,4,5,5,5,3
