,대전광역시 중구,대전광역시 중구 은행선화동,대전광역시 중구 목동,대전광역시 중구 중촌동,대전광역시 중구 대흥동,대전광역시 중구 문창동,대전광역시 중구 석교동,대전광역시 중구 대사동,대전광역시 중구 부사동,대전광역시 중구 용두동,대전광역시 중구 오류동,대전광역시 중구 태평1동,대전광역시 중구 태평2동,대전광역시 중구 유천1동,대전광역시 중구 유천2동,대전광역시 중구 문화1동,대전광역시 중구 문화2동,대전광역시 중구 산성동
2021년08월_계_총인구수,"232,309","15,778","14,498","12,768","13,818","4,679","15,733","5,476","6,678","9,567","10,700","13,476","25,910","6,614","13,803","22,537","12,764","27,510"
2021년08월_계_연령구간인구수,"232,309","15,778","14,498","12,768","13,818","4,679","15,733","5,476","6,678","9,567","10,700","13,476","25,910","6,614","13,803","22,537","12,764","27,510"
2021년08월_계_0~9세,"14,353",869,"1,410",633,851,173,688,160,295,507,638,"1,130","1,870",332,886,"1,871",608,"1,432"
2021년08월_계_10~19세,"21,311",994,"2,444","1,140","1,114",289,"1,110",258,430,734,775,"1,592","3,010",331,953,"2,779","1,060","2,298"
2021년08월_계_20~29세,"30,374","2,741","1,571","1,505","2,380",497,"1,758","1,020",790,"1,775","1,563","1,514","3,033",865,"1,804","2,845","1,526","3,187"
2021년08월_계_30~39세,"25,353","2,328","1,460","1,278","1,894",438,"1,576",626,652,"1,271","1,369","1,499","2,264",878,"1,566","2,365","1,258","2,631"
2021년08월_계_40~49세,"35,749","2,444","3,220","1,963","2,140",574,"2,018",595,852,"1,377","1,461","2,397","4,267",933,"1,907","3,859","1,805","3,937"
2021년08월_계_50~59세,"39,008","2,531","2,091","2,268","1,977",820,"2,778",879,"1,213","1,448","1,779","2,227","4,486","1,136","2,216","3,596","2,380","5,183"
2021년08월_계_60~69세,"34,674","2,198","1,250","2,089","1,833",907,"3,106",949,"1,249","1,182","1,488","1,592","3,564","1,201","2,303","2,648","2,129","4,986"
2021년08월_계_70~79세,"20,579","1,119",687,"1,215","1,062",628,"1,866",606,749,801,972,"1,032","2,238",631,"1,438","1,661","1,225","2,649"
2021년08월_계_80~89세,"9,547",468,320,590,468,313,733,340,378,413,560,443,"1,033",275,647,808,687,"1,071"
2021년08월_계_90~99세,"1,310",82,40,84,96,39,93,41,69,56,95,50,138,31,81,102,82,131
2021년08월_계_100세 이상,51,4,5,3,3,1,7,2,1,3,0,0,7,1,2,3,4,5
2021년08월_남_총인구수,"114,475","8,141","6,943","6,228","6,831","2,437","7,880","2,662","3,394","4,616","5,046","6,535","12,445","3,467","6,802","10,874","6,190","13,984"
2021년08월_남_연령구간인구수,"114,475","8,141","6,943","6,228","6,831","2,437","7,880","2,662","3,394","4,616","5,046","6,535","12,445","3,467","6,802","10,874","6,190","13,984"
2021년08월_남_0~9세,"7,330",416,718,313,465,96,352,90,168,247,313,602,951,181,438,969,304,707
2021년08월_남_10~19세,"11,000",493,"1,208",599,597,159,561,152,240,333,380,772,"1,553",196,511,"1,453",566,"1,227"
2021년08월_남_20~29세,"15,507","1,286",792,830,"1,107",277,933,436,408,838,762,801,"1,610",472,923,"1,408",838,"1,786"
2021년08월_남_30~39세,"13,059","1,267",652,673,957,244,891,353,378,660,701,731,"1,058",484,811,"1,113",695,"1,391"
2021년08월_남_40~49세,"18,088","1,378","1,504","1,001","1,135",337,"1,094",331,460,715,699,"1,127","1,991",537,997,"1,795",894,"2,093"
2021년08월_남_50~59세,"19,738","1,439","1,097","1,104","1,026",469,"1,396",449,625,758,848,"1,129","2,180",593,"1,080","1,776","1,140","2,629"
2021년08월_남_60~69세,"16,553","1,150",555,957,876,455,"1,502",445,601,561,694,760,"1,614",610,"1,073","1,261",992,"2,447"
2021년08월_남_70~79세,"9,228",515,283,526,458,279,847,253,345,339,420,447,"1,042",283,686,735,496,"1,274"
2021년08월_남_80~89세,"3,653",177,123,198,180,117,282,142,153,153,206,158,415,105,260,337,247,400
2021년08월_남_90~99세,309,18,10,26,29,4,21,11,16,11,23,8,31,6,22,26,18,29
2021년08월_남_100세 이상,10,2,1,1,1,0,1,0,0,1,0,0,0,0,1,1,0,1
2021년08월_여_총인구수,"117,834","7,637","7,555","6,540","6,987","2,242","7,853","2,814","3,284","4,951","5,654","6,941","13,465","3,147","7,001","11,663","6,574","13,526"
2021년08월_여_연령구간인구수,"117,834","7,637","7,555","6,540","6,987","2,242","7,853","2,814","3,284","4,951","5,654","6,941","13,465","3,147","7,001","11,663","6,574","13,526"
2021년08월_여_0~9세,"7,023",453,692,320,386,77,336,70,127,260,325,528,919,151,448,902,304,725
2021년08월_여_10~19세,"10,311",501,"1,236",541,517,130,549,106,190,401,395,820,"1,457",135,442,"1,326",494,"1,071"
2021년08월_여_20~29세,"14,867","1,455",779,675,"1,273",220,825,584,382,937,801,713,"1,423",393,881,"1,437",688,"1,401"
2021년08월_여_30~39세,"12,294","1,061",808,605,937,194,685,273,274,611,668,768,"1,206",394,755,"1,252",563,"1,240"
2021년08월_여_40~49세,"17,661","1,066","1,716",962,"1,005",237,924,264,392,662,762,"1,270","2,276",396,910,"2,064",911,"1,844"
2021년08월_여_50~59세,"19,270","1,092",994,"1,164",951,351,"1,382",430,588,690,931,"1,098","2,306",543,"1,136","1,820","1,240","2,554"
2021년08월_여_60~69세,"18,121","1,048",695,"1,132",957,452,"1,604",504,648,621,794,832,"1,950",591,"1,230","1,387","1,137","2,539"
2021년08월_여_70~79세,"11,351",604,404,689,604,349,"1,019",353,404,462,552,585,"1,196",348,752,926,729,"1,375"
2021년08월_여_80~89세,"5,894",291,197,392,288,196,451,198,225,260,354,285,618,170,387,471,440,671
2021년08월_여_90~99세,"1,001",64,30,58,67,35,72,30,53,45,72,42,107,25,59,76,64,102
2021년08월_여_100세 이상,41,2,4,2,2,1,6,2,1,2,0,0,7,1,1,2,4,4
