,서울특별시 중구,서울특별시 중구 소공동,서울특별시 중구 회현동,서울특별시 중구 명동,서울특별시 중구 필동,서울특별시 중구 장충동,서울특별시 중구 광희동,서울특별시 중구 을지로동,서울특별시 중구 신당동,서울특별시 중구 다산동,서울특별시 중구 약수동,서울특별시 중구 청구동,서울특별시 중구 신당제5동,서울특별시 중구 동화동,서울특별시 중구 황학동,서울특별시 중구 중림동
2020년08월_계_총인구수,"125,990","2,095","5,190","2,964","4,019","4,686","5,064","1,837","7,617","14,412","17,291","14,117","10,647","10,776","12,673","12,602"
2020년08월_계_연령구간인구수,"125,990","2,095","5,190","2,964","4,019","4,686","5,064","1,837","7,617","14,412","17,291","14,117","10,647","10,776","12,673","12,602"
2020년08월_계_0~9세,"7,061",173,205,92,195,187,137,50,271,595,"1,169",781,610,775,751,"1,070"
2020년08월_계_10~19세,"7,041",112,204,144,183,322,202,34,296,864,997,921,576,873,537,776
2020년08월_계_20~29세,"18,572",222,499,348,707,"1,228",790,206,"1,324","2,422","2,065","2,008","1,673","1,481","2,125","1,474"
2020년08월_계_30~39세,"20,332",427,563,398,628,661,775,295,"1,291","2,289","2,463","2,227","1,788","1,350","2,841","2,336"
2020년08월_계_40~49세,"18,298",448,680,441,491,585,630,200,"1,066","2,104","2,501","2,005","1,586","1,665","1,845","2,051"
2020년08월_계_50~59세,"20,880",316,974,500,614,604,867,336,"1,392","2,363","2,882","2,387","1,882","1,955","1,795","2,013"
2020년08월_계_60~69세,"17,337",233,"1,056",533,609,502,865,399,"1,007","1,938","2,629","1,925","1,313","1,401","1,494","1,433"
2020년08월_계_70~79세,"10,650",104,589,330,358,381,538,207,659,"1,246","1,640","1,164",834,781,889,930
2020년08월_계_80~89세,"4,748",44,290,142,176,181,208,79,247,499,782,601,327,421,334,417
2020년08월_계_90~99세,871,11,86,27,48,32,37,21,56,78,154,90,45,61,54,71
2020년08월_계_100세 이상,200,5,44,9,10,3,15,10,8,14,9,8,13,13,8,31
2020년08월_남_총인구수,"61,651","1,029","2,762","1,269","2,072","2,366","2,671","1,109","3,800","7,009","8,147","6,693","5,176","5,192","6,054","6,302"
2020년08월_남_연령구간인구수,"61,651","1,029","2,762","1,269","2,072","2,366","2,671","1,109","3,800","7,009","8,147","6,693","5,176","5,192","6,054","6,302"
2020년08월_남_0~9세,"3,595",92,114,53,102,101,69,25,114,308,563,392,296,421,394,551
2020년08월_남_10~19세,"3,529",32,86,57,98,156,105,12,150,468,511,468,294,434,263,395
2020년08월_남_20~29세,"8,889",94,220,165,362,650,375,89,619,"1,177","1,043",976,764,739,888,728
2020년08월_남_30~39세,"10,173",206,273,200,346,346,438,173,666,"1,195","1,157","1,118",914,623,"1,389","1,129"
2020년08월_남_40~49세,"9,333",239,377,191,280,315,348,130,581,"1,056","1,239",962,805,813,920,"1,077"
2020년08월_남_50~59세,"10,621",159,576,210,343,311,495,239,739,"1,144","1,363","1,162",983,940,914,"1,043"
2020년08월_남_60~69세,"8,626",134,626,228,287,239,458,275,499,899,"1,229",916,637,705,735,759
2020년08월_남_70~79세,"4,789",52,300,119,173,168,282,115,313,559,712,450,354,351,419,422
2020년08월_남_80~89세,"1,766",17,135,36,64,70,77,39,101,184,286,221,115,144,114,163
2020년08월_남_90~99세,265,3,35,7,14,10,18,8,15,16,40,25,14,18,18,24
2020년08월_남_100세 이상,65,1,20,3,3,0,6,4,3,3,4,3,0,4,0,11
2020년08월_여_총인구수,"64,339","1,066","2,428","1,695","1,947","2,320","2,393",728,"3,817","7,403","9,144","7,424","5,471","5,584","6,619","6,300"
2020년08월_여_연령구간인구수,"64,339","1,066","2,428","1,695","1,947","2,320","2,393",728,"3,817","7,403","9,144","7,424","5,471","5,584","6,619","6,300"
2020년08월_여_0~9세,"3,466",81,91,39,93,86,68,25,157,287,606,389,314,354,357,519
2020년08월_여_10~19세,"3,512",80,118,87,85,166,97,22,146,396,486,453,282,439,274,381
2020년08월_여_20~29세,"9,683",128,279,183,345,578,415,117,705,"1,245","1,022","1,032",909,742,"1,237",746
2020년08월_여_30~39세,"10,159",221,290,198,282,315,337,122,625,"1,094","1,306","1,109",874,727,"1,452","1,207"
2020년08월_여_40~49세,"8,965",209,303,250,211,270,282,70,485,"1,048","1,262","1,043",781,852,925,974
2020년08월_여_50~59세,"10,259",157,398,290,271,293,372,97,653,"1,219","1,519","1,225",899,"1,015",881,970
2020년08월_여_60~69세,"8,711",99,430,305,322,263,407,124,508,"1,039","1,400","1,009",676,696,759,674
2020년08월_여_70~79세,"5,861",52,289,211,185,213,256,92,346,687,928,714,480,430,470,508
2020년08월_여_80~89세,"2,982",27,155,106,112,111,131,40,146,315,496,380,212,277,220,254
2020년08월_여_90~99세,606,8,51,20,34,22,19,13,41,62,114,65,31,43,36,47
2020년08월_여_100세 이상,135,4,24,6,7,3,9,6,5,11,5,5,13,9,8,20
