,전국,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도
2021년10월_계_총인구수,"51,662,290","9,532,428","3,356,311","2,390,721","2,945,009","1,442,454","1,454,228","1,122,566","368,276","13,549,577","1,537,717","1,596,948","2,118,977","1,789,770","1,834,653","2,627,925","3,318,161","676,569"
2021년10월_계_연령구간인구수,"51,662,290","9,532,428","3,356,311","2,390,721","2,945,009","1,442,454","1,454,228","1,122,566","368,276","13,549,577","1,537,717","1,596,948","2,118,977","1,789,770","1,834,653","2,627,925","3,318,161","676,569"
2021년10월_계_0~9세,"3,792,548","590,061","221,729","169,417","219,048","114,681","108,388","92,945","46,988","1,106,832","101,658","117,903","164,417","120,964","125,113","180,301","253,545","58,558"
2021년10월_계_10~19세,"4,721,726","760,182","266,634","219,348","271,373","152,923","142,897","110,168","45,193","1,324,001","134,400","146,758","200,923","170,807","163,576","222,349","319,894","70,300"
2021년10월_계_20~29세,"6,691,903","1,430,877","419,064","312,144","392,367","207,723","210,578","138,484","38,180","1,805,465","175,880","195,227","238,870","207,837","194,535","277,409","365,973","81,290"
2021년10월_계_30~39세,"6,739,933","1,442,893","407,480","286,283","401,716","181,847","190,062","145,773","61,258","1,899,458","162,862","191,363","260,636","183,205","179,444","281,227","383,275","81,151"
2021년10월_계_40~49세,"8,169,827","1,486,100","502,715","373,251","480,366","236,350","231,511","183,982","71,910","2,292,775","219,415","236,996","325,285","260,450","252,631","377,048","527,641","111,401"
2021년10월_계_50~59세,"8,622,455","1,507,444","555,902","419,894","510,057","235,025","240,082","206,954","48,087","2,265,783","264,460","270,478","339,646","298,603","312,220","454,444","578,807","114,569"
2021년10월_계_60~69세,"7,124,259","1,283,216","547,730","340,970","395,798","171,161","189,446","154,649","33,152","1,655,342","258,240","239,916","297,973","267,130","283,553","430,951","490,895","84,137"
2021년10월_계_70~79세,"3,710,920","696,346","296,893","177,181","178,951","94,302","92,247","62,473","14,694","772,601","132,968","119,853","172,113","171,004","191,173","243,375","249,027","45,719"
2021년10월_계_80~89세,"1,817,189","291,651","122,286","81,934","81,974","42,169","42,726","23,845","7,488","370,378","75,824","68,636","103,372","94,656","114,784","140,156","130,242","25,068"
2021년10월_계_90~99세,"261,241","41,430","15,197","9,939","12,848","6,028","6,093","3,205","1,287","54,708","11,553","9,500","15,230","14,619","17,048","20,017","18,362","4,177"
2021년10월_계_100세 이상,"10,289","2,228",681,360,511,245,198,88,39,"2,234",457,318,512,495,576,648,500,199
2021년10월_남_총인구수,"25,760,238","4,630,630","1,642,368","1,178,486","1,474,536","713,483","725,742","576,723","183,879","6,820,025","774,008","810,093","1,083,133","890,378","923,037","1,324,128","1,670,394","339,195"
2021년10월_남_연령구간인구수,"25,760,238","4,630,630","1,642,368","1,178,486","1,474,536","713,483","725,742","576,723","183,879","6,820,025","774,008","810,093","1,083,133","890,378","923,037","1,324,128","1,670,394","339,195"
2021년10월_남_0~9세,"1,944,180","303,009","113,771","86,775","112,362","58,829","55,738","47,768","23,955","566,395","51,988","60,245","84,182","62,077","63,759","92,810","130,428","30,089"
2021년10월_남_10~19세,"2,438,376","389,543","137,336","114,392","139,509","79,143","73,895","57,850","22,766","680,108","69,806","76,203","104,329","88,475","84,670","116,727","166,864","36,760"
2021년10월_남_20~29세,"3,511,372","689,280","217,496","166,160","204,435","108,373","110,358","78,125","19,567","951,808","99,042","108,726","132,097","112,469","108,946","157,167","204,289","43,034"
2021년10월_남_30~39세,"3,478,862","720,614","208,912","150,026","207,990","93,104","99,571","77,521","29,844","982,214","85,789","102,044","140,454","94,583","94,367","150,415","200,594","40,820"
2021년10월_남_40~49세,"4,152,565","736,322","253,605","184,278","246,041","117,445","115,348","94,080","36,446","1,166,569","112,450","122,755","173,349","133,922","134,765","196,429","271,640","57,121"
2021년10월_남_50~59세,"4,359,713","742,615","270,760","205,661","254,827","116,640","119,969","105,071","25,178","1,148,042","136,499","139,337","180,330","155,135","168,244","235,682","296,187","59,536"
2021년10월_남_60~69세,"3,489,422","606,204","258,529","162,305","196,006","81,641","91,878","77,844","16,447","823,516","128,852","120,481","149,593","132,178","143,325","214,830","244,019","41,774"
2021년10월_남_70~79세,"1,679,626","317,028","134,136","77,699","81,965","41,862","42,039","29,827","6,845","352,051","59,829","54,430","78,854","76,195","84,976","109,584","111,452","20,854"
2021년10월_남_80~89세,"646,176","114,953","44,446","28,993","28,577","15,104","15,516","8,081","2,556","135,901","27,102","23,740","36,297","32,067","36,562","46,331","41,406","8,544"
2021년10월_남_90~99세,"57,847","10,482","3,243","2,133","2,706","1,311","1,393",545,266,"12,898","2,545","2,069","3,558","3,199","3,360","4,063","3,426",650
2021년10월_남_100세 이상,"2,099",580,134,64,118,31,37,11,9,523,106,63,90,78,63,90,89,13
2021년10월_여_총인구수,"25,902,052","4,901,798","1,713,943","1,212,235","1,470,473","728,971","728,486","545,843","184,397","6,729,552","763,709","786,855","1,035,844","899,392","911,616","1,303,797","1,647,767","337,374"
2021년10월_여_연령구간인구수,"25,902,052","4,901,798","1,713,943","1,212,235","1,470,473","728,971","728,486","545,843","184,397","6,729,552","763,709","786,855","1,035,844","899,392","911,616","1,303,797","1,647,767","337,374"
2021년10월_여_0~9세,"1,848,368","287,052","107,958","82,642","106,686","55,852","52,650","45,177","23,033","540,437","49,670","57,658","80,235","58,887","61,354","87,491","123,117","28,469"
2021년10월_여_10~19세,"2,283,350","370,639","129,298","104,956","131,864","73,780","69,002","52,318","22,427","643,893","64,594","70,555","96,594","82,332","78,906","105,622","153,030","33,540"
2021년10월_여_20~29세,"3,180,531","741,597","201,568","145,984","187,932","99,350","100,220","60,359","18,613","853,657","76,838","86,501","106,773","95,368","85,589","120,242","161,684","38,256"
2021년10월_여_30~39세,"3,261,071","722,279","198,568","136,257","193,726","88,743","90,491","68,252","31,414","917,244","77,073","89,319","120,182","88,622","85,077","130,812","182,681","40,331"
2021년10월_여_40~49세,"4,017,262","749,778","249,110","188,973","234,325","118,905","116,163","89,902","35,464","1,126,206","106,965","114,241","151,936","126,528","117,866","180,619","256,001","54,280"
2021년10월_여_50~59세,"4,262,742","764,829","285,142","214,233","255,230","118,385","120,113","101,883","22,909","1,117,741","127,961","131,141","159,316","143,468","143,976","218,762","282,620","55,033"
2021년10월_여_60~69세,"3,634,837","677,012","289,201","178,665","199,792","89,520","97,568","76,805","16,705","831,826","129,388","119,435","148,380","134,952","140,228","216,121","246,876","42,363"
2021년10월_여_70~79세,"2,031,294","379,318","162,757","99,482","96,986","52,440","50,208","32,646","7,849","420,550","73,139","65,423","93,259","94,809","106,197","133,791","137,575","24,865"
2021년10월_여_80~89세,"1,171,013","176,698","77,840","52,941","53,397","27,065","27,210","15,764","4,932","234,477","48,722","44,896","67,075","62,589","78,222","93,825","88,836","16,524"
2021년10월_여_90~99세,"203,394","30,948","11,954","7,806","10,142","4,717","4,700","2,660","1,021","41,810","9,008","7,431","11,672","11,420","13,688","15,954","14,936","3,527"
2021년10월_여_100세 이상,"8,190","1,648",547,296,393,214,161,77,30,"1,711",351,255,422,417,513,558,411,186
