카테고리,부산광역시 서구,부산광역시 서구 동대신제1동,부산광역시 서구 동대신제2동,부산광역시 서구 동대신제3동,부산광역시 서구 서대신제1동,부산광역시 서구 서대신제3동,부산광역시 서구 서대신제4동,부산광역시 서구 부민동,부산광역시 서구 아미동,부산광역시 서구 초장동,부산광역시 서구 충무동,부산광역시 서구 남부민제1동,부산광역시 서구 남부민제2동,부산광역시 서구 암남동
2020년12월_계_총인구수,"108,135","4,563","7,635","7,775","13,689","8,639","7,908","7,829","7,080","4,657","10,088","5,081","9,587","13,604"
2020년12월_계_연령구간인구수,"108,135","4,563","7,635","7,775","13,689","8,639","7,908","7,829","7,080","4,657","10,088","5,081","9,587","13,604"
2020년12월_계_0~9세,"5,622",213,334,436,"1,115",607,629,451,103,121,495,136,326,656
2020년12월_계_10~19세,"7,287",286,519,528,"1,078",837,780,557,303,181,524,201,527,966
2020년12월_계_20~29세,"13,541",587,765,"1,195","1,729","1,017",937,"1,554",777,427,"1,410",465,899,"1,779"
2020년12월_계_30~39세,"11,206",487,653,882,"1,862",891,857,962,542,364,"1,209",457,745,"1,295"
2020년12월_계_40~49세,"14,707",595,"1,010","1,047","2,125","1,339","1,256","1,056",823,612,"1,297",597,"1,227","1,723"
2020년12월_계_50~59세,"18,002",760,"1,310","1,152","2,079","1,433","1,292","1,120","1,248",819,"1,734",945,"1,680","2,430"
2020년12월_계_60~69세,"19,114",794,"1,447","1,293","1,848","1,329","1,141","1,149","1,543",989,"1,758","1,134","2,074","2,615"
2020년12월_계_70~79세,"12,369",523,"1,042",810,"1,240",762,649,616,"1,095",744,"1,135",778,"1,490","1,485"
2020년12월_계_80~89세,"5,426",280,491,369,524,370,316,305,545,345,457,318,537,569
2020년12월_계_90~99세,738,34,60,54,84,51,47,51,72,45,55,43,70,72
2020년12월_계_100세 이상,123,4,4,9,5,3,4,8,29,10,14,7,12,14
2020년12월_남_총인구수,"52,341","2,179","3,717","3,637","6,464","3,991","3,836","3,722","3,576","2,339","4,818","2,582","4,791","6,689"
2020년12월_남_연령구간인구수,"52,341","2,179","3,717","3,637","6,464","3,991","3,836","3,722","3,576","2,339","4,818","2,582","4,791","6,689"
2020년12월_남_0~9세,"2,917",110,171,229,571,320,343,231,49,61,254,70,169,339
2020년12월_남_10~19세,"3,689",135,247,248,552,390,401,289,166,92,273,101,283,512
2020년12월_남_20~29세,"6,676",298,423,545,829,482,490,689,402,232,630,253,487,916
2020년12월_남_30~39세,"5,757",260,340,450,885,428,408,472,306,209,623,267,414,695
2020년12월_남_40~49세,"7,616",314,528,522,"1,048",624,599,528,479,365,672,354,674,909
2020년12월_남_50~59세,"9,191",387,650,570,"1,015",665,631,568,689,458,884,522,927,"1,225"
2020년12월_남_60~69세,"8,920",346,684,575,831,611,553,544,778,477,808,534,989,"1,190"
2020년12월_남_70~79세,"5,392",226,465,350,532,337,280,267,476,324,473,344,651,667
2020년12월_남_80~89세,"1,977",93,198,131,180,121,122,122,203,105,178,125,183,216
2020년12월_남_90~99세,171,10,10,15,19,13,9,9,18,13,19,10,12,14
2020년12월_남_100세 이상,35,0,1,2,2,0,0,3,10,3,4,2,2,6
2020년12월_여_총인구수,"55,794","2,384","3,918","4,138","7,225","4,648","4,072","4,107","3,504","2,318","5,270","2,499","4,796","6,915"
2020년12월_여_연령구간인구수,"55,794","2,384","3,918","4,138","7,225","4,648","4,072","4,107","3,504","2,318","5,270","2,499","4,796","6,915"
2020년12월_여_0~9세,"2,705",103,163,207,544,287,286,220,54,60,241,66,157,317
2020년12월_여_10~19세,"3,598",151,272,280,526,447,379,268,137,89,251,100,244,454
2020년12월_여_20~29세,"6,865",289,342,650,900,535,447,865,375,195,780,212,412,863
2020년12월_여_30~39세,"5,449",227,313,432,977,463,449,490,236,155,586,190,331,600
2020년12월_여_40~49세,"7,091",281,482,525,"1,077",715,657,528,344,247,625,243,553,814
2020년12월_여_50~59세,"8,811",373,660,582,"1,064",768,661,552,559,361,850,423,753,"1,205"
2020년12월_여_60~69세,"10,194",448,763,718,"1,017",718,588,605,765,512,950,600,"1,085","1,425"
2020년12월_여_70~79세,"6,977",297,577,460,708,425,369,349,619,420,662,434,839,818
2020년12월_여_80~89세,"3,449",187,293,238,344,249,194,183,342,240,279,193,354,353
2020년12월_여_90~99세,567,24,50,39,65,38,38,42,54,32,36,33,58,58
2020년12월_여_100세 이상,88,4,3,7,3,3,4,5,19,7,10,5,10,8
