카테고리,경기도 부천시,경기도 부천시 심곡동,경기도 부천시 부천동,경기도 부천시 중동,경기도 부천시 신중동,경기도 부천시 상동,경기도 부천시 대산동,경기도 부천시 소사본동,경기도 부천시 범안동,경기도 부천시 성곡동,경기도 부천시 오정동
2021년05월_계_총인구수,"811,225","63,556","89,404","41,421","130,450","86,085","81,247","56,581","95,580","82,926","83,975"
2021년05월_계_연령구간인구수,"811,225","63,556","89,404","41,421","130,450","86,085","81,247","56,581","95,580","82,926","83,975"
2021년05월_계_0~9세,"55,150","2,946","5,373","2,672","9,580","7,763","4,504","3,704","9,436","4,316","4,856"
2021년05월_계_10~19세,"68,974","3,797","7,065","3,819","11,118","9,730","6,257","4,249","9,293","6,839","6,807"
2021년05월_계_20~29세,"115,465","10,043","12,779","5,998","19,201","12,043","11,529","7,701","11,196","12,404","12,571"
2021년05월_계_30~39세,"113,711","9,284","11,882","5,391","21,319","12,459","11,032","8,069","13,979","9,598","10,698"
2021년05월_계_40~49세,"127,142","9,408","13,693","6,274","20,446","15,109","12,167","7,825","17,318","12,219","12,683"
2021년05월_계_50~59세,"145,736","11,584","16,410","7,592","22,488","15,234","14,524","10,028","14,319","16,792","16,765"
2021년05월_계_60~69세,"114,707","9,902","13,501","6,043","17,226","9,254","12,760","9,260","12,032","12,450","12,279"
2021년05월_계_70~79세,"46,793","4,582","5,867","2,375","5,899","2,935","5,718","3,919","5,272","5,391","4,835"
2021년05월_계_80~89세,"20,255","1,748","2,498","1,050","2,667","1,305","2,376","1,581","2,321","2,551","2,158"
2021년05월_계_90~99세,"3,141",249,314,195,486,247,364,230,391,356,309
2021년05월_계_100세 이상,151,13,22,12,20,6,16,15,23,10,14
2021년05월_남_총인구수,"402,337","32,325","44,683","20,474","63,049","42,298","40,243","27,922","46,849","41,503","42,991"
2021년05월_남_연령구간인구수,"402,337","32,325","44,683","20,474","63,049","42,298","40,243","27,922","46,849","41,503","42,991"
2021년05월_남_0~9세,"28,375","1,573","2,749","1,376","4,939","3,955","2,326","1,909","4,862","2,185","2,501"
2021년05월_남_10~19세,"35,373","1,936","3,682","1,987","5,619","4,968","3,237","2,123","4,630","3,578","3,613"
2021년05월_남_20~29세,"59,542","5,165","6,644","3,062","9,368","6,160","6,095","4,023","5,761","6,522","6,742"
2021년05월_남_30~39세,"58,530","5,096","6,191","2,754","10,565","5,995","5,877","4,270","6,832","5,137","5,813"
2021년05월_남_40~49세,"64,127","5,150","7,135","3,101","9,770","7,111","6,187","3,920","8,813","6,213","6,727"
2021년05월_남_50~59세,"70,694","5,825","8,092","3,661","10,396","7,373","6,935","4,703","6,841","8,386","8,482"
2021년05월_남_60~69세,"56,464","4,762","6,537","2,986","8,659","4,845","6,021","4,465","5,758","6,223","6,208"
2021년05월_남_70~79세,"21,626","2,153","2,678","1,150","2,771","1,415","2,611","1,887","2,454","2,346","2,161"
2021년05월_남_80~89세,"6,852",619,882,340,861,420,874,562,799,827,668
2021년05월_남_90~99세,715,44,87,53,96,53,76,57,91,85,73
2021년05월_남_100세 이상,39,2,6,4,5,3,4,3,8,1,3
2021년05월_여_총인구수,"408,888","31,231","44,721","20,947","67,401","43,787","41,004","28,659","48,731","41,423","40,984"
2021년05월_여_연령구간인구수,"408,888","31,231","44,721","20,947","67,401","43,787","41,004","28,659","48,731","41,423","40,984"
2021년05월_여_0~9세,"26,775","1,373","2,624","1,296","4,641","3,808","2,178","1,795","4,574","2,131","2,355"
2021년05월_여_10~19세,"33,601","1,861","3,383","1,832","5,499","4,762","3,020","2,126","4,663","3,261","3,194"
2021년05월_여_20~29세,"55,923","4,878","6,135","2,936","9,833","5,883","5,434","3,678","5,435","5,882","5,829"
2021년05월_여_30~39세,"55,181","4,188","5,691","2,637","10,754","6,464","5,155","3,799","7,147","4,461","4,885"
2021년05월_여_40~49세,"63,015","4,258","6,558","3,173","10,676","7,998","5,980","3,905","8,505","6,006","5,956"
2021년05월_여_50~59세,"75,042","5,759","8,318","3,931","12,092","7,861","7,589","5,325","7,478","8,406","8,283"
2021년05월_여_60~69세,"58,243","5,140","6,964","3,057","8,567","4,409","6,739","4,795","6,274","6,227","6,071"
2021년05월_여_70~79세,"25,167","2,429","3,189","1,225","3,128","1,520","3,107","2,032","2,818","3,045","2,674"
2021년05월_여_80~89세,"13,403","1,129","1,616",710,"1,806",885,"1,502","1,019","1,522","1,724","1,490"
2021년05월_여_90~99세,"2,426",205,227,142,390,194,288,173,300,271,236
2021년05월_여_100세 이상,112,11,16,8,15,3,12,12,15,9,11
