카테고리,광주광역시 동구,광주광역시 동구 충장동,광주광역시 동구 동명동,광주광역시 동구 계림1동,광주광역시 동구 계림2동,광주광역시 동구 산수1동,광주광역시 동구 산수2동,광주광역시 동구 지산1동,광주광역시 동구 지산2동,광주광역시 동구 서남동,광주광역시 동구 학동,광주광역시 동구 학운동,광주광역시 동구 지원1동,광주광역시 동구 지원2동
2020년01월_계_총인구수,"98,642","4,446","3,802","6,045","8,229","8,802","10,717","4,479","4,852","3,185","8,561","12,219","8,233","15,072"
2020년01월_계_연령구간인구수,"98,642","4,446","3,802","6,045","8,229","8,802","10,717","4,479","4,852","3,185","8,561","12,219","8,233","15,072"
2020년01월_계_0~9세,"6,622",81,127,186,756,559,633,236,244,91,799,678,557,"1,675"
2020년01월_계_10~19세,"7,425",159,224,284,771,679,900,356,428,144,618,"1,031",705,"1,126"
2020년01월_계_20~29세,"13,858",897,640,757,994,"1,177","1,466",798,865,748,"1,166","1,481","1,021","1,848"
2020년01월_계_30~39세,"12,495",581,389,687,989,"1,146","1,150",485,444,386,"1,285","1,177","1,069","2,707"
2020년01월_계_40~49세,"13,653",536,526,819,"1,255","1,293","1,404",642,683,362,"1,173","1,616","1,131","2,213"
2020년01월_계_50~59세,"15,414",705,512,"1,131","1,171","1,456","1,842",650,768,454,"1,322","1,879","1,374","2,150"
2020년01월_계_60~69세,"14,009",781,597,"1,104","1,023","1,149","1,598",602,625,469,"1,056","1,996","1,227","1,782"
2020년01월_계_70~79세,"10,103",487,506,715,872,900,"1,165",468,512,346,789,"1,514",802,"1,027"
2020년01월_계_80~89세,"4,397",183,239,317,354,386,507,207,249,162,308,737,301,447
2020년01월_계_90~99세,609,32,39,41,41,52,50,29,31,22,34,106,44,88
2020년01월_계_100세 이상,57,4,3,4,3,5,2,6,3,1,11,4,2,9
2020년01월_남_총인구수,"48,775","2,317","1,894","3,257","4,055","4,391","5,217","2,255","2,471","1,611","4,107","5,794","4,010","7,396"
2020년01월_남_연령구간인구수,"48,775","2,317","1,894","3,257","4,055","4,391","5,217","2,255","2,471","1,611","4,107","5,794","4,010","7,396"
2020년01월_남_0~9세,"3,425",41,65,91,404,293,319,142,136,45,419,336,301,833
2020년01월_남_10~19세,"3,868",67,120,154,411,358,461,186,239,66,296,538,362,610
2020년01월_남_20~29세,"7,133",370,329,414,553,610,755,424,490,366,566,785,532,939
2020년01월_남_30~39세,"6,526",338,218,400,488,604,590,267,232,221,637,603,557,"1,371"
2020년01월_남_40~49세,"7,138",326,275,495,621,710,719,331,366,213,609,766,582,"1,125"
2020년01월_남_50~59세,"7,583",401,262,659,582,733,862,329,378,243,646,863,630,995
2020년01월_남_60~69세,"6,620",421,283,567,460,543,753,275,286,230,472,891,563,876
2020년01월_남_70~79세,"4,483",263,212,332,367,379,521,204,227,147,335,657,370,469
2020년01월_남_80~89세,"1,825",82,120,134,154,148,220,90,106,73,117,321,102,158
2020년01월_남_90~99세,164,8,10,11,14,12,17,4,11,6,8,33,11,19
2020년01월_남_100세 이상,10,0,0,0,1,1,0,3,0,1,2,1,0,1
2020년01월_여_총인구수,"49,867","2,129","1,908","2,788","4,174","4,411","5,500","2,224","2,381","1,574","4,454","6,425","4,223","7,676"
2020년01월_여_연령구간인구수,"49,867","2,129","1,908","2,788","4,174","4,411","5,500","2,224","2,381","1,574","4,454","6,425","4,223","7,676"
2020년01월_여_0~9세,"3,197",40,62,95,352,266,314,94,108,46,380,342,256,842
2020년01월_여_10~19세,"3,557",92,104,130,360,321,439,170,189,78,322,493,343,516
2020년01월_여_20~29세,"6,725",527,311,343,441,567,711,374,375,382,600,696,489,909
2020년01월_여_30~39세,"5,969",243,171,287,501,542,560,218,212,165,648,574,512,"1,336"
2020년01월_여_40~49세,"6,515",210,251,324,634,583,685,311,317,149,564,850,549,"1,088"
2020년01월_여_50~59세,"7,831",304,250,472,589,723,980,321,390,211,676,"1,016",744,"1,155"
2020년01월_여_60~69세,"7,389",360,314,537,563,606,845,327,339,239,584,"1,105",664,906
2020년01월_여_70~79세,"5,620",224,294,383,505,521,644,264,285,199,454,857,432,558
2020년01월_여_80~89세,"2,572",101,119,183,200,238,287,117,143,89,191,416,199,289
2020년01월_여_90~99세,445,24,29,30,27,40,33,25,20,16,26,73,33,69
2020년01월_여_100세 이상,47,4,3,4,2,4,2,3,3,0,9,3,2,8
