,경기도 구리시,경기도 구리시 갈매동,경기도 구리시 동구동,경기도 구리시 인창동,경기도 구리시 교문1동,경기도 구리시 교문2동,경기도 구리시 수택1동,경기도 구리시 수택2동,경기도 구리시 수택3동
2021년09월_계_총인구수,"193,410","30,943","37,641","23,348","16,375","21,893","15,634","25,484","22,092"
2021년09월_계_연령구간인구수,"193,410","30,943","37,641","23,348","16,375","21,893","15,634","25,484","22,092"
2021년09월_계_0~9세,"14,321","4,401","2,557","1,677",702,"1,464",754,"1,256","1,510"
2021년09월_계_10~19세,"17,462","2,354","3,818","2,317","1,056","2,613","1,072","2,006","2,226"
2021년09월_계_20~29세,"26,327","3,188","5,467","3,365","2,175","2,989","2,320","3,717","3,106"
2021년09월_계_30~39세,"25,296","5,498","4,502","3,006","2,008","2,449","1,959","3,123","2,751"
2021년09월_계_40~49세,"31,811","6,013","6,067","3,864","2,459","3,699","2,258","3,583","3,868"
2021년09월_계_50~59세,"34,932","4,123","7,240","4,245","3,176","3,925","3,134","5,018","4,071"
2021년09월_계_60~69세,"25,878","3,454","4,700","2,845","2,770","2,876","2,526","4,087","2,620"
2021년09월_계_70~79세,"11,531","1,423","2,088","1,358","1,299","1,237","1,089","1,774","1,263"
2021년09월_계_80~89세,"5,122",421,"1,044",602,620,571,460,811,593
2021년09월_계_90~99세,678,67,152,67,81,66,60,104,81
2021년09월_계_100세 이상,52,1,6,2,29,4,2,5,3
2021년09월_남_총인구수,"95,966","15,355","18,546","11,411","8,391","10,627","7,834","12,647","11,155"
2021년09월_남_연령구간인구수,"95,966","15,355","18,546","11,411","8,391","10,627","7,834","12,647","11,155"
2021년09월_남_0~9세,"7,375","2,278","1,336",849,363,737,408,630,774
2021년09월_남_10~19세,"9,010","1,169","2,033","1,200",515,"1,321",568,"1,055","1,149"
2021년09월_남_20~29세,"13,532","1,600","2,810","1,685","1,148","1,561","1,145","1,945","1,638"
2021년09월_남_30~39세,"12,743","2,607","2,293","1,496","1,088","1,196","1,071","1,585","1,407"
2021년09월_남_40~49세,"15,918","3,204","2,883","1,853","1,340","1,706","1,150","1,875","1,907"
2021년09월_남_50~59세,"17,173","1,995","3,446","2,082","1,638","1,889","1,533","2,477","2,113"
2021년09월_남_60~69세,"12,891","1,646","2,393","1,379","1,417","1,393","1,300","2,008","1,355"
2021년09월_남_70~79세,"5,204",696,906,612,610,577,482,762,559
2021년09월_남_80~89세,"1,916",146,398,229,234,228,160,288,233
2021년09월_남_90~99세,183,14,46,25,25,18,16,20,19
2021년09월_남_100세 이상,21,0,2,1,13,1,1,2,1
2021년09월_여_총인구수,"97,444","15,588","19,095","11,937","7,984","11,266","7,800","12,837","10,937"
2021년09월_여_연령구간인구수,"97,444","15,588","19,095","11,937","7,984","11,266","7,800","12,837","10,937"
2021년09월_여_0~9세,"6,946","2,123","1,221",828,339,727,346,626,736
2021년09월_여_10~19세,"8,452","1,185","1,785","1,117",541,"1,292",504,951,"1,077"
2021년09월_여_20~29세,"12,795","1,588","2,657","1,680","1,027","1,428","1,175","1,772","1,468"
2021년09월_여_30~39세,"12,553","2,891","2,209","1,510",920,"1,253",888,"1,538","1,344"
2021년09월_여_40~49세,"15,893","2,809","3,184","2,011","1,119","1,993","1,108","1,708","1,961"
2021년09월_여_50~59세,"17,759","2,128","3,794","2,163","1,538","2,036","1,601","2,541","1,958"
2021년09월_여_60~69세,"12,987","1,808","2,307","1,466","1,353","1,483","1,226","2,079","1,265"
2021년09월_여_70~79세,"6,327",727,"1,182",746,689,660,607,"1,012",704
2021년09월_여_80~89세,"3,206",275,646,373,386,343,300,523,360
2021년09월_여_90~99세,495,53,106,42,56,48,44,84,62
2021년09월_여_100세 이상,31,1,4,1,16,3,1,3,2
