,강원도 동해시,강원도 동해시 천곡동,강원도 동해시 송정동,강원도 동해시 북삼동,강원도 동해시 부곡동,강원도 동해시 동호동,강원도 동해시 발한동,강원도 동해시 묵호동,강원도 동해시 북평동,강원도 동해시 망상동,강원도 동해시 삼화동
2020년11월_계_총인구수,"90,560","30,868","4,104","19,302","5,163","5,211","3,571","3,196","12,581","3,620","2,944"
2020년11월_계_연령구간인구수,"90,560","30,868","4,104","19,302","5,163","5,211","3,571","3,196","12,581","3,620","2,944"
2020년11월_계_0~9세,"6,693","2,853",174,"1,515",191,307,109,105,"1,158",176,105
2020년11월_계_10~19세,"8,789","3,302",252,"2,547",350,470,168,167,"1,153",186,194
2020년11월_계_20~29세,"9,379","3,402",571,"2,193",467,493,275,204,"1,291",268,215
2020년11월_계_30~39세,"9,259","3,734",324,"1,923",375,452,220,187,"1,525",306,213
2020년11월_계_40~49세,"14,610","5,207",540,"3,743",703,744,426,410,"2,053",438,346
2020년11월_계_50~59세,"15,648","5,115",723,"3,471",928,943,600,499,"2,167",633,569
2020년11월_계_60~69세,"13,831","4,398",726,"2,163","1,102",872,804,708,"1,726",728,604
2020년11월_계_70~79세,"8,066","1,925",487,"1,186",706,654,623,577,929,540,439
2020년11월_계_80~89세,"3,722",812,261,490,293,252,297,300,509,292,216
2020년11월_계_90~99세,533,119,45,71,44,18,45,34,68,48,41
2020년11월_계_100세 이상,30,1,1,0,4,6,4,5,2,5,2
2020년11월_남_총인구수,"45,930","15,348","2,248","9,994","2,526","2,635","1,795","1,577","6,453","1,812","1,542"
2020년11월_남_연령구간인구수,"45,930","15,348","2,248","9,994","2,526","2,635","1,795","1,577","6,453","1,812","1,542"
2020년11월_남_0~9세,"3,456","1,473",87,789,105,149,51,60,600,85,57
2020년11월_남_10~19세,"4,574","1,648",145,"1,370",186,250,88,91,592,97,107
2020년11월_남_20~29세,"5,508","1,958",398,"1,307",261,281,174,104,732,159,134
2020년11월_남_30~39세,"4,947","1,947",197,"1,010",197,251,141,109,808,161,126
2020년11월_남_40~49세,"7,581","2,562",318,"1,838",381,421,255,242,"1,099",254,211
2020년11월_남_50~59세,"8,088","2,429",399,"1,878",450,499,320,283,"1,146",346,338
2020년11월_남_60~69세,"6,687","2,138",358,"1,045",529,397,356,329,865,359,311
2020년11월_남_70~79세,"3,643",891,229,560,306,289,297,223,433,236,179
2020년11월_남_80~89세,"1,324",277,106,182,101,92,98,123,169,103,73
2020년11월_남_90~99세,113,25,10,15,8,5,14,13,9,9,5
2020년11월_남_100세 이상,9,0,1,0,2,1,1,0,0,3,1
2020년11월_여_총인구수,"44,630","15,520","1,856","9,308","2,637","2,576","1,776","1,619","6,128","1,808","1,402"
2020년11월_여_연령구간인구수,"44,630","15,520","1,856","9,308","2,637","2,576","1,776","1,619","6,128","1,808","1,402"
2020년11월_여_0~9세,"3,237","1,380",87,726,86,158,58,45,558,91,48
2020년11월_여_10~19세,"4,215","1,654",107,"1,177",164,220,80,76,561,89,87
2020년11월_여_20~29세,"3,871","1,444",173,886,206,212,101,100,559,109,81
2020년11월_여_30~39세,"4,312","1,787",127,913,178,201,79,78,717,145,87
2020년11월_여_40~49세,"7,029","2,645",222,"1,905",322,323,171,168,954,184,135
2020년11월_여_50~59세,"7,560","2,686",324,"1,593",478,444,280,216,"1,021",287,231
2020년11월_여_60~69세,"7,144","2,260",368,"1,118",573,475,448,379,861,369,293
2020년11월_여_70~79세,"4,423","1,034",258,626,400,365,326,354,496,304,260
2020년11월_여_80~89세,"2,398",535,155,308,192,160,199,177,340,189,143
2020년11월_여_90~99세,420,94,35,56,36,13,31,21,59,39,36
2020년11월_여_100세 이상,21,1,0,0,2,5,3,5,2,2,1
