,경기도 광주시,경기도 광주시 오포읍,경기도 광주시 초월읍,경기도 광주시 곤지암읍,경기도 광주시 도척면,경기도 광주시 퇴촌면,경기도 광주시 남종면,경기도 광주시 남한산성면,경기도 광주시 경안동,경기도 광주시 송정동,경기도 광주시 광남동
2020년04월_계_총인구수,"375,561","109,965","43,746","22,833","9,135","14,506","1,497","2,678","43,434","60,817","66,950"
2020년04월_계_연령구간인구수,"375,561","109,965","43,746","22,833","9,135","14,506","1,497","2,678","43,434","60,817","66,950"
2020년04월_계_0~9세,"35,890","11,405","3,770","1,439",521,"1,057",43,154,"4,155","5,072","8,274"
2020년04월_계_10~19세,"33,422","8,663","4,588","1,880",611,"1,170",70,216,"4,027","5,716","6,481"
2020년04월_계_20~29세,"44,313","13,166","5,138","2,846",970,"1,113",111,186,"5,725","7,843","7,215"
2020년04월_계_30~39세,"58,885","20,551","5,861","2,766",982,"1,458",91,229,"6,670","8,521","11,756"
2020년04월_계_40~49세,"65,267","19,243","7,849","3,609","1,313","2,321",167,402,"7,355","10,552","12,456"
2020년04월_계_50~59세,"62,235","16,856","7,490","4,544","1,787","2,501",255,504,"7,416","11,072","9,810"
2020년04월_계_60~69세,"45,157","12,076","5,311","3,246","1,656","2,740",372,501,"4,890","7,479","6,886"
2020년04월_계_70~79세,"21,240","5,678","2,555","1,604",828,"1,496",242,297,"2,271","3,297","2,972"
2020년04월_계_80~89세,"7,867","1,997","1,036",774,399,550,127,160,798,"1,090",936
2020년04월_계_90~99세,"1,190",315,144,106,60,94,19,27,111,154,160
2020년04월_계_100세 이상,95,15,4,19,8,6,0,2,16,21,4
2020년04월_남_총인구수,"192,208","55,828","22,746","12,202","5,037","7,402",775,"1,433","22,115","30,766","33,904"
2020년04월_남_연령구간인구수,"192,208","55,828","22,746","12,202","5,037","7,402",775,"1,433","22,115","30,766","33,904"
2020년04월_남_0~9세,"18,440","5,882","1,934",725,279,537,21,76,"2,196","2,548","4,242"
2020년04월_남_10~19세,"17,125","4,477","2,317",993,319,632,42,114,"2,029","2,865","3,337"
2020년04월_남_20~29세,"23,367","6,871","2,728","1,586",568,613,57,91,"2,989","4,166","3,698"
2020년04월_남_30~39세,"30,751","10,764","3,101","1,538",573,739,44,129,"3,414","4,535","5,914"
2020년04월_남_40~49세,"34,577","10,242","4,197","1,973",783,"1,282",94,233,"3,837","5,433","6,503"
2020년04월_남_50~59세,"31,739","8,223","4,059","2,534","1,009","1,281",140,287,"3,782","5,484","4,940"
2020년04월_남_60~69세,"22,686","5,846","2,766","1,744",915,"1,329",202,282,"2,478","3,727","3,397"
2020년04월_남_70~79세,"10,298","2,708","1,231",786,419,764,113,146,"1,070","1,570","1,491"
2020년04월_남_80~89세,"2,947",740,385,292,156,204,54,69,299,398,350
2020년04월_남_90~99세,256,71,27,26,14,20,8,6,15,37,32
2020년04월_남_100세 이상,22,4,1,5,2,1,0,0,6,3,0
2020년04월_여_총인구수,"183,353","54,137","21,000","10,631","4,098","7,104",722,"1,245","21,319","30,051","33,046"
2020년04월_여_연령구간인구수,"183,353","54,137","21,000","10,631","4,098","7,104",722,"1,245","21,319","30,051","33,046"
2020년04월_여_0~9세,"17,450","5,523","1,836",714,242,520,22,78,"1,959","2,524","4,032"
2020년04월_여_10~19세,"16,297","4,186","2,271",887,292,538,28,102,"1,998","2,851","3,144"
2020년04월_여_20~29세,"20,946","6,295","2,410","1,260",402,500,54,95,"2,736","3,677","3,517"
2020년04월_여_30~39세,"28,134","9,787","2,760","1,228",409,719,47,100,"3,256","3,986","5,842"
2020년04월_여_40~49세,"30,690","9,001","3,652","1,636",530,"1,039",73,169,"3,518","5,119","5,953"
2020년04월_여_50~59세,"30,496","8,633","3,431","2,010",778,"1,220",115,217,"3,634","5,588","4,870"
2020년04월_여_60~69세,"22,471","6,230","2,545","1,502",741,"1,411",170,219,"2,412","3,752","3,489"
2020년04월_여_70~79세,"10,942","2,970","1,324",818,409,732,129,151,"1,201","1,727","1,481"
2020년04월_여_80~89세,"4,920","1,257",651,482,243,346,73,91,499,692,586
2020년04월_여_90~99세,934,244,117,80,46,74,11,21,96,117,128
2020년04월_여_100세 이상,73,11,3,14,6,5,0,2,10,18,4
