,부산광역시 영도구,부산광역시 영도구 남항동,부산광역시 영도구 영선제1동,부산광역시 영도구 영선제2동,부산광역시 영도구 신선동,부산광역시 영도구 봉래제1동,부산광역시 영도구 봉래제2동,부산광역시 영도구 청학제1동,부산광역시 영도구 청학제2동,부산광역시 영도구 동삼제1동,부산광역시 영도구 동삼제2동,부산광역시 영도구 동삼제3동
2020년08월_계_총인구수,"114,511","10,841","4,156","8,975","9,274","7,372","5,322","6,822","18,567","29,043","3,580","10,559"
2020년08월_계_연령구간인구수,"114,511","10,841","4,156","8,975","9,274","7,372","5,322","6,822","18,567","29,043","3,580","10,559"
2020년08월_계_0~9세,"5,391",409,184,428,226,385,150,385,"1,068","1,597",185,374
2020년08월_계_10~19세,"7,617",540,260,600,517,433,286,449,"1,454","2,302",195,581
2020년08월_계_20~29세,"12,121","1,058",452,902,825,735,502,616,"1,981","3,494",610,946
2020년08월_계_30~39세,"10,981","1,060",394,851,673,783,414,672,"1,892","2,960",352,930
2020년08월_계_40~49세,"15,457","1,409",539,"1,129","1,154",978,695,"1,004","2,697","4,112",442,"1,298"
2020년08월_계_50~59세,"19,878","1,955",722,"1,567","1,692","1,206",937,"1,107","3,242","5,116",483,"1,851"
2020년08월_계_60~69세,"21,888","2,167",820,"1,708","1,864","1,447","1,059","1,239","3,367","5,170",679,"2,368"
2020년08월_계_70~79세,"14,564","1,530",546,"1,211","1,558",898,902,930,"1,991","3,003",451,"1,544"
2020년08월_계_80~89세,"5,748",623,205,491,670,419,337,349,761,"1,146",153,594
2020년08월_계_90~99세,733,81,25,76,83,58,32,59,99,127,28,65
2020년08월_계_100세 이상,133,9,9,12,12,30,8,12,15,16,2,8
2020년08월_남_총인구수,"56,422","5,413","2,018","4,363","4,650","3,606","2,649","3,315","9,214","14,181","1,886","5,127"
2020년08월_남_연령구간인구수,"56,422","5,413","2,018","4,363","4,650","3,606","2,649","3,315","9,214","14,181","1,886","5,127"
2020년08월_남_0~9세,"2,724",204,98,219,131,190,71,194,532,797,102,186
2020년08월_남_10~19세,"3,938",280,140,320,271,217,151,236,761,"1,168",98,296
2020년08월_남_20~29세,"6,615",555,244,496,437,388,279,314,"1,075","1,927",375,525
2020년08월_남_30~39세,"5,929",572,214,448,403,424,247,346,"1,021","1,545",204,505
2020년08월_남_40~49세,"8,101",784,270,559,663,532,396,522,"1,377","2,038",255,705
2020년08월_남_50~59세,"10,106","1,083",361,777,945,622,502,573,"1,632","2,431",256,924
2020년08월_남_60~69세,"10,469","1,048",364,813,901,678,484,587,"1,596","2,501",334,"1,163"
2020년08월_남_70~79세,"6,338",653,238,521,640,396,372,408,930,"1,346",199,635
2020년08월_남_80~89세,"2,024",222,80,188,242,139,135,119,265,402,52,180
2020년08월_남_90~99세,145,10,5,19,12,16,8,13,19,26,10,7
2020년08월_남_100세 이상,33,2,4,3,5,4,4,3,6,0,1,1
2020년08월_여_총인구수,"58,089","5,428","2,138","4,612","4,624","3,766","2,673","3,507","9,353","14,862","1,694","5,432"
2020년08월_여_연령구간인구수,"58,089","5,428","2,138","4,612","4,624","3,766","2,673","3,507","9,353","14,862","1,694","5,432"
2020년08월_여_0~9세,"2,667",205,86,209,95,195,79,191,536,800,83,188
2020년08월_여_10~19세,"3,679",260,120,280,246,216,135,213,693,"1,134",97,285
2020년08월_여_20~29세,"5,506",503,208,406,388,347,223,302,906,"1,567",235,421
2020년08월_여_30~39세,"5,052",488,180,403,270,359,167,326,871,"1,415",148,425
2020년08월_여_40~49세,"7,356",625,269,570,491,446,299,482,"1,320","2,074",187,593
2020년08월_여_50~59세,"9,772",872,361,790,747,584,435,534,"1,610","2,685",227,927
2020년08월_여_60~69세,"11,419","1,119",456,895,963,769,575,652,"1,771","2,669",345,"1,205"
2020년08월_여_70~79세,"8,226",877,308,690,918,502,530,522,"1,061","1,657",252,909
2020년08월_여_80~89세,"3,724",401,125,303,428,280,202,230,496,744,101,414
2020년08월_여_90~99세,588,71,20,57,71,42,24,46,80,101,18,58
2020년08월_여_100세 이상,100,7,5,9,7,26,4,9,9,16,1,7
