,서울특별시 양천구,서울특별시 양천구 목1동,서울특별시 양천구 목2동,서울특별시 양천구 목3동,서울특별시 양천구 목4동,서울특별시 양천구 목5동,서울특별시 양천구 신월1동,서울특별시 양천구 신월2동,서울특별시 양천구 신월3동,서울특별시 양천구 신월4동,서울특별시 양천구 신월5동,서울특별시 양천구 신월6동,서울특별시 양천구 신월7동,서울특별시 양천구 신정1동,서울특별시 양천구 신정2동,서울특별시 양천구 신정3동,서울특별시 양천구 신정4동,서울특별시 양천구 신정6동,서울특별시 양천구 신정7동
2021년07월_계_총인구수,"450,431","30,982","30,013","22,055","25,591","41,427","20,615","20,865","15,360","18,134","14,819","13,768","20,122","20,503","19,591","49,607","32,898","24,773","29,308"
2021년07월_계_연령구간인구수,"450,431","30,982","30,013","22,055","25,591","41,427","20,615","20,865","15,360","18,134","14,819","13,768","20,122","20,503","19,591","49,607","32,898","24,773","29,308"
2021년07월_계_0~9세,"30,497","2,840","1,650","1,275","1,335","3,232",948,"1,373",806,"1,391",934,"1,467",997,"1,789","1,275","3,685","1,551","2,031","1,918"
2021년07월_계_10~19세,"49,862","5,046","2,441","1,516","3,257","7,391","1,284","1,764","1,100","1,600","1,244","1,206","1,302","2,924","2,948","5,608","2,274","3,614","3,343"
2021년07월_계_20~29세,"58,537","3,277","4,886","3,451","4,097","4,342","2,636","2,590","2,007","2,151","2,143","1,571","2,566","2,386","2,416","6,188","5,254","3,091","3,485"
2021년07월_계_30~39세,"56,504","3,163","5,236","3,937","2,722","3,785","2,703","2,905","1,948","2,343","2,039","2,551","2,586","2,000","1,769","6,122","4,907","2,686","3,102"
2021년07월_계_40~49세,"77,531","6,765","4,581","3,164","4,417","8,873","3,023","3,259","2,174","3,033","2,244","2,182","2,895","4,010","3,714","8,408","5,084","4,675","5,030"
2021년07월_계_50~59세,"76,101","4,980","4,806","3,553","4,855","6,741","3,723","3,269","2,848","2,830","2,502","2,021","3,508","3,488","3,520","8,540","5,346","4,405","5,166"
2021년07월_계_60~69세,"59,684","3,003","3,938","3,093","2,780","4,385","3,733","3,342","2,570","2,793","2,234","1,737","3,506","2,277","2,321","6,348","4,817","2,716","4,091"
2021년07월_계_70~79세,"28,890","1,326","1,715","1,379","1,488","1,775","1,860","1,735","1,359","1,393","1,050",770,"1,824","1,066","1,102","3,273","2,666","1,033","2,076"
2021년07월_계_80~89세,"11,081",492,666,601,552,741,604,543,494,533,376,229,837,464,449,"1,241",891,419,949
2021년07월_계_90~99세,"1,675",86,91,81,79,158,96,82,51,64,53,30,98,96,73,188,103,102,144
2021년07월_계_100세 이상,69,4,3,5,9,4,5,3,3,3,0,4,3,3,4,6,5,1,4
2021년07월_남_총인구수,"220,815","14,869","14,610","10,519","12,486","20,582","10,556","10,227","8,083","8,858","7,340","6,760","9,841","10,002","9,607","24,150","16,107","12,049","14,169"
2021년07월_남_연령구간인구수,"220,815","14,869","14,610","10,519","12,486","20,582","10,556","10,227","8,083","8,858","7,340","6,760","9,841","10,002","9,607","24,150","16,107","12,049","14,169"
2021년07월_남_0~9세,"15,660","1,426",846,667,632,"1,719",497,701,444,680,473,762,525,930,632,"1,878",826,"1,047",975
2021년07월_남_10~19세,"25,983","2,513","1,284",827,"1,747","4,060",651,871,563,849,662,584,659,"1,500","1,535","2,878","1,172","1,885","1,743"
2021년07월_남_20~29세,"29,760","1,611","2,400","1,652","2,172","2,263","1,367","1,329","1,065","1,119","1,089",788,"1,344","1,213","1,239","3,204","2,492","1,586","1,827"
2021년07월_남_30~39세,"27,894","1,347","2,665","1,930","1,358","1,675","1,491","1,479","1,057","1,150","1,077","1,273","1,382",879,843,"2,995","2,611","1,192","1,490"
2021년07월_남_40~49세,"37,065","3,049","2,201","1,512","1,970","3,940","1,596","1,656","1,205","1,536","1,115","1,106","1,486","1,881","1,711","4,055","2,535","2,107","2,404"
2021년07월_남_50~59세,"37,821","2,618","2,272","1,621","2,376","3,502","1,952","1,606","1,558","1,368","1,205",978,"1,700","1,789","1,808","4,182","2,566","2,181","2,539"
2021년07월_남_60~69세,"28,577","1,451","1,870","1,434","1,349","2,157","1,875","1,529","1,382","1,297","1,069",813,"1,646","1,098","1,170","2,943","2,225","1,329","1,940"
2021년07월_남_70~79세,"13,633",651,820,651,676,946,882,834,616,659,498,369,791,509,492,"1,520","1,262",544,913
2021년07월_남_80~89세,"4,007",176,228,203,185,274,229,206,183,181,144,82,284,181,159,452,391,146,303
2021년07월_남_90~99세,400,25,24,21,18,46,15,15,9,19,8,5,21,21,18,43,26,32,34
2021년07월_남_100세 이상,15,2,0,1,3,0,1,1,1,0,0,0,3,1,0,0,1,0,1
2021년07월_여_총인구수,"229,616","16,113","15,403","11,536","13,105","20,845","10,059","10,638","7,277","9,276","7,479","7,008","10,281","10,501","9,984","25,457","16,791","12,724","15,139"
