,경기도 구리시,경기도 구리시 갈매동,경기도 구리시 동구동,경기도 구리시 인창동,경기도 구리시 교문1동,경기도 구리시 교문2동,경기도 구리시 수택1동,경기도 구리시 수택2동,경기도 구리시 수택3동
2021년04월_계_총인구수,"195,324","31,135","37,888","23,307","16,366","22,010","17,304","25,598","21,716"
2021년04월_계_연령구간인구수,"195,324","31,135","37,888","23,307","16,366","22,010","17,304","25,598","21,716"
2021년04월_계_0~9세,"14,674","4,484","2,646","1,717",714,"1,534",707,"1,323","1,549"
2021년04월_계_10~19세,"17,799","2,300","3,903","2,363","1,069","2,670","1,162","2,093","2,239"
2021년04월_계_20~29세,"26,947","3,281","5,599","3,329","2,201","3,030","2,680","3,793","3,034"
2021년04월_계_30~39세,"25,635","5,792","4,529","2,969","2,012","2,451","2,036","3,181","2,665"
2021년04월_계_40~49세,"32,331","5,845","6,261","3,922","2,478","3,785","2,475","3,666","3,899"
2021년04월_계_50~59세,"35,364","4,169","7,225","4,251","3,199","3,917","3,566","5,041","3,996"
2021년04월_계_60~69세,"25,252","3,362","4,473","2,752","2,680","2,780","2,833","3,887","2,485"
2021년04월_계_70~79세,"11,629","1,430","2,098","1,343","1,315","1,227","1,256","1,727","1,233"
2021년04월_계_80~89세,"4,982",407,"1,007",593,588,545,520,783,539
2021년04월_계_90~99세,659,65,141,66,83,67,67,98,72
2021년04월_계_100세 이상,52,0,6,2,27,4,2,6,5
2021년04월_남_총인구수,"96,900","15,439","18,701","11,380","8,359","10,691","8,633","12,749","10,948"
2021년04월_남_연령구간인구수,"96,900","15,439","18,701","11,380","8,359","10,691","8,633","12,749","10,948"
2021년04월_남_0~9세,"7,559","2,316","1,400",870,371,771,381,661,789
2021년04월_남_10~19세,"9,199","1,145","2,079","1,229",515,"1,359",606,"1,109","1,157"
2021년04월_남_20~29세,"13,848","1,623","2,893","1,665","1,150","1,572","1,327","2,001","1,617"
2021년04월_남_30~39세,"12,915","2,795","2,285","1,451","1,112","1,197","1,095","1,628","1,352"
2021년04월_남_40~49세,"16,131","3,105","2,983","1,906","1,337","1,746","1,246","1,905","1,903"
2021년04월_남_50~59세,"17,427","2,014","3,457","2,079","1,648","1,886","1,789","2,493","2,061"
2021년04월_남_60~69세,"12,582","1,598","2,284","1,338","1,363","1,360","1,445","1,910","1,284"
2021년04월_남_70~79세,"5,204",701,891,595,608,565,551,740,553
2021년04월_남_80~89세,"1,849",129,388,224,220,218,176,281,213
2021년04월_남_90~99세,167,13,39,22,24,16,16,19,18
2021년04월_남_100세 이상,19,0,2,1,11,1,1,2,1
2021년04월_여_총인구수,"98,424","15,696","19,187","11,927","8,007","11,319","8,671","12,849","10,768"
2021년04월_여_연령구간인구수,"98,424","15,696","19,187","11,927","8,007","11,319","8,671","12,849","10,768"
2021년04월_여_0~9세,"7,115","2,168","1,246",847,343,763,326,662,760
2021년04월_여_10~19세,"8,600","1,155","1,824","1,134",554,"1,311",556,984,"1,082"
2021년04월_여_20~29세,"13,099","1,658","2,706","1,664","1,051","1,458","1,353","1,792","1,417"
2021년04월_여_30~39세,"12,720","2,997","2,244","1,518",900,"1,254",941,"1,553","1,313"
2021년04월_여_40~49세,"16,200","2,740","3,278","2,016","1,141","2,039","1,229","1,761","1,996"
2021년04월_여_50~59세,"17,937","2,155","3,768","2,172","1,551","2,031","1,777","2,548","1,935"
2021년04월_여_60~69세,"12,670","1,764","2,189","1,414","1,317","1,420","1,388","1,977","1,201"
2021년04월_여_70~79세,"6,425",729,"1,207",748,707,662,705,987,680
2021년04월_여_80~89세,"3,133",278,619,369,368,327,344,502,326
2021년04월_여_90~99세,492,52,102,44,59,51,51,79,54
2021년04월_여_100세 이상,33,0,4,1,16,3,1,4,4
