,서울특별시 동대문구,서울특별시 동대문구 용신동,서울특별시 동대문구 제기동,서울특별시 동대문구 전농제1동,서울특별시 동대문구 전농제2동,서울특별시 동대문구 답십리제1동,서울특별시 동대문구 답십리제2동,서울특별시 동대문구 장안제1동,서울특별시 동대문구 장안제2동,서울특별시 동대문구 청량리동,서울특별시 동대문구 회기동,서울특별시 동대문구 휘경제1동,서울특별시 동대문구 휘경제2동,서울특별시 동대문구 이문제1동,서울특별시 동대문구 이문제2동
2020년04월_계_총인구수,"345,793","30,868","24,928","30,518","19,381","29,231","30,007","38,674","33,110","20,995","10,299","13,994","24,414","18,654","20,720"
2020년04월_계_연령구간인구수,"345,793","30,868","24,928","30,518","19,381","29,231","30,007","38,674","33,110","20,995","10,299","13,994","24,414","18,654","20,720"
2020년04월_계_0~9세,"21,632","1,346","1,075","1,964","1,297","2,793","1,909","2,650","2,971",911,498,794,"1,322",745,"1,357"
2020년04월_계_10~19세,"24,944","1,496","1,455","2,053","1,821","2,024","2,148","2,663","2,919","1,226",742,864,"2,199","1,418","1,916"
2020년04월_계_20~29세,"55,680","5,877","4,224","4,692","2,409","4,019","4,085","5,237","3,930","2,467","2,993","3,126","5,177","4,594","2,850"
2020년04월_계_30~39세,"51,100","5,239","3,371","4,479","2,352","5,490","4,524","6,442","5,223","2,471","1,460","2,209","3,039","2,208","2,593"
2020년04월_계_40~49세,"51,893","4,278","3,204","4,467","3,127","4,700","4,513","6,422","5,808","2,753","1,351","1,785","3,615","2,550","3,320"
2020년04월_계_50~59세,"54,191","4,765","3,888","4,969","3,344","4,318","5,127","6,121","5,004","3,742","1,202","2,125","3,560","2,627","3,399"
2020년04월_계_60~69세,"45,340","3,994","3,834","4,126","2,622","3,156","4,105","5,252","4,156","3,769",957,"1,556","2,918","2,178","2,717"
2020년04월_계_70~79세,"28,072","2,594","2,588","2,513","1,606","1,839","2,502","2,832","2,239","2,498",704,"1,027","1,808","1,535","1,787"
2020년04월_계_80~89세,"11,080","1,096","1,121","1,067",723,758,958,881,730,983,324,433,659,665,682
2020년04월_계_90~99세,"1,565",159,143,146,71,104,115,151,113,144,57,67,106,98,91
2020년04월_계_100세 이상,296,24,25,42,9,30,21,23,17,31,11,8,11,36,8
2020년04월_남_총인구수,"171,621","15,772","12,819","15,324","9,312","14,172","14,638","19,240","16,576","10,504","4,910","6,874","12,117","9,267","10,096"
2020년04월_남_연령구간인구수,"171,621","15,772","12,819","15,324","9,312","14,172","14,638","19,240","16,576","10,504","4,910","6,874","12,117","9,267","10,096"
2020년04월_남_0~9세,"11,047",695,556,"1,007",648,"1,416",986,"1,337","1,539",459,257,410,686,370,681
2020년04월_남_10~19세,"12,618",795,744,"1,022",894,"1,030","1,075","1,377","1,555",648,327,429,"1,045",696,981
2020년04월_남_20~29세,"27,941","2,880","2,329","2,391","1,225","1,886","2,028","2,517","2,045","1,311","1,426","1,438","2,756","2,333","1,376"
2020년04월_남_30~39세,"26,482","2,749","1,886","2,330","1,169","2,618","2,325","3,314","2,626","1,328",772,"1,182","1,617","1,246","1,320"
2020년04월_남_40~49세,"26,708","2,329","1,752","2,330","1,493","2,417","2,294","3,353","2,949","1,455",668,921,"1,800","1,304","1,643"
2020년04월_남_50~59세,"27,284","2,541","2,033","2,559","1,634","2,117","2,498","3,028","2,516","1,901",594,"1,089","1,728","1,347","1,699"
2020년04월_남_60~69세,"21,918","2,041","1,864","2,084","1,234","1,532","1,928","2,551","1,984","1,855",424,746,"1,379","1,004","1,292"
2020년04월_남_70~79세,"12,673","1,224","1,157","1,119",665,837,"1,113","1,362","1,052","1,134",294,456,818,652,790
2020년04월_남_80~89세,"4,403",458,442,425,322,278,360,355,278,365,131,178,242,283,286
2020년04월_남_90~99세,458,53,50,43,24,30,21,38,27,43,16,20,42,25,26
2020년04월_남_100세 이상,89,7,6,14,4,11,10,8,5,5,1,5,4,7,2
2020년04월_여_총인구수,"174,172","15,096","12,109","15,194","10,069","15,059","15,369","19,434","16,534","10,491","5,389","7,120","12,297","9,387","10,624"
2020년04월_여_연령구간인구수,"174,172","15,096","12,109","15,194","10,069","15,059","15,369","19,434","16,534","10,491","5,389","7,120","12,297","9,387","10,624"
2020년04월_여_0~9세,"10,585",651,519,957,649,"1,377",923,"1,313","1,432",452,241,384,636,375,676
2020년04월_여_10~19세,"12,326",701,711,"1,031",927,994,"1,073","1,286","1,364",578,415,435,"1,154",722,935
2020년04월_여_20~29세,"27,739","2,997","1,895","2,301","1,184","2,133","2,057","2,720","1,885","1,156","1,567","1,688","2,421","2,261","1,474"
2020년04월_여_30~39세,"24,618","2,490","1,485","2,149","1,183","2,872","2,199","3,128","2,597","1,143",688,"1,027","1,422",962,"1,273"
2020년04월_여_40~49세,"25,185","1,949","1,452","2,137","1,634","2,283","2,219","3,069","2,859","1,298",683,864,"1,815","1,246","1,677"
2020년04월_여_50~59세,"26,907","2,224","1,855","2,410","1,710","2,201","2,629","3,093","2,488","1,841",608,"1,036","1,832","1,280","1,700"
2020년04월_여_60~69세,"23,422","1,953","1,970","2,042","1,388","1,624","2,177","2,701","2,172","1,914",533,810,"1,539","1,174","1,425"
2020년04월_여_70~79세,"15,399","1,370","1,431","1,394",941,"1,002","1,389","1,470","1,187","1,364",410,571,990,883,997
2020년04월_여_80~89세,"6,677",638,679,642,401,480,598,526,452,618,193,255,417,382,396
2020년04월_여_90~99세,"1,107",106,93,103,47,74,94,113,86,101,41,47,64,73,65
2020년04월_여_100세 이상,207,17,19,28,5,19,11,15,12,26,10,3,7,29,6
