,서울특별시 구로구,서울특별시 구로구 신도림동,서울특별시 구로구 구로제1동,서울특별시 구로구 구로제2동,서울특별시 구로구 구로제3동,서울특별시 구로구 구로제4동,서울특별시 구로구 구로제5동,서울특별시 구로구 가리봉동,서울특별시 구로구 고척제1동,서울특별시 구로구 고척제2동,서울특별시 구로구 개봉제1동,서울특별시 구로구 개봉제2동,서울특별시 구로구 개봉제3동,서울특별시 구로구 오류제1동,서울특별시 구로구 오류제2동,서울특별시 구로구 수궁동,서울특별시 구로구 항동
2020년03월_계_90~99세,"1,444",95,61,121,60,86,96,53,90,100,117,125,77,82,152,86,43
2020년03월_계_100세 이상,165,8,2,30,21,17,0,22,5,6,8,11,9,6,8,11,1
2020년03월_남_총인구수,"200,558","17,882","10,541","12,643","12,284","10,098","14,380","5,049","11,817","13,901","16,211","15,817","10,458","11,098","19,253","12,071","7,055"
2020년03월_남_연령구간인구수,"200,558","17,882","10,541","12,643","12,284","10,098","14,380","5,049","11,817","13,901","16,211","15,817","10,458","11,098","19,253","12,071","7,055"
2020년03월_남_0~9세,"15,253","1,871","1,047",517,774,468,"1,000",149,751,976,"1,051","1,291",684,661,"1,940",813,"1,260"
2020년03월_남_10~19세,"16,000","1,844","1,081",785,754,597,887,166,"1,076","1,247","1,220","1,228",808,662,"1,974","1,168",503
2020년03월_남_20~29세,"27,336","2,172","1,375","1,710","2,046","1,419","2,232",734,"1,732","1,909","2,215","1,954","1,384","1,776","2,315","1,617",746
2020년03월_남_30~39세,"32,760","3,041","1,993","1,664","2,802","1,576","2,747",692,"1,567","1,771","2,343","2,493","1,595","2,279","2,692","1,785","1,720"
2020년03월_남_40~49세,"32,938","3,215","1,826","1,985","2,258","1,588","2,180",709,"1,859","2,281","2,550","2,552","1,682","1,672","3,450","1,978","1,153"
2020년03월_남_50~59세,"31,350","2,572","1,445","2,492","1,531","1,790","2,315","1,196","1,966","2,439","2,768","2,304","1,645","1,501","2,748","1,919",719
2020년03월_남_60~69세,"25,507","1,895","1,157","1,877","1,158","1,388","1,744",847,"1,687","1,859","2,291","2,264","1,560","1,387","2,188","1,626",579
2020년03월_남_70~79세,"14,727",989,473,"1,200",720,931,963,411,925,"1,042","1,353","1,342",826,877,"1,457",923,295
2020년03월_남_80~89세,"4,291",261,126,379,219,313,287,126,230,349,395,350,251,269,447,220,69
2020년03월_남_90~99세,359,22,18,28,20,23,25,14,23,26,22,36,20,13,39,19,11
2020년03월_남_100세 이상,37,0,0,6,2,5,0,5,1,2,3,3,3,1,3,3,0
2020년03월_여_총인구수,"205,279","18,688","10,913","12,413","11,891","10,615","15,408","4,257","11,801","14,150","16,123","16,454","10,944","11,510","20,524","12,301","7,287"
2020년03월_여_연령구간인구수,"205,279","18,688","10,913","12,413","11,891","10,615","15,408","4,257","11,801","14,150","16,123","16,454","10,944","11,510","20,524","12,301","7,287"
2020년03월_여_0~9세,"14,618","1,864",949,493,704,453,971,122,693,995,"1,079","1,173",696,644,"1,853",785,"1,144"
2020년03월_여_10~19세,"15,055","1,728",966,693,731,600,841,155,"1,003","1,152","1,216","1,244",736,622,"1,907",946,515
2020년03월_여_20~29세,"28,261","2,267","1,522","1,600","2,226","1,495","2,905",635,"1,568","1,800","2,023","1,896","1,315","2,173","2,446","1,529",861
2020년03월_여_30~39세,"31,459","3,359","1,962","1,359","2,328","1,485","2,831",492,"1,439","1,724","2,153","2,419","1,517","2,110","2,799","1,658","1,824"
2020년03월_여_40~49세,"31,150","3,351","1,838","1,718","1,823","1,506","2,079",567,"1,812","2,237","2,309","2,425","1,619","1,501","3,370","1,984","1,011"
2020년03월_여_50~59세,"32,314","2,627","1,619","2,346","1,476","1,784","2,327",791,"2,071","2,465","2,792","2,634","1,890","1,568","3,004","2,104",816
2020년03월_여_60~69세,"28,533","2,076","1,314","2,051","1,396","1,644","1,854",746,"1,781","1,998","2,501","2,655","1,807","1,513","2,665","1,829",703
2020년03월_여_70~79세,"16,178",925,478,"1,471",797,"1,128","1,102",452,980,"1,210","1,419","1,428",898,922,"1,708","1,016",244
2020년03월_여_80~89세,"6,498",410,220,565,351,445,427,241,383,491,531,483,403,383,654,375,136
2020년03월_여_90~99세,"1,085",73,43,93,40,63,71,39,67,74,95,89,57,69,113,67,32
2020년03월_여_100세 이상,128,8,2,24,19,12,0,17,4,4,5,8,6,5,5,8,1
