,강원도 양양군,강원도 양양군 양양읍,강원도 양양군 서면,강원도 양양군 손양면,강원도 양양군 현북면,강원도 양양군 현남면,강원도 양양군 강현면
2020년03월_계_총인구수,"27,713","12,076","2,948","2,390","2,543","3,074","4,682"
2020년03월_계_연령구간인구수,"27,713","12,076","2,948","2,390","2,543","3,074","4,682"
2020년03월_계_0~9세,"1,379",857,90,80,70,87,195
2020년03월_계_10~19세,"1,928","1,137",183,117,103,131,257
2020년03월_계_20~29세,"2,392","1,194",228,202,159,171,438
2020년03월_계_30~39세,"2,368","1,246",188,157,181,239,357
2020년03월_계_40~49세,"3,563","1,868",336,264,244,317,534
2020년03월_계_50~59세,"5,083","2,060",551,467,507,541,957
2020년03월_계_60~69세,"5,241","1,840",630,473,602,703,993
2020년03월_계_70~79세,"3,687","1,210",484,393,439,527,634
2020년03월_계_80~89세,"1,743",552,223,208,203,292,265
2020년03월_계_90~99세,314,110,35,24,33,62,50
2020년03월_계_100세 이상,15,2,0,5,2,4,2
2020년03월_남_총인구수,"14,101","6,074","1,526","1,220","1,316","1,574","2,391"
2020년03월_남_연령구간인구수,"14,101","6,074","1,526","1,220","1,316","1,574","2,391"
2020년03월_남_0~9세,715,449,49,40,33,49,95
2020년03월_남_10~19세,"1,001",598,101,49,55,68,130
2020년03월_남_20~29세,"1,414",692,137,116,102,101,266
2020년03월_남_30~39세,"1,282",617,119,83,117,139,207
2020년03월_남_40~49세,"1,963",955,188,156,151,208,305
2020년03월_남_50~59세,"2,724","1,081",312,272,252,304,503
2020년03월_남_60~69세,"2,611",898,307,249,316,352,489
2020년03월_남_70~79세,"1,686",552,218,166,203,248,299
2020년03월_남_80~89세,639,203,90,82,81,99,84
2020년03월_남_90~99세,65,28,5,7,6,6,13
2020년03월_남_100세 이상,1,1,0,0,0,0,0
2020년03월_여_총인구수,"13,612","6,002","1,422","1,170","1,227","1,500","2,291"
2020년03월_여_연령구간인구수,"13,612","6,002","1,422","1,170","1,227","1,500","2,291"
2020년03월_여_0~9세,664,408,41,40,37,38,100
2020년03월_여_10~19세,927,539,82,68,48,63,127
2020년03월_여_20~29세,978,502,91,86,57,70,172
2020년03월_여_30~39세,"1,086",629,69,74,64,100,150
2020년03월_여_40~49세,"1,600",913,148,108,93,109,229
2020년03월_여_50~59세,"2,359",979,239,195,255,237,454
2020년03월_여_60~69세,"2,630",942,323,224,286,351,504
2020년03월_여_70~79세,"2,001",658,266,227,236,279,335
2020년03월_여_80~89세,"1,104",349,133,126,122,193,181
2020년03월_여_90~99세,249,82,30,17,27,56,37
2020년03월_여_100세 이상,14,1,0,5,2,4,2
