카테고리,경기도 포천시,경기도 포천시 소흘읍,경기도 포천시 군내면,경기도 포천시 내촌면,경기도 포천시 가산면,경기도 포천시 신북면,경기도 포천시 창수면,경기도 포천시 영중면,경기도 포천시 일동면,경기도 포천시 이동면,경기도 포천시 영북면,경기도 포천시 관인면,경기도 포천시 화현면,경기도 포천시 포천동,경기도 포천시 선단동
2021년04월_계_총인구수,"147,317","44,717","8,638","4,587","7,629","12,350","2,148","4,788","9,387","6,245","8,221","2,778","2,752","18,656","14,421"
2021년04월_계_연령구간인구수,"147,317","44,717","8,638","4,587","7,629","12,350","2,148","4,788","9,387","6,245","8,221","2,778","2,752","18,656","14,421"
2021년04월_계_0~9세,"8,326","2,875",592,106,202,608,42,176,472,516,609,55,188,"1,198",687
2021년04월_계_10~19세,"11,982","4,896",555,184,397,932,73,234,676,357,439,144,149,"1,800","1,146"
2021년04월_계_20~29세,"17,932","5,931",946,440,782,"1,446",185,412,966,862,975,233,309,"2,488","1,957"
2021년04월_계_30~39세,"14,582","4,432","1,098",341,614,"1,179",121,288,858,882,964,125,348,"1,954","1,378"
2021년04월_계_40~49세,"20,095","7,216","1,135",514,846,"1,610",191,501,"1,179",625,847,253,264,"2,723","2,191"
2021년04월_계_50~59세,"29,012","9,103","1,590","1,128","1,861","2,467",377,976,"1,561",882,"1,247",521,449,"3,590","3,260"
2021년04월_계_60~69세,"25,405","6,168","1,551","1,069","1,699","2,374",586,"1,126","1,878","1,062","1,505",684,549,"2,830","2,324"
2021년04월_계_70~79세,"12,357","2,587",714,491,719,"1,071",347,662,"1,075",673,969,479,294,"1,348",928
2021년04월_계_80~89세,"6,635","1,308",393,282,437,561,205,362,607,351,570,258,174,637,490
2021년04월_계_90~99세,955,195,64,31,70,96,20,49,109,35,94,25,27,84,56
2021년04월_계_100세 이상,36,6,0,1,2,6,1,2,6,0,2,1,1,4,4
2021년04월_남_총인구수,"78,102","22,825","4,640","2,636","4,495","6,809","1,205","2,605","4,887","3,410","4,443","1,453","1,452","9,452","7,790"
2021년04월_남_연령구간인구수,"78,102","22,825","4,640","2,636","4,495","6,809","1,205","2,605","4,887","3,410","4,443","1,453","1,452","9,452","7,790"
2021년04월_남_0~9세,"4,289","1,469",298,62,101,327,28,96,244,260,320,23,89,601,371
2021년04월_남_10~19세,"6,272","2,546",281,102,207,515,45,116,360,172,224,70,69,964,601
2021년04월_남_20~29세,"10,426","3,213",554,271,466,874,127,252,603,598,676,148,174,"1,355","1,115"
2021년04월_남_30~39세,"8,159","2,272",612,211,391,692,81,169,511,530,586,86,198,"1,055",765
2021년04월_남_40~49세,"10,802","3,582",639,325,555,879,112,319,654,364,492,154,156,"1,358","1,213"
2021년04월_남_50~59세,"15,973","4,814",872,665,"1,175","1,449",226,570,832,482,697,276,240,"1,844","1,831"
2021년04월_남_60~69세,"13,770","3,242",874,641,"1,032","1,325",327,633,952,555,786,363,314,"1,448","1,278"
2021년04월_남_70~79세,"5,757","1,190",357,235,375,507,164,299,497,318,417,227,148,585,438
2021년04월_남_80~89세,"2,411",457,140,119,179,212,88,132,204,122,220,100,56,221,161
2021년04월_남_90~99세,230,38,13,4,13,28,7,18,28,9,23,5,8,20,16
2021년04월_남_100세 이상,13,2,0,1,1,1,0,1,2,0,2,1,0,1,1
2021년04월_여_총인구수,"69,215","21,892","3,998","1,951","3,134","5,541",943,"2,183","4,500","2,835","3,778","1,325","1,300","9,204","6,631"
2021년04월_여_연령구간인구수,"69,215","21,892","3,998","1,951","3,134","5,541",943,"2,183","4,500","2,835","3,778","1,325","1,300","9,204","6,631"
2021년04월_여_0~9세,"4,037","1,406",294,44,101,281,14,80,228,256,289,32,99,597,316
2021년04월_여_10~19세,"5,710","2,350",274,82,190,417,28,118,316,185,215,74,80,836,545
2021년04월_여_20~29세,"7,506","2,718",392,169,316,572,58,160,363,264,299,85,135,"1,133",842
2021년04월_여_30~39세,"6,423","2,160",486,130,223,487,40,119,347,352,378,39,150,899,613
2021년04월_여_40~49세,"9,293","3,634",496,189,291,731,79,182,525,261,355,99,108,"1,365",978
2021년04월_여_50~59세,"13,039","4,289",718,463,686,"1,018",151,406,729,400,550,245,209,"1,746","1,429"
2021년04월_여_60~69세,"11,635","2,926",677,428,667,"1,049",259,493,926,507,719,321,235,"1,382","1,046"
2021년04월_여_70~79세,"6,600","1,397",357,256,344,564,183,363,578,355,552,252,146,763,490
2021년04월_여_80~89세,"4,224",851,253,163,258,349,117,230,403,229,350,158,118,416,329
2021년04월_여_90~99세,725,157,51,27,57,68,13,31,81,26,71,20,19,64,40
2021년04월_여_100세 이상,23,4,0,0,1,5,1,1,4,0,0,0,1,3,3
