카테고리,전라북도 고창군,전라북도 고창군 고창읍,전라북도 고창군 고수면,전라북도 고창군 아산면,전라북도 고창군 무장면,전라북도 고창군 공음면,전라북도 고창군 상하면,전라북도 고창군 해리면,전라북도 고창군 성송면,전라북도 고창군 대산면,전라북도 고창군 심원면,전라북도 고창군 흥덕면,전라북도 고창군 성내면,전라북도 고창군 신림면,전라북도 고창군 부안면
2020년05월_계_총인구수,"54,950","21,385","2,278","2,714","2,816","2,572","2,461","2,874","1,839","3,400","2,556","3,135","2,003","2,238","2,679"
2020년05월_계_연령구간인구수,"54,950","21,385","2,278","2,714","2,816","2,572","2,461","2,874","1,839","3,400","2,556","3,135","2,003","2,238","2,679"
2020년05월_계_0~9세,"2,793","1,856",58,90,89,76,59,84,54,87,71,81,52,60,76
2020년05월_계_10~19세,"4,263","2,630",110,103,212,127,149,125,58,159,113,146,82,112,137
2020년05월_계_20~29세,"4,391","2,386",147,173,163,144,180,157,78,201,163,217,129,128,125
2020년05월_계_30~39세,"4,032","2,203",127,150,145,146,128,139,100,171,167,176,111,128,141
2020년05월_계_40~49세,"6,396","3,243",197,259,256,223,256,238,166,311,264,312,189,215,267
2020년05월_계_50~59세,"9,253","3,426",418,520,474,437,445,465,294,616,502,569,315,374,398
2020년05월_계_60~69세,"9,436","2,703",472,529,526,520,439,633,405,665,522,637,412,439,534
2020년05월_계_70~79세,"8,380","1,784",419,523,593,515,484,608,339,693,466,559,396,427,574
2020년05월_계_80~89세,"5,191",985,286,319,321,337,278,372,307,424,254,380,271,295,362
2020년05월_계_90~99세,779,161,42,47,36,45,42,49,37,67,33,55,46,59,60
2020년05월_계_100세 이상,36,8,2,1,1,2,1,4,1,6,1,3,0,1,5
2020년05월_남_총인구수,"27,135","10,555","1,173","1,386","1,387","1,265","1,185","1,399",900,"1,677","1,299","1,513","1,016","1,078","1,302"
2020년05월_남_연령구간인구수,"27,135","10,555","1,173","1,386","1,387","1,265","1,185","1,399",900,"1,677","1,299","1,513","1,016","1,078","1,302"
2020년05월_남_0~9세,"1,483",973,31,46,46,43,36,46,27,48,42,43,24,35,43
2020년05월_남_10~19세,"2,299","1,409",61,61,125,62,86,56,36,84,57,70,57,53,82
2020년05월_남_20~29세,"2,474","1,313",95,102,96,84,94,87,48,119,89,122,81,70,74
2020년05월_남_30~39세,"2,166","1,087",78,89,80,89,69,86,63,102,99,100,63,72,89
2020년05월_남_40~49세,"3,655","1,644",134,167,161,133,152,159,107,197,183,181,128,136,173
2020년05월_남_50~59세,"5,034","1,698",251,319,262,251,249,267,178,338,279,304,179,212,247
2020년05월_남_60~69세,"4,654","1,292",250,264,256,252,210,310,194,348,271,325,214,221,247
2020년05월_남_70~79세,"3,568",760,190,222,243,232,200,275,142,289,192,229,176,184,234
2020년05월_남_80~89세,"1,663",351,78,107,110,106,80,106,95,138,81,132,87,87,105
2020년05월_남_90~99세,138,28,5,9,8,13,9,7,10,13,6,7,7,8,8
2020년05월_남_100세 이상,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2020년05월_여_총인구수,"27,815","10,830","1,105","1,328","1,429","1,307","1,276","1,475",939,"1,723","1,257","1,622",987,"1,160","1,377"
2020년05월_여_연령구간인구수,"27,815","10,830","1,105","1,328","1,429","1,307","1,276","1,475",939,"1,723","1,257","1,622",987,"1,160","1,377"
2020년05월_여_0~9세,"1,310",883,27,44,43,33,23,38,27,39,29,38,28,25,33
2020년05월_여_10~19세,"1,964","1,221",49,42,87,65,63,69,22,75,56,76,25,59,55
2020년05월_여_20~29세,"1,917","1,073",52,71,67,60,86,70,30,82,74,95,48,58,51
2020년05월_여_30~39세,"1,866","1,116",49,61,65,57,59,53,37,69,68,76,48,56,52
2020년05월_여_40~49세,"2,741","1,599",63,92,95,90,104,79,59,114,81,131,61,79,94
2020년05월_여_50~59세,"4,219","1,728",167,201,212,186,196,198,116,278,223,265,136,162,151
2020년05월_여_60~69세,"4,782","1,411",222,265,270,268,229,323,211,317,251,312,198,218,287
2020년05월_여_70~79세,"4,812","1,024",229,301,350,283,284,333,197,404,274,330,220,243,340
2020년05월_여_80~89세,"3,528",634,208,212,211,231,198,266,212,286,173,248,184,208,257
2020년05월_여_90~99세,641,133,37,38,28,32,33,42,27,54,27,48,39,51,52
2020년05월_여_100세 이상,35,8,2,1,1,2,1,4,1,5,1,3,0,1,5
