카테고리,부산광역시 금정구,부산광역시 금정구 서제1동,부산광역시 금정구 서제2동,부산광역시 금정구 서제3동,부산광역시 금정구 금사회동동,부산광역시 금정구 부곡제1동,부산광역시 금정구 부곡제2동,부산광역시 금정구 부곡제3동,부산광역시 금정구 부곡제4동,부산광역시 금정구 장전제1동,부산광역시 금정구 장전제2동,부산광역시 금정구 선두구동,부산광역시 금정구 청룡노포동,부산광역시 금정구 남산동,부산광역시 금정구 구서제1동,부산광역시 금정구 구서제2동,부산광역시 금정구 금성동
2020년06월_계_총인구수,"236,009","6,297","10,155","11,631","8,632","8,827","17,084","16,662","13,412","18,092","27,833","2,376","10,138","30,097","19,435","34,240","1,098"
2020년06월_계_연령구간인구수,"236,009","6,297","10,155","11,631","8,632","8,827","17,084","16,662","13,412","18,092","27,833","2,376","10,138","30,097","19,435","34,240","1,098"
2020년06월_계_0~9세,"13,614",111,382,380,310,324,914,"1,229",586,982,"2,755",69,536,"1,330","1,325","2,298",83
2020년06월_계_10~19세,"18,381",312,531,606,393,499,"1,485","1,392",844,"1,306","2,493",115,718,"2,241","1,899","3,433",114
2020년06월_계_20~29세,"33,896",613,"1,182","1,266",897,915,"2,599","2,383","1,624","5,617","3,535",210,"1,128","4,686","2,553","4,603",85
2020년06월_계_30~39세,"26,151",530,"1,043","1,156",872,870,"1,855","2,106","1,542","2,012","3,928",191,990,"3,152","2,206","3,615",83
2020년06월_계_40~49세,"32,897",831,"1,261","1,401","1,059","1,174","2,428","2,409","1,847","2,201","4,743",244,"1,313","3,844","2,942","5,026",174
2020년06월_계_50~59세,"41,554","1,244","2,076","2,389","1,708","1,522","3,047","2,900","2,329","2,316","3,880",496,"1,819","5,746","3,615","6,287",180
2020년06월_계_60~69세,"38,112","1,400","2,141","2,415","1,940","1,800","2,587","2,439","2,618","1,977","3,324",532,"1,893","4,941","2,816","5,076",213
2020년06월_계_70~79세,"21,559",861,"1,097","1,444","1,078","1,228","1,456","1,169","1,476","1,146","2,058",343,"1,178","2,894","1,422","2,606",103
2020년06월_계_80~89세,"8,523",352,385,512,329,449,628,544,480,479,853,154,497,"1,110",578,"1,122",51
2020년06월_계_90~99세,"1,125",32,43,51,43,43,78,85,65,46,166,19,62,145,72,165,10
2020년06월_계_100세 이상,197,11,14,11,3,3,7,6,1,10,98,3,4,8,7,9,2
2020년06월_남_총인구수,"115,428","3,187","5,078","5,839","4,552","4,264","8,215","7,968","6,470","9,268","13,420","1,260","4,984","14,742","9,247","16,397",537
2020년06월_남_연령구간인구수,"115,428","3,187","5,078","5,839","4,552","4,264","8,215","7,968","6,470","9,268","13,420","1,260","4,984","14,742","9,247","16,397",537
2020년06월_남_0~9세,"7,008",60,182,192,179,175,491,629,293,475,"1,450",39,276,691,674,"1,163",39
2020년06월_남_10~19세,"9,434",166,276,312,215,250,761,693,451,647,"1,362",60,372,"1,140",928,"1,740",61
2020년06월_남_20~29세,"18,347",347,647,711,494,510,"1,350","1,240",872,"3,223","1,856",126,658,"2,544","1,340","2,380",49
2020년06월_남_30~39세,"13,525",312,577,660,495,474,950,"1,047",827,"1,093","1,850",120,508,"1,706","1,090","1,777",39
2020년06월_남_40~49세,"16,393",489,692,782,634,651,"1,135","1,156",947,"1,127","2,344",133,634,"1,903","1,369","2,309",88
2020년06월_남_50~59세,"19,699",646,"1,019","1,169",881,714,"1,413","1,340","1,069","1,108","1,783",269,866,"2,697","1,667","2,968",90
2020년06월_남_60~69세,"17,820",647,"1,018","1,171",991,789,"1,218","1,127","1,155",892,"1,497",290,868,"2,325","1,320","2,406",106
2020년06월_남_70~79세,"9,817",389,515,630,530,541,647,521,664,512,919,166,572,"1,300",651,"1,214",46
2020년06월_남_80~89세,"3,071",126,139,200,123,143,230,191,179,177,301,49,206,402,195,395,15
2020년06월_남_90~99세,274,4,9,12,9,15,19,22,13,12,35,8,24,33,12,44,3
2020년06월_남_100세 이상,40,1,4,0,1,2,1,2,0,2,23,0,0,1,1,1,1
2020년06월_여_총인구수,"120,581","3,110","5,077","5,792","4,080","4,563","8,869","8,694","6,942","8,824","14,413","1,116","5,154","15,355","10,188","17,843",561
2020년06월_여_연령구간인구수,"120,581","3,110","5,077","5,792","4,080","4,563","8,869","8,694","6,942","8,824","14,413","1,116","5,154","15,355","10,188","17,843",561
2020년06월_여_0~9세,"6,606",51,200,188,131,149,423,600,293,507,"1,305",30,260,639,651,"1,135",44
2020년06월_여_10~19세,"8,947",146,255,294,178,249,724,699,393,659,"1,131",55,346,"1,101",971,"1,693",53
2020년06월_여_20~29세,"15,549",266,535,555,403,405,"1,249","1,143",752,"2,394","1,679",84,470,"2,142","1,213","2,223",36
